Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sample type,GEO Accession
SRR12109256,10285810,280745158,27,164,SRX8633296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920031,SAMN15399593,simple,9606,Homo sapiens,GSM4645407,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult Brain_1,Tissue,Adult,GSM4645407
SRR12109257,8266938,225541026,27,132,SRX8633297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920032,SAMN15399592,simple,9606,Homo sapiens,GSM4645408,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult Brain_2,Tissue,Adult,GSM4645408
SRR12109258,5281872,142999953,27,84,SRX8633298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920033,SAMN15399630,simple,9606,Homo sapiens,GSM4645409,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult Brain_3,Tissue,Adult,GSM4645409
SRR12109259,6170981,177375392,28,102,SRX8633299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920034,SAMN15399629,simple,9606,Homo sapiens,GSM4645410,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_02-9067_1,Tissue,Tumor,GSM4645410
SRR12109260,10668988,308152131,28,178,SRX8633300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920035,SAMN15399628,simple,9606,Homo sapiens,GSM4645411,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_02-9067_2,Tissue,Tumor,GSM4645411
SRR12109261,2674455,78448990,29,45,SRX8633301,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920036,SAMN15399627,simple,9606,Homo sapiens,GSM4645412,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_02-9067_3,Tissue,Tumor,GSM4645412
SRR12109262,7591172,216114531,28,124,SRX8633302,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920037,SAMN15399626,simple,9606,Homo sapiens,GSM4645413,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_04-19157_1,Tissue,Tumor,GSM4645413
SRR12109263,3942463,112543531,28,64,SRX8633303,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920038,SAMN15399625,simple,9606,Homo sapiens,GSM4645414,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_04-19157_2,Tissue,Tumor,GSM4645414
SRR12109264,7616634,217154591,28,123,SRX8633304,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920039,SAMN15399624,simple,9606,Homo sapiens,GSM4645415,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_04-19157_3,Tissue,Tumor,GSM4645415
SRR12109265,371442,10328950,27,6,SRX8633305,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920040,SAMN15399623,simple,9606,Homo sapiens,GSM4645416,GEO,SRA1092426,03,2021,Krogh,Tissue,Tumor DLBCL_0615594_1,Tissue,Tumor,GSM4645416
