Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,strain,transfection,GEO Accession
SRR11798518,23398833,1193340483,51,346,SRX8349996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666613,SAMN14933914,simple,10090,Mus musculus,GSM4556253,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_RPF_KD_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556253
SRR11798519,25835345,1317602595,51,376,SRX8349996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666613,SAMN14933914,simple,10090,Mus musculus,GSM4556253,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_RPF_KD_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556254
SRR11798520,38383134,1957539834,51,554,SRX8349996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666613,SAMN14933914,simple,10090,Mus musculus,GSM4556253,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_RPF_KD_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556255
SRR11798521,14614257,745327107,51,261,SRX8349996,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666613,SAMN14933914,simple,10090,Mus musculus,GSM4556253,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_RPF_KD_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556256
SRR11798522,28361910,1446457410,51,420,SRX8349997,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666614,SAMN14933913,simple,10090,Mus musculus,GSM4556254,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_RPF_KD_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556257
SRR11798523,30964994,1579214694,51,452,SRX8349997,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666614,SAMN14933913,simple,10090,Mus musculus,GSM4556254,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_RPF_KD_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556258
SRR11798524,8792392,448411992,51,128,SRX8349997,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666614,SAMN14933913,simple,10090,Mus musculus,GSM4556254,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_RPF_KD_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556259
SRR11798525,15638090,797542590,51,281,SRX8349997,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666614,SAMN14933913,simple,10090,Mus musculus,GSM4556254,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,eif4a2_RPF_KD_rep2,Embryonic stem cells,mESC J1,129S4/SvJae,control shRNA,GSM4556260
SRR11798526,30715307,1566480657,51,459,SRX8349998,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666615,SAMN14933912,simple,10090,Mus musculus,GSM4556255,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,RPF_Con_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556253
SRR11798527,33347594,1700727294,51,490,SRX8349998,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261884,PRJNA633140,35353581,"",SRS6666615,SAMN14933912,simple,10090,Mus musculus,GSM4556255,GEO,SRA1075991,04,2022,Li,Embryonic stem cells,RPF_Con_rep1,Embryonic stem cells,mESC J1,129S4/SvJae,eIF4A2 shRNA,GSM4556254
