Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,treatment,GEO Accession
SRR10311823,47648459,7194917309,151,2883,SRX7023043,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543880,SAMN13058842,simple,4932,Saccharomyces cerevisiae,GSM4130817,GEO,SRA981803,04,2020,Liu,Yeast WCE,Ribo_WTSD_replicate 1,Yeast WCE,BY4741,wild type,No treatment,GSM4130817
SRR10311824,47641861,7193921011,151,2907,SRX7023044,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543881,SAMN13058841,simple,4932,Saccharomyces cerevisiae,GSM4130818,GEO,SRA981803,04,2020,Liu,Yeast WCE,Ribo_WTSD_replicate 2,Yeast WCE,BY4741,wild type,No treatment,GSM4130818
SRR10311825,40605711,6131462361,151,2456,SRX7023045,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543882,SAMN13058840,simple,4932,Saccharomyces cerevisiae,GSM4130819,GEO,SRA981803,04,2020,Liu,Yeast WCE,Ribo_WTUrea_replicate 1,Yeast WCE,BY4741,wild type,3% Urea,GSM4130819
SRR10311826,30384831,4588109481,151,1843,SRX7023046,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543883,SAMN13058839,simple,4932,Saccharomyces cerevisiae,GSM4130820,GEO,SRA981803,04,2020,Liu,Yeast WCE,Ribo_WTUrea_replicate 2,Yeast WCE,BY4741,wild type,3% Urea,GSM4130820
SRR10311827,31339733,4732299683,151,1897,SRX7023047,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543884,SAMN13058838,simple,4932,Saccharomyces cerevisiae,GSM4130821,GEO,SRA981803,04,2020,Liu,Yeast WCE,Ribo_NTDSD_replicate 1,Yeast WCE,tif3{delta}ntd strain,mutant,No treatment,GSM4130821
SRR10311828,58019353,8760922303,151,3534,SRX7023048,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543885,SAMN13058837,simple,4932,Saccharomyces cerevisiae,GSM4130822,GEO,SRA981803,04,2020,Liu,Yeast WCE,Ribo_NTDSD_replicate 2,Yeast WCE,tif3{delta}ntd strain,mutant,No treatment,GSM4130822
SRR10311829,45961725,6940220475,151,2803,SRX7023049,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543886,SAMN13058836,simple,4932,Saccharomyces cerevisiae,GSM4130823,GEO,SRA981803,04,2020,Liu,Yeast WCE,Ribo_NTDUrea_replicate 1,Yeast WCE,tif3{delta}ntd strain,mutant,3% Urea,GSM4130823
SRR10311830,59203701,8939758851,151,3585,SRX7023050,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543887,SAMN13058835,simple,4932,Saccharomyces cerevisiae,GSM4130824,GEO,SRA981803,04,2020,Liu,Yeast WCE,Ribo_NTDUrea_replicate 2,Yeast WCE,tif3{delta}ntd strain,mutant,3% Urea,GSM4130824
SRR10311831,26481179,3998658029,151,1566,SRX7023051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543888,SAMN13058834,simple,4932,Saccharomyces cerevisiae,GSM4130825,GEO,SRA981803,04,2020,Liu,Yeast WCE,RNA_WTSD_replicate 1,Yeast WCE,BY4741,wild type,No treatment,GSM4130825
SRR10311832,33118636,5000914036,151,1947,SRX7023052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543889,SAMN13058833,simple,4932,Saccharomyces cerevisiae,GSM4130826,GEO,SRA981803,04,2020,Liu,Yeast WCE,RNA_WTSD_replicate 2,Yeast WCE,BY4741,wild type,No treatment,GSM4130826
SRR10311833,40825452,6164643252,151,2430,SRX7023053,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP226217,PRJNA578373,35047555,"",SRS5543890,SAMN13058832,simple,4932,Saccharomyces cerevisiae,GSM4130827,GEO,SRA981803,04,2020,Liu,Yeast WCE,RNA_WTUrea_replicate 1,Yeast WCE,BY4741,wild type,3% Urea,GSM4130827
