Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,GEO Accession
SRR14298975,3401986,258550936,76,97,SRX10656811,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751902,SAMN18828632,simple,9606,Homo sapiens,GSM5259519,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 1,Cell culture,HEK293T cell line,,GSM5259519
SRR14298976,2976224,226193024,76,86,SRX10656812,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751903,SAMN18828631,simple,9606,Homo sapiens,GSM5259520,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 2,Cell culture,HEK293T cell line,,GSM5259520
SRR14298977,3364986,255738936,76,96,SRX10656813,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751904,SAMN18828630,simple,9606,Homo sapiens,GSM5259521,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 3,Cell culture,HEK293T cell line,,GSM5259521
SRR14298978,3095311,235243636,76,89,SRX10656814,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751905,SAMN18828629,simple,9606,Homo sapiens,GSM5259522,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 4,Cell culture,HEK293T cell line,,GSM5259522
SRR14298979,3276882,249043032,76,94,SRX10656815,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751906,SAMN18828628,simple,9606,Homo sapiens,GSM5259523,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 5,Cell culture,HEK293T cell line,,GSM5259523
SRR14298980,3639715,276618340,76,104,SRX10656816,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751907,SAMN18828627,simple,9606,Homo sapiens,GSM5259524,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 6,Cell culture,HEK293T cell line,,GSM5259524
SRR14298981,3112552,236553952,76,89,SRX10656817,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751908,SAMN18828626,simple,9606,Homo sapiens,GSM5259525,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 7,Cell culture,HEK293T cell line,,GSM5259525
SRR14298982,3263115,247996740,76,93,SRX10656818,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751909,SAMN18828625,simple,9606,Homo sapiens,GSM5259526,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 8,Cell culture,HEK293T cell line,,GSM5259526
SRR14298983,3473844,264012144,76,99,SRX10656819,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751910,SAMN18828624,simple,9606,Homo sapiens,GSM5259527,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 9,Cell culture,HEK293T cell line,,GSM5259527
SRR14298984,3228067,245333092,76,92,SRX10656820,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751911,SAMN18828623,simple,9606,Homo sapiens,GSM5259528,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 10,Cell culture,HEK293T cell line,,GSM5259528
SRR14298985,3309890,251551640,76,95,SRX10656821,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751912,SAMN18828622,simple,9606,Homo sapiens,GSM5259529,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 11,Cell culture,HEK293T cell line,,GSM5259529
SRR14298986,3291039,250118964,76,95,SRX10656822,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751913,SAMN18828649,simple,9606,Homo sapiens,GSM5259530,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 12,Cell culture,HEK293T cell line,,GSM5259530
SRR14298987,3312869,251778044,76,95,SRX10656823,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751914,SAMN18828648,simple,9606,Homo sapiens,GSM5259531,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 13,Cell culture,HEK293T cell line,,GSM5259531
SRR14298988,3422011,260072836,76,98,SRX10656824,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751915,SAMN18828647,simple,9606,Homo sapiens,GSM5259532,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 14,Cell culture,HEK293T cell line,,GSM5259532
SRR14298989,3207567,243775092,76,92,SRX10656825,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751916,SAMN18828646,simple,9606,Homo sapiens,GSM5259533,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 15,Cell culture,HEK293T cell line,,GSM5259533
SRR14298990,3351223,254692948,76,97,SRX10656826,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751917,SAMN18828645,simple,9606,Homo sapiens,GSM5259534,GEO,SRA1221963,04,2021,Leppek,Cell culture,Polysome fraction 16,Cell culture,HEK293T cell line,,GSM5259534
SRR14298991,1929058,146608408,76,55,SRX10656827,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751918,SAMN18828644,simple,9606,Homo sapiens,GSM5259535,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 1 replicate 1,Cell culture,HEK293T cell line,,GSM5259535
SRR14298992,2181843,165820068,76,63,SRX10656828,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751919,SAMN18828643,simple,9606,Homo sapiens,GSM5259536,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 1 replicate 2,Cell culture,HEK293T cell line,,GSM5259536
SRR14298993,2251722,171130872,76,65,SRX10656829,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP315847,PRJNA723762,35318324,"",SRS8751920,SAMN18828642,simple,9606,Homo sapiens,GSM5259537,GEO,SRA1221963,04,2021,Leppek,Cell culture,RNA in-cell timepoint 1 replicate 3,Cell culture,HEK293T cell line,,GSM5259537
