Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,activation stage,cell type,molecule subtype,GEO Accession
SRR13531006,45755346,2333522646,51,707,SRX9939244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114151,SAMN17576302,simple,10090,Mus musculus,GSM5035541,GEO,SRA1187940,10,2021,Rak,"mRNA-sequencing activated CD4 T-cells, 20 hours after activation","mRNA-sequencing activated CD4 T-cells, 20 hours after activation [mRNA_20hA]","mRNA-sequencing activated CD4 T-cells, 20 hours after activation",B6,20 hours,CD4 T-cells,mRNA,GSM5035541
SRR13531007,12707346,648074646,51,195,SRX9939245,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114152,SAMN17576301,simple,10090,Mus musculus,GSM5035542,GEO,SRA1187940,10,2021,Rak,"mRNA-sequencing activated CD4 T-cells, 20 hours after activation","mRNA-sequencing activated CD4 T-cells, 20 hours after activation [mRNA_20hB]","mRNA-sequencing activated CD4 T-cells, 20 hours after activation",B6,20 hours,CD4 T-cells,mRNA,GSM5035542
SRR13531008,9374412,478095012,51,144,SRX9939246,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114153,SAMN17576300,simple,10090,Mus musculus,GSM5035543,GEO,SRA1187940,10,2021,Rak,"mRNA-sequencing activated CD4 T-cells, 48 hours after activation","mRNA-sequencing activated CD4 T-cells, 48 hours after activation [mRNA_48hA]","mRNA-sequencing activated CD4 T-cells, 48 hours after activation",B6,48 hours,CD4 T-cells,mRNA,GSM5035543
SRR13531009,9026075,460329825,51,139,SRX9939247,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114154,SAMN17576299,simple,10090,Mus musculus,GSM5035544,GEO,SRA1187940,10,2021,Rak,"mRNA-sequencing activated CD4 T-cells, 48 hours after activation","mRNA-sequencing activated CD4 T-cells, 48 hours after activation [mRNA_48hB]","mRNA-sequencing activated CD4 T-cells, 48 hours after activation",B6,48 hours,CD4 T-cells,mRNA,GSM5035544
SRR13531010,10054193,512763843,51,154,SRX9939248,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114155,SAMN17576298,simple,10090,Mus musculus,GSM5035545,GEO,SRA1187940,10,2021,Rak,"mRNA-sequencing activated CD4 T-cells, 72 hours after activation","mRNA-sequencing activated CD4 T-cells, 72 hours after activation [mRNA_72hA]","mRNA-sequencing activated CD4 T-cells, 72 hours after activation",B6,72 hours,CD4 T-cells,mRNA,GSM5035545
SRR13531011,11441603,583521753,51,176,SRX9939249,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114156,SAMN17576297,simple,10090,Mus musculus,GSM5035546,GEO,SRA1187940,10,2021,Rak,"mRNA-sequencing activated CD4 T-cells, 72 hours after activation","mRNA-sequencing activated CD4 T-cells, 72 hours after activation [mRNA_72hB]","mRNA-sequencing activated CD4 T-cells, 72 hours after activation",B6,72 hours,CD4 T-cells,mRNA,GSM5035546
SRR13531012,8388129,427794579,51,129,SRX9939250,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114157,SAMN17576296,simple,10090,Mus musculus,GSM5035547,GEO,SRA1187940,10,2021,Rak,mRNA-sequencing Naïve CD4 T-cells,mRNA-sequencing Naïve CD4 T-cells [mRNA_NaiveA],mRNA-sequencing Naïve CD4 T-cells,B6,naïve,CD4 T-cells,mRNA,GSM5035547
SRR13531013,13798855,703741605,51,212,SRX9939251,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114158,SAMN17576295,simple,10090,Mus musculus,GSM5035548,GEO,SRA1187940,10,2021,Rak,mRNA-sequencing Naïve CD4 T-cells,mRNA-sequencing Naïve CD4 T-cells [mRNA_NaiveB],mRNA-sequencing Naïve CD4 T-cells,B6,naïve,CD4 T-cells,mRNA,GSM5035548
SRR13531014,40444731,2062681281,51,597,SRX9939252,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114159,SAMN17576294,simple,10090,Mus musculus,GSM5035549,GEO,SRA1187940,10,2021,Rak,"ribo-seq activated CD4 T-cells, 20 hours after activation","ribo-seq activated CD4 T-cells, 20 hours after activation [RFP_20hA]","ribo-seq activated CD4 T-cells, 20 hours after activation",B6,20 hours,CD4 T-cells,Ribosome protected mRNA,GSM5035549
SRR13531015,61677162,3145535262,51,913,SRX9939253,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP303322,PRJNA694918,34642250,"",SRS8114160,SAMN17576293,simple,10090,Mus musculus,GSM5035550,GEO,SRA1187940,10,2021,Rak,"ribo-seq activated CD4 T-cells, 20 hours after activation","ribo-seq activated CD4 T-cells, 20 hours after activation [RPF_20hB]","ribo-seq activated CD4 T-cells, 20 hours after activation",B6,20 hours,CD4 T-cells,Ribosome protected mRNA,GSM5035550
