Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,protein expressed,molecule subtype,GEO Accession
SRR1032162,48850266,1416657714,29,829,SRX378942,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503507,SAMN02412420,simple,9606,Homo sapiens,GSM1267835,GEO,SRA111609,07,2015,Ricci,Stau1-WT_RNaseI_Footprinting_BiolReplica,Stau1-WT_RNaseI_Footprinting_BiolReplica#1,Stau1-WT_RNaseI_Footprinting_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Stau1 associated RNAs,GSM1267835
SRR1032163,49250248,2167010912,44,1378,SRX378943,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503508,SAMN02412419,simple,9606,Homo sapiens,GSM1267836,GEO,SRA111609,11,2013,Ricci,Stau1-WT_RNaseI_Footprinting_BiolReplica,Stau1-WT_RNaseI_Footprinting_BiolReplica#2,Stau1-WT_RNaseI_Footprinting_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Stau1 associated RNAs,GSM1267836
SRR1032164,49978313,2199045772,44,1398,SRX378944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503509,SAMN02412421,simple,9606,Homo sapiens,GSM1267837,GEO,SRA111609,11,2013,Ricci,Stau1-MUT_RNaseI_Footprinting,Stau1-MUT_RNaseI_Footprinting,Stau1-MUT_RNaseI_Footprinting,HEK293,Flag-Stau1-Mutant (65KDa Isoform),Stau1 associated RNAs,GSM1267837
SRR1032165,16495327,2870186898,94,1313,SRX378945,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503510,SAMN02412422,simple,9606,Homo sapiens,GSM1267838,GEO,SRA111609,11,2013,Ricci,Stau1-WT_Sonication_Formaldehyde_BiolReplica,Stau1-WT_Sonication_Formaldehyde_BiolReplica#1,Stau1-WT_Sonication_Formaldehyde_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Stau1 associated RNAs,GSM1267838
SRR1032166,11424590,1987878660,94,887,SRX378946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503511,SAMN02412425,simple,9606,Homo sapiens,GSM1267839,GEO,SRA111609,11,2013,Ricci,Stau1-WT_Sonication_Formaldehyde_BiolReplica,Stau1-WT_Sonication_Formaldehyde_BiolReplica#2,Stau1-WT_Sonication_Formaldehyde_BiolReplica,HEK293,Flag-Stau1-WT (65KDa Isoform),Stau1 associated RNAs,GSM1267839
SRR1032167,2672280,464976720,94,211,SRX378947,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503512,SAMN02412430,simple,9606,Homo sapiens,GSM1267840,GEO,SRA111609,11,2013,Ricci,Stau1-MUT_Sonication_Formaldehyde_BiolReplica,Stau1-MUT_Sonication_Formaldehyde_BiolReplica#1,Stau1-MUT_Sonication_Formaldehyde_BiolReplica,HEK293,Flag-Stau1-Mutant (65KDa Isoform),Stau1 associated RNAs,GSM1267840
SRR1032168,9745913,1695788862,94,764,SRX378948,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503513,SAMN02412423,simple,9606,Homo sapiens,GSM1267841,GEO,SRA111609,11,2013,Ricci,Stau1-MUT_Sonication_Formaldehyde_BiolReplica,Stau1-MUT_Sonication_Formaldehyde_BiolReplica#2,Stau1-MUT_Sonication_Formaldehyde_BiolReplica,HEK293,Flag-Stau1-Mutant (65KDa Isoform),Stau1 associated RNAs,GSM1267841
SRR1032169,33769534,3140566662,43,1745,SRX378949,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503514,SAMN02412424,simple,9606,Homo sapiens,GSM1267842,GEO,SRA111609,11,2013,Ricci,Stau1-WT_Sonication_Native,Stau1-WT_Sonication_Native,Stau1-WT_Sonication_Native,HEK293,Flag-Stau1-WT (65KDa Isoform),Stau1 associated RNAs,GSM1267842
SRR1032170,19021598,1769008614,43,986,SRX378950,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503515,SAMN02412426,simple,9606,Homo sapiens,GSM1267843,GEO,SRA111609,11,2013,Ricci,Stau1-MUT_Sonication_Native,Stau1-MUT_Sonication_Native,Stau1-MUT_Sonication_Native,HEK293,Flag-Stau1-Mutant (65KDa Isoform),Stau1 associated RNAs,GSM1267843
SRR1032171,78231902,2816348472,36,1673,SRX378951,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033119,PRJNA229103,24336223,"",SRS503516,SAMN02412435,simple,9606,Homo sapiens,GSM1267844,GEO,SRA111609,11,2013,Ricci,Stau2-WT_RNaseI_Footprinting,Stau2-WT_RNaseI_Footprinting,Stau2-WT_RNaseI_Footprinting,HEK293,Flag-Stau2-WT (65KDa Isoform),Stau2 associated RNAs,GSM1267844
