Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,rna type,cell line,GEO Accession
SRR1557705,107923199,5288236751,49,3034,SRX686493,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689312,SAMN03008628,simple,10116,Rattus norvegicus,GSM1487097,GEO,SRA180312,07,2015,Andreev,PC12,"0 min. OGD, ribo-seq, replicate #1",PC12,control,ribosome protected fragment,PC12,GSM1487097
SRR1557706,22230179,1089278771,49,685,SRX686494,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689313,SAMN03008629,simple,10116,Rattus norvegicus,GSM1487098,GEO,SRA180312,07,2015,Andreev,PC12,"0 min. OGD, mRNA-seq, replicate #1",PC12,control,“naked” mRNAseq,PC12,GSM1487098
SRR1557707,115251374,5647317326,49,3264,SRX686495,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689315,SAMN03008630,simple,10116,Rattus norvegicus,GSM1487099,GEO,SRA180312,07,2015,Andreev,PC12,"20 min. OGD, ribo-seq, replicate #1",PC12,20 minutes of oxygen and glucose deprivation,ribosome protected fragment,PC12,GSM1487099
SRR1557708,20957118,1026898782,49,632,SRX686496,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689316,SAMN03008631,simple,10116,Rattus norvegicus,GSM1487100,GEO,SRA180312,07,2015,Andreev,PC12,"20 min. OGD, mRNA-seq, replicate #1",PC12,20 minutes of oxygen and glucose deprivation,“naked” mRNAseq,PC12,GSM1487100
SRR1557709,124053630,6078627870,49,3588,SRX686497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689314,SAMN03008632,simple,10116,Rattus norvegicus,GSM1487101,GEO,SRA180312,07,2015,Andreev,PC12,"40 min. OGD, ribo-seq, replicate #1",PC12,40 minutes of oxygen and glucose deprivation,ribosome protected fragment,PC12,GSM1487101
SRR1557710,21142712,1035992888,49,647,SRX686498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689317,SAMN03008633,simple,10116,Rattus norvegicus,GSM1487102,GEO,SRA180312,07,2015,Andreev,PC12,"40 min. OGD, mRNA-seq, replicate #1",PC12,40 minutes of oxygen and glucose deprivation,“naked” mRNAseq,PC12,GSM1487102
SRR1557711,110791442,5428780658,49,3174,SRX686499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689318,SAMN03008634,simple,10116,Rattus norvegicus,GSM1487103,GEO,SRA180312,07,2015,Andreev,PC12,"60 min. OGD, ribo-seq, replicate #1",PC12,60 minutes of oxygen and glucose deprivation,ribosome protected fragment,PC12,GSM1487103
SRR1557712,19498503,955426647,49,586,SRX686500,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689319,SAMN03008635,simple,10116,Rattus norvegicus,GSM1487104,GEO,SRA180312,07,2015,Andreev,PC12,"60 min. OGD, mRNA-seq, replicate #1",PC12,60 minutes of oxygen and glucose deprivation,“naked” mRNAseq,PC12,GSM1487104
SRR1557713,104791296,5134773504,49,2983,SRX686501,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689320,SAMN03008636,simple,10116,Rattus norvegicus,GSM1487105,GEO,SRA180312,07,2015,Andreev,PC12,"0 min. OGD, ribo-seq, replicate #2",PC12,control,ribosome protected fragment,PC12,GSM1487105
SRR1557714,17790452,871732148,49,530,SRX686502,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045777,PRJNA259424,25943107,"",SRS689321,SAMN03008637,simple,10116,Rattus norvegicus,GSM1487106,GEO,SRA180312,07,2015,Andreev,PC12,"0 min. OGD, mRNA-seq, replicate #2",PC12,control,“naked” mRNAseq,PC12,GSM1487106
