Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,gender,strain,time,genotype,geo_loc_name,collection_date
SRR24451453,59912001,5991200100,100,2035,SRX20238440,GSM7304540,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572320,SAMN34722041,simple,10090,Mus musculus,GSM7304540,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Wild-type male, RNAseq ZT02-04, rep1",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,wild-type,missing,missing
SRR24451452,55321548,5532154800,100,1891,SRX20238441,GSM7304541,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572322,SAMN34722040,simple,10090,Mus musculus,GSM7304541,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Wild-type male, RNAseq ZT02-04, rep2",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,wild-type,missing,missing
SRR24451451,59216220,5921622000,100,2021,SRX20238442,GSM7304542,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572321,SAMN34722039,simple,10090,Mus musculus,GSM7304542,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Wild-type male, RNAseq ZT02-04, rep3",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,wild-type,missing,missing
SRR24451450,60049095,6004909500,100,2048,SRX20238443,GSM7304543,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572324,SAMN34722038,simple,10090,Mus musculus,GSM7304543,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Per2uORF mutant male, RNAseq ZT02-04, rep1",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,Per2uORF,missing,missing
SRR24451449,57224642,5722464200,100,1961,SRX20238444,GSM7304544,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572323,SAMN34722037,simple,10090,Mus musculus,GSM7304544,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Per2uORF mutant male, RNAseq ZT02-04, rep2",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,Per2uORF,missing,missing
SRR24451448,58366634,5836663400,100,1980,SRX20238445,GSM7304545,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572325,SAMN34722036,simple,10090,Mus musculus,GSM7304545,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Per2uORF mutant male, RNAseq ZT02-04, rep3",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,Per2uORF,missing,missing
SRR24451447,67879403,6787940300,100,2541,SRX20238446,GSM7304546,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572327,SAMN34722035,simple,10090,Mus musculus,GSM7304546,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Wild-type male, RiboProf ZT02-04, rep1",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,wild-type,missing,missing
SRR24451446,58486473,5848647300,100,2167,SRX20238447,GSM7304547,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572326,SAMN34722034,simple,10090,Mus musculus,GSM7304547,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Wild-type male, RiboProf ZT02-04, rep2",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,wild-type,missing,missing
SRR24451445,45803362,4580336200,100,1672,SRX20238448,GSM7304548,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572328,SAMN34722033,simple,10090,Mus musculus,GSM7304548,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Wild-type male, RiboProf ZT02-04, rep3",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,wild-type,missing,missing
SRR24451444,52547717,5254771700,100,1931,SRX20238449,GSM7304549,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436193,PRJNA967742,1,"",SRS17572330,SAMN34722032,simple,10090,Mus musculus,GSM7304549,"Systems Immunology, iFReC, Osaka University",SRA1633562,09,2023,Makar,whole liver tissue,"Per2uORF mutant male, RiboProf ZT02-04, rep1",whole liver tissue,whole liver tissue,12-14 week-old,male,C57BL/6N,ZT02-04,Per2uORF,missing,missing
