Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,procedure,age,Sex,strain,replicate,GEO Accession
SRR8327787,41100585,2055029250,50,743,SRX5139498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151008,SAMN10601856,simple,10090,Mus musculus,GSM3516876,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_Sham_mRNA_1,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Sham surgery,8 weeks,female,C57BL/6J,1,GSM3516876
SRR8327788,41547219,2077360950,50,745,SRX5139498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151008,SAMN10601856,simple,10090,Mus musculus,GSM3516876,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_Sham_mRNA_1,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Sham surgery,8 weeks,female,C57BL/6J,1,GSM3516877
SRR8327789,27948509,1397425450,50,521,SRX5139499,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151009,SAMN10601854,simple,10090,Mus musculus,GSM3516877,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_Sham_RFP_1,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Sham surgery,8 weeks,female,C57BL/6J,2,GSM3516878
SRR8327790,28312691,1415634550,50,524,SRX5139499,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151009,SAMN10601854,simple,10090,Mus musculus,GSM3516877,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_Sham_RFP_1,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Sham surgery,8 weeks,female,C57BL/6J,2,GSM3516879
SRR8327791,35365448,1768272400,50,626,SRX5139500,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151010,SAMN10601853,simple,10090,Mus musculus,GSM3516878,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_Sham_mRNA_2,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,1,GSM3516880
SRR8327792,35704470,1785223500,50,627,SRX5139500,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151010,SAMN10601853,simple,10090,Mus musculus,GSM3516878,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_Sham_mRNA_2,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,1,GSM3516881
SRR8327793,37537636,1876881800,50,700,SRX5139501,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151011,SAMN10601851,simple,10090,Mus musculus,GSM3516879,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_Sham_RFP_2,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,2,GSM3516882
SRR8327794,38009864,1900493200,50,703,SRX5139501,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151011,SAMN10601851,simple,10090,Mus musculus,GSM3516879,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_Sham_RFP_2,Dorsal section of lumbar spinal cord,Dorsal section of lumbar spinal cord,Spared Nerve Injury (SNI) surgery,8 weeks,female,C57BL/6J,2,GSM3516883
SRR8327795,36138150,1806907500,50,646,SRX5139502,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151012,SAMN10601850,simple,10090,Mus musculus,GSM3516880,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_SNI_mRNA_1,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Sham surgery,8 weeks,female,C57BL/6J,1,GSM3516884
SRR8327796,36505987,1825299350,50,647,SRX5139502,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP173586,PRJNA510323,30906902,"",SRS4151012,SAMN10601850,simple,10090,Mus musculus,GSM3516880,GEO,SRA823768,12,2018,Uttam,Dorsal section of lumbar spinal cord,SC_SNI_mRNA_1,Lumbar(L3 to L5) dorsal root ganglion,Lumbar(L3 to L5) dorsal root ganglion,Sham surgery,8 weeks,female,C57BL/6J,1,GSM3516885
