Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,tissue,BioSampleModel
SRR11825728,24540908,1227045400,50,573,SRX8376256,1R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691022,SAMN14988431,simple,9606,Homo sapiens,1R_S5_L001_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",1R_S5_L001_R1_001,Liver,Human
SRR11825727,24860432,1243021600,50,583,SRX8376257,1R2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691023,SAMN14988432,simple,9606,Homo sapiens,1R_S5_L002_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",1R_S5_L002_R1_001,Liver,Human
SRR11825726,17617766,880888300,50,417,SRX8376258,3T1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691024,SAMN14988441,simple,9606,Homo sapiens,3T_S3_L001_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",3T_S3_L001_R1_001,Liver,Human
SRR11825725,17904588,895229400,50,425,SRX8376259,3T2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691025,SAMN14988442,simple,9606,Homo sapiens,3T_S3_L002_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",3T_S3_L002_R1_001,Liver,Human
SRR11825724,17830304,891515200,50,399,SRX8376260,4R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691026,SAMN14988443,simple,9606,Homo sapiens,4R_S8_L001_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",4R_S8_L001_R1_001,Liver,Human
SRR11825723,18102809,905140450,50,407,SRX8376261,4R2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691027,SAMN14988444,simple,9606,Homo sapiens,4R_S8_L002_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",4R_S8_L002_R1_001,Liver,Human
SRR11825722,13243138,662156900,50,313,SRX8376262,4T1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691028,SAMN14988445,simple,9606,Homo sapiens,4T_S4_L001_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",4T_S4_L001_R1_001,Liver,Human
SRR11825721,13498791,674939550,50,320,SRX8376263,4T2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691029,SAMN14988446,simple,9606,Homo sapiens,4T_S4_L002_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",4T_S4_L002_R1_001,Liver,Human
SRR11825720,16702532,835126600,50,401,SRX8376264,1T1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691030,SAMN14988433,simple,9606,Homo sapiens,1T_S1_L001_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",1T_S1_L001_R1_001,Liver,Human
SRR11825719,16983726,849186300,50,409,SRX8376265,1T2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP262616,PRJNA634332,1,"",SRS6691031,SAMN14988434,simple,9606,Homo sapiens,1T_S1_L002_R1_001,Food and Drug Administration,SRA1078014,05,2020,Makar,"","",1T_S1_L002_R1_001,Liver,Human
