Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,developmental stage,molecule subtype,GEO Accession
SRR7252570,43165943,1641817584,38,672,SRX4157296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369747,SAMN09303152,simple,34765,Oikopleura dioica,GSM3172867,GEO,SRA714698,11,2019,Danks,release,1_Total_RNA_R1,release,Whole animal,Day 7 release,Total RNA,GSM3172867
SRR7252571,44275298,1683556804,38,688,SRX4157297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369748,SAMN09303159,simple,34765,Oikopleura dioica,GSM3172868,GEO,SRA714698,11,2019,Danks,stasis,2_Total_RNA_S1,stasis,Whole animal,Day 7 stasis,Total RNA,GSM3172868
SRR7252572,54744981,2185439824,39,868,SRX4157298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369749,SAMN09303158,simple,34765,Oikopleura dioica,GSM3172869,GEO,SRA714698,11,2019,Danks,release,3_Total_RNA_R2,release,Whole animal,Day 7 release,Total RNA,GSM3172869
SRR7252573,39857404,1557436235,39,634,SRX4157299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369750,SAMN09303157,simple,34765,Oikopleura dioica,GSM3172870,GEO,SRA714698,11,2019,Danks,stasis,4_Total_RNA_S2,stasis,Whole animal,Day 7 stasis,Total RNA,GSM3172870
SRR7252574,42309934,1487774178,35,550,SRX4157300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369751,SAMN09303156,simple,34765,Oikopleura dioica,GSM3172871,GEO,SRA714698,11,2019,Danks,release,5_RPF_R1,release,Whole animal,Day 7 release,Ribosome-protected RNA,GSM3172871
SRR7252575,88149559,3100836643,35,1182,SRX4157300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369751,SAMN09303156,simple,34765,Oikopleura dioica,GSM3172871,GEO,SRA714698,11,2019,Danks,release,5_RPF_R1,stasis,Whole animal,Day 7 stasis,Ribosome-protected RNA,GSM3172872
SRR7252576,44631407,1567894551,35,501,SRX4157301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369752,SAMN09303155,simple,34765,Oikopleura dioica,GSM3172872,GEO,SRA714698,11,2019,Danks,stasis,6_RPF_S1,release,Whole animal,Day 7 release,Ribosome-protected RNA,GSM3172873
SRR7252577,108285892,3806506641,35,1249,SRX4157301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369752,SAMN09303155,simple,34765,Oikopleura dioica,GSM3172872,GEO,SRA714698,11,2019,Danks,stasis,6_RPF_S1,stasis,Whole animal,Day 7 stasis,Ribosome-protected RNA,GSM3172874
SRR7252578,42593441,1504405809,35,567,SRX4157302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369753,SAMN09303154,simple,34765,Oikopleura dioica,GSM3172873,GEO,SRA714698,11,2019,Danks,release,7_RPF_R2,release,Whole animal,Day 7 release,Total RNA,GSM3172867
SRR7252579,95442379,3371694897,35,1328,SRX4157302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369753,SAMN09303154,simple,34765,Oikopleura dioica,GSM3172873,GEO,SRA714698,11,2019,Danks,release,7_RPF_R2,stasis,Whole animal,Day 7 stasis,Total RNA,GSM3172868
SRR7252580,40180747,1419455804,35,499,SRX4157303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369754,SAMN09303153,simple,34765,Oikopleura dioica,GSM3172874,GEO,SRA714698,11,2019,Danks,stasis,8_RPF_S2,release,Whole animal,Day 7 release,Total RNA,GSM3172869
SRR7252581,95323153,3360723037,35,1125,SRX4157303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP149663,PRJNA474431,31783727,"",SRS3369754,SAMN09303153,simple,34765,Oikopleura dioica,GSM3172874,GEO,SRA714698,11,2019,Danks,stasis,8_RPF_S2,stasis,Whole animal,Day 7 stasis,Total RNA,GSM3172870
