Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,ip antibody,GEO Accession
SRR1806265,17113939,872810889,51,539,SRX879187,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846790,SAMN03351787,simple,10090,Mus musculus,GSM1612017,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJA7: pS6-IP from control olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612017
SRR1806266,12391525,631967775,51,379,SRX879188,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846789,SAMN03351809,simple,10090,Mus musculus,GSM1612018,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJA9: pS6-IP from 1% TMT stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612018
SRR1806267,11264328,574480728,51,385,SRX879189,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846788,SAMN03351782,simple,10090,Mus musculus,GSM1612019,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJA10: pS6-IP from 100% TMT stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612019
SRR1806268,24247782,1236636882,51,779,SRX879190,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846787,SAMN03351803,simple,10090,Mus musculus,GSM1612020,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJG1: pS6-IP from control olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612020
SRR1806269,30223324,1541389524,51,947,SRX879191,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846786,SAMN03351805,simple,10090,Mus musculus,GSM1612021,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJG2: pS6-IP from 1% TMT stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612021
SRR1806270,30367321,1548733371,51,917,SRX879192,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846779,SAMN03351779,simple,10090,Mus musculus,GSM1612022,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJG3: pS6-IP from 100% TMT stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612022
SRR1806271,30608281,1561022331,51,926,SRX879193,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846785,SAMN03351813,simple,10090,Mus musculus,GSM1612023,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJG4: pS6-IP from control olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612023
SRR1806272,36377357,1855245207,51,1088,SRX879194,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846783,SAMN03351776,simple,10090,Mus musculus,GSM1612024,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJG5: pS6-IP from 1% TMT stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612024
SRR1806273,11808851,602251401,51,418,SRX879195,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846782,SAMN03351781,simple,10090,Mus musculus,GSM1612025,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJG6: pS6-IP from 100% TMT stimulated olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612025
SRR1806274,27710251,1413222801,51,834,SRX879196,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044258,PRJNA255075,26322927,"",SRS846784,SAMN03351814,simple,10090,Mus musculus,GSM1612026,GEO,SRA174993,08,2015,Jiang,olfactory epithelium,YJG7: pS6-IP from control olfactory epithelium,olfactory epithelium,C57BL/6,post natal day 21,"pS6 antibody, Cell signaling, #2215",GSM1612026
