Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype
SRR22580685,157132013,7856600650,50,3459,SRX18543675,GSM6807044,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP412088,PRJNA910205,36711592,"",SRS16009904,SAMN32118021,simple,4932,Saccharomyces cerevisiae,GSM6807044,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,RNA_pat1_Replicate_1,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 delta-pat1::HIS3)"
SRR22580684,120301112,6015055600,50,2507,SRX18543676,GSM6807045,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP412088,PRJNA910205,36711592,"",SRS16009905,SAMN32118020,simple,4932,Saccharomyces cerevisiae,GSM6807045,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,RNA_pat1_Replicate_2,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 delta-pat1::HIS3)"
SRR22580683,141878502,7093925100,50,3011,SRX18543677,GSM6807046,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP412088,PRJNA910205,36711592,"",SRS16009906,SAMN32118019,simple,4932,Saccharomyces cerevisiae,GSM6807046,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,RNA_pat1_Replicate_3,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 delta-pat1::HIS3)"
SRR22580682,97256014,4862800700,50,2138,SRX18543678,GSM6807047,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP412088,PRJNA910205,36711592,"",SRS16009907,SAMN32118018,simple,4932,Saccharomyces cerevisiae,GSM6807047,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,RNA_pat1dhh1_Replicate_1,Whole cells,"W303 F2182 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 delta-pat1::HIS3 delta-dhh1::KanR)"
SRR22580681,122906343,6145317150,50,2553,SRX18543679,GSM6807048,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP412088,PRJNA910205,36711592,"",SRS16009908,SAMN32118017,simple,4932,Saccharomyces cerevisiae,GSM6807048,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,RNA_pat1dhh1_Replicate_2,Whole cells,"W303 F2182 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 delta-pat1::HIS3 delta-dhh1::KanR)"
SRR22580680,94584103,4729205150,50,2012,SRX18543680,GSM6807049,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP412088,PRJNA910205,36711592,"",SRS16009909,SAMN32118016,simple,4932,Saccharomyces cerevisiae,GSM6807049,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,RNA_pat1dhh1_Replicate_3,Whole cells,"W303 F2182 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 delta-pat1::HIS3 delta-dhh1::KanR)"
SRR22580679,64883193,6488319300,100,1886,SRX18543681,GSM6807050,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP412088,PRJNA910205,36711592,"",SRS16009910,SAMN32118015,simple,4932,Saccharomyces cerevisiae,GSM6807050,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,RNA_edc3scd6_Replicate_1,Whole cells,"W303 H5626 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 scd6delta-::HygMX4 edc3delta-::KanMX4)"
SRR22580678,67665181,6766518100,100,1974,SRX18543682,GSM6807051,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP412088,PRJNA910205,36711592,"",SRS16009911,SAMN32118014,simple,4932,Saccharomyces cerevisiae,GSM6807051,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,RNA_edc3scd6_Replicate_2,Whole cells,"W303 H5626 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 scd6delta-::HygMX4 edc3delta-::KanMX4)"
SRR22580677,27737288,2773728800,50,876,SRX18543683,GSM6807052,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP412088,PRJNA910205,36711592,"",SRS16009912,SAMN32118013,simple,4932,Saccharomyces cerevisiae,GSM6807052,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,Rpb1ChIP_WT_Replicate_1,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
SRR22580676,32208364,3220836400,50,1006,SRX18543684,GSM6807053,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP412088,PRJNA910205,36711592,"",SRS16009913,SAMN32118012,simple,4932,Saccharomyces cerevisiae,GSM6807053,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1556367,02,2023,Vijjamarri,Whole cells,Rpb1ChIP_WT_Replicate_2,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
