Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,genotype/variation,molecule,GEO Accession
SRR9002961,95591247,7264934772,76,2290,SRX5723318,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP193378,PRJNA534111,32479508,"",SRS4661475,SAMN11477785,simple,5141,Neurospora crassa,GSM3732951,GEO,SRA878189,05,2020,Lyu,mycelia,Ribosome-profiling-WT,mycelia,87-3,mycelia,wild type,ribosome protected fragments,GSM3732951
SRR9002962,97486737,7408992012,76,2357,SRX5723319,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP193378,PRJNA534111,32479508,"",SRS4661476,SAMN11477784,simple,5141,Neurospora crassa,GSM3732952,GEO,SRA878189,05,2020,Lyu,mycelia,Ribosome-profiling-Siadat2,mycelia,301-6,mycelia,adat2-silenced mutant,ribosome protected fragments,GSM3732952
SRR9002963,25516704,1939269504,76,657,SRX5723320,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP193378,PRJNA534111,32479508,"",SRS4661477,SAMN11477783,simple,5141,Neurospora crassa,GSM3732953,GEO,SRA878189,05,2020,Lyu,mycelia,mRNA-seq-for-normalization-WT,mycelia,87-3,mycelia,wild type,mRNA,GSM3732953
SRR9002964,25911628,1969283728,76,670,SRX5723321,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP193378,PRJNA534111,32479508,"",SRS4661478,SAMN11477782,simple,5141,Neurospora crassa,GSM3732954,GEO,SRA878189,05,2020,Lyu,mycelia,mRNA-seq-for-normalization-Siadat2,mycelia,301-6,mycelia,adat2-silenced mutant,mRNA,GSM3732954
SRR9002965,41295554,12471257308,151,3665,SRX5723322,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193378,PRJNA534111,32479508,"",SRS4661479,SAMN11477781,simple,5141,Neurospora crassa,GSM3732955,GEO,SRA878189,05,2020,Lyu,mycelia,mRNA-seq-WT-replicate_1,mycelia,87-3,mycelia,wild type,mRNA,GSM3732955
SRR9002966,26632001,8042864302,151,2365,SRX5723323,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193378,PRJNA534111,32479508,"",SRS4661480,SAMN11477780,simple,5141,Neurospora crassa,GSM3732956,GEO,SRA878189,05,2020,Lyu,mycelia,mRNA-seq-WT-replicate_2,mycelia,87-3,mycelia,wild type,mRNA,GSM3732956
SRR9002967,33830110,10216693220,151,3015,SRX5723324,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193378,PRJNA534111,32479508,"",SRS4661481,SAMN11477779,simple,5141,Neurospora crassa,GSM3732957,GEO,SRA878189,05,2020,Lyu,mycelia,mRNA-seq-Siadat2-replicate_1,mycelia,301-6,mycelia,adat2-silenced mutant,mRNA,GSM3732957
SRR9002968,37008652,11176612904,151,3286,SRX5723325,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP193378,PRJNA534111,32479508,"",SRS4661482,SAMN11477778,simple,5141,Neurospora crassa,GSM3732958,GEO,SRA878189,05,2020,Lyu,mycelia,mRNA-seq-Siadat2-replicate_2,mycelia,301-6,mycelia,adat2-silenced mutant,mRNA,GSM3732958
SRR9601985,78821592,5990440992,76,1712,SRX6367275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP193378,PRJNA534111,32479508,"",SRS5028721,SAMN12137754,simple,5141,Neurospora crassa,GSM3905559,GEO,SRA878189,05,2020,Lyu,mycelia,Ribosome-profiling-WT-replicate_2,mycelia,87-3,mycelia,wild type,ribosome protected fragments,GSM3905559
SRR9601986,145095480,11027256480,76,3448,SRX6367276,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP193378,PRJNA534111,32479508,"",SRS5028722,SAMN12137753,simple,5141,Neurospora crassa,GSM3905560,GEO,SRA878189,05,2020,Lyu,mycelia,Ribosome-profiling-Siadat2-replicate_2,mycelia,301-6,mycelia,adat2-silenced mutant,ribosome protected fragments,GSM3905560
SRR9601987,80413814,6111449864,76,2029,SRX6367277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP193378,PRJNA534111,32479508,"",SRS5028723,SAMN12137752,simple,5141,Neurospora crassa,GSM3905561,GEO,SRA878189,05,2020,Lyu,mycelia,mRNA-seq-for-normalization-WT-replicate_2,mycelia,87-3,mycelia,wild type,mRNA,GSM3905561
SRR9601988,53333486,4053344936,76,1383,SRX6367278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP193378,PRJNA534111,32479508,"",SRS5028724,SAMN12137751,simple,5141,Neurospora crassa,GSM3905562,GEO,SRA878189,05,2020,Lyu,mycelia,mRNA-seq-for-normalization-Siadat2-replicate_2,mycelia,301-6,mycelia,adat2-silenced mutant,mRNA,GSM3905562
