Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,tissue origin,molecule,GEO Accession
SRR7124015,43738450,3258103644,74,1244,SRX4045084,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262504,SAMN09077471,simple,10090,Mus musculus,GSM3131867,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD009_BC1_RNASeq,CAMKIIa-Ribotag mouse Brain,Rpl22flox/flox;CamKCre+ (Control),Mouse Brain Cortex,Total RNA,GSM3131867
SRR7124016,47035597,3504697627,74,1329,SRX4045085,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262505,SAMN09077470,simple,10090,Mus musculus,GSM3131868,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD009_BC7_RNASeq,CAMKIIa-Ribotag mouse Brain,Fmr1X-Y; Rpl22flox/flox;CamKCre+,Mouse Brain Cortex,Total RNA,GSM3131868
SRR7124017,45936289,3422330415,74,1487,SRX4045086,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262506,SAMN09077469,simple,10090,Mus musculus,GSM3131869,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD019_BC3_RNASeq,CAMKIIa-Ribotag mouse Brain,Rpl22flox/flox;CamKCre+ (Control),Mouse Brain Cortex,Total RNA,GSM3131869
SRR7124018,54190764,4035689166,74,1721,SRX4045087,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262507,SAMN09077468,simple,10090,Mus musculus,GSM3131870,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD019_BC4_RNASeq,CAMKIIa-Ribotag mouse Brain,Fmr1X-Y; Rpl22flox/flox;CamKCre+,Mouse Brain Cortex,Total RNA,GSM3131870
SRR7124019,43977331,3275732396,74,1278,SRX4045088,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262508,SAMN09077467,simple,10090,Mus musculus,GSM3131871,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD028_BC20_RNASeq,CAMKIIa-Ribotag mouse Brain,Fmr1X-Y; Rpl22flox/flox;CamKCre+,Mouse Brain Cortex,Total RNA,GSM3131871
SRR7124020,40111634,2986596635,74,1174,SRX4045089,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262509,SAMN09077466,simple,10090,Mus musculus,GSM3131872,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD028_BC2_RNASeq,CAMKIIa-Ribotag mouse Brain,Rpl22flox/flox;CamKCre+ (Control),Mouse Brain Cortex,Total RNA,GSM3131872
SRR7124021,47931933,3568762167,74,1387,SRX4045090,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262510,SAMN09077465,simple,10090,Mus musculus,GSM3131873,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD028_BC4_RNASeq,CAMKIIa-Ribotag mouse Brain,Fmr1X-Y; Rpl22flox/flox;CamKCre+,Mouse Brain Cortex,Total RNA,GSM3131873
SRR7124022,46673576,3475901433,74,1353,SRX4045091,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262511,SAMN09077464,simple,10090,Mus musculus,GSM3131874,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD028_BC27_RNASeq,CAMKIIa-Ribotag mouse Brain,Rpl22flox/flox;CamKCre+ (Control),Mouse Brain Cortex,Total RNA,GSM3131874
SRR7124023,35762255,1719977478,48,799,SRX4045092,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262512,SAMN09077463,simple,10090,Mus musculus,GSM3131875,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD010_BCF3R5_RibosomeProfiling,CAMKIIa-Ribotag mouse Brain,Rpl22flox/flox;CamKCre+ (Control),Mouse Brain Cortex,Ribosome-protected RNA footprint,GSM3131875
SRR7124024,33588266,1613415875,48,752,SRX4045093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262513,SAMN09077495,simple,10090,Mus musculus,GSM3131876,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD010_BCF2R7_RibosomeProfiling,CAMKIIa-Ribotag mouse Brain,Fmr1X-Y; Rpl22flox/flox;CamKCre+,Mouse Brain Cortex,Ribosome-protected RNA footprint,GSM3131876
SRR7124025,53833310,2611311223,48,1207,SRX4045094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144655,PRJNA464051,30893603,"",SRS3262514,SAMN09077494,simple,10090,Mus musculus,GSM3131877,GEO,SRA699985,03,2019,Das,CAMKIIa-Ribotag mouse Brain,PD014_BCF2R5_RibosomeProfiling,CAMKIIa-Ribotag mouse Brain,Rpl22flox/flox;CamKCre+ (Control),Mouse Brain Cortex,Ribosome-protected RNA footprint,GSM3131877
