Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,age,tissue/cell type,GEO Accession
SRR12055094,225326499,11491651449,51,3683,SRX8583513,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875050,SAMN15326432,simple,6239,Caenorhabditis elegans,GSM4627275,GEO,SRA1089156,11,2021,Stein,Worms,N2_Day1_Rep1,Worms,N2,wild-type,Day 1 adult,Whole animals,GSM4627275
SRR12055095,139325603,7105605753,51,2288,SRX8583514,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875051,SAMN15326430,simple,6239,Caenorhabditis elegans,GSM4627276,GEO,SRA1089156,11,2021,Stein,Worms,N2_Day1_Rep2,Worms,N2,wild-type,Day 1 adult,Whole animals,GSM4627276
SRR12055096,48150854,2455693554,51,806,SRX8583515,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875052,SAMN15326429,simple,6239,Caenorhabditis elegans,GSM4627277,GEO,SRA1089156,11,2021,Stein,Worms,N2_Day6,Worms,N2,wild-type,Day 6 adult,Whole animals,GSM4627277
SRR12055097,75887124,3870243324,51,1240,SRX8583515,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875052,SAMN15326429,simple,6239,Caenorhabditis elegans,GSM4627277,GEO,SRA1089156,11,2021,Stein,Worms,N2_Day6,Worms,N2,wild-type,Day 12 adult,Whole animals,GSM4627278
SRR12055098,140005276,7140269076,51,2298,SRX8583516,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875053,SAMN15326426,simple,6239,Caenorhabditis elegans,GSM4627278,GEO,SRA1089156,11,2021,Stein,Worms,N2_Day12_Rep1,Worms,N2,wild-type,Day 12 adult,Whole animals,GSM4627279
SRR12055099,40924613,2087155263,51,657,SRX8583516,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875053,SAMN15326426,simple,6239,Caenorhabditis elegans,GSM4627278,GEO,SRA1089156,11,2021,Stein,Worms,N2_Day12_Rep1,Yeast,BY4741,wild-type,Day 0,Whole cells,GSM4627280
SRR12055100,41250725,2103786975,51,665,SRX8583516,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875053,SAMN15326426,simple,6239,Caenorhabditis elegans,GSM4627278,GEO,SRA1089156,11,2021,Stein,Worms,N2_Day12_Rep1,Yeast,BY4741,wild-type,Day 0,Whole cells,GSM4627281
SRR12055101,150982798,7700122698,51,2488,SRX8583517,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875054,SAMN15326425,simple,6239,Caenorhabditis elegans,GSM4627279,GEO,SRA1089156,11,2021,Stein,Worms,N2_Day12_Rep2,Yeast,BY4741,wild-type,Day 2,Whole cells,GSM4627282
SRR12055102,31942190,1629051690,51,527,SRX8583518,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875055,SAMN15326423,simple,4932,Saccharomyces cerevisiae,GSM4627280,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day0_Rep1,Yeast,BY4741,wild-type,Day 2,Whole cells,GSM4627283
SRR12055103,40629239,2072091189,51,665,SRX8583518,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875055,SAMN15326423,simple,4932,Saccharomyces cerevisiae,GSM4627280,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day0_Rep1,Yeast,BY4741,wild-type,Day 4,Whole cells,GSM4627284
SRR12055104,17554569,895283019,51,292,SRX8583519,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875056,SAMN15326421,simple,4932,Saccharomyces cerevisiae,GSM4627281,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day0_Rep2,Yeast,BY4741,wild-type,Day 4,Whole cells,GSM4627285
SRR12055105,51478719,2625414669,51,842,SRX8583519,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP268024,PRJNA640641,35046576,"",SRS6875056,SAMN15326421,simple,4932,Saccharomyces cerevisiae,GSM4627281,GEO,SRA1089156,11,2021,Stein,Yeast,WT_Day0_Rep2,Yeast,BY4741,sch9{delta},Day 0,Whole cells,GSM4627286
