Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,tissue,GEO Accession
SRR5291499,15535093,1298336761,83,581,SRX2594142,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100770,PRJNA377088,28798045,"",SRS2021964,SAMN06471722,simple,10090,Mus musculus,GSM2510294,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_1_fasting_RNA,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510294
SRR5291500,34123255,2081518555,61,908,SRX2594143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100770,PRJNA377088,28798045,"",SRS2021963,SAMN06471720,simple,10090,Mus musculus,GSM2510295,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_2_fasting_RNA,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510295
SRR5291501,31401108,1915467588,61,824,SRX2594144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100770,PRJNA377088,28798045,"",SRS2021971,SAMN06471719,simple,10090,Mus musculus,GSM2510296,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_3_fasting_RNA,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510296
SRR5291502,19753388,1650494899,83,741,SRX2594145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100770,PRJNA377088,28798045,"",SRS2021968,SAMN06471850,simple,10090,Mus musculus,GSM2510297,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_1_refed_RNA,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510297
SRR5291503,16642335,1390370176,83,621,SRX2594146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100770,PRJNA377088,28798045,"",SRS2021966,SAMN06471848,simple,10090,Mus musculus,GSM2510298,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_2_refed_RNA,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510298
SRR5291504,16339886,1365251767,83,609,SRX2594147,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100770,PRJNA377088,28798045,"",SRS2021965,SAMN06471846,simple,10090,Mus musculus,GSM2510299,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_3_refed_RNA,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510299
SRR5291505,77015703,5197920408,67,2286,SRX2594148,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100770,PRJNA377088,28798045,"",SRS2021967,SAMN06471843,simple,10090,Mus musculus,GSM2510300,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_1_fasting_Ribo,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510300
SRR5291506,80449451,4907416511,61,2013,SRX2594149,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100770,PRJNA377088,28798045,"",SRS2021970,SAMN06471840,simple,10090,Mus musculus,GSM2510301,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_2_fasting_Ribo,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510301
SRR5291507,81970591,5000206051,61,2025,SRX2594150,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100770,PRJNA377088,28798045,"",SRS2021969,SAMN06471839,simple,10090,Mus musculus,GSM2510302,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_3_fasting_Ribo,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510302
SRR5291508,70303472,4968177885,70,2192,SRX2594151,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100770,PRJNA377088,28798045,"",SRS2021972,SAMN06471837,simple,10090,Mus musculus,GSM2510303,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_1_refed_Ribo,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510303
SRR5291509,94665378,6529371899,68,2886,SRX2594152,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100770,PRJNA377088,28798045,"",SRS2021974,SAMN06471835,simple,10090,Mus musculus,GSM2510304,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_2_refed_Ribo,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510304
SRR5291510,75944046,4632586806,61,2065,SRX2594153,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100770,PRJNA377088,28798045,"",SRS2021973,SAMN06471833,simple,10090,Mus musculus,GSM2510305,GEO,SRA540649,08,2017,Moor,mouse duodenum,Duodenum_3_refed_Ribo,mouse duodenum,C57BL/6,8 weeks,duodenum,GSM2510305
