Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,tissue,GEO Accession
SRR6833085,16083058,804152900,50,362,SRX3789165,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041830,SAMN08709422,simple,3702,Arabidopsis thaliana,GSM3040077,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,atxr_rep1,10-day-old seedlings,atxr,10-day-old seedlings,GSM3040077
SRR6833086,16554558,827727900,50,371,SRX3789166,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041831,SAMN08709421,simple,3702,Arabidopsis thaliana,GSM3040078,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,atxr_rep2,10-day-old seedlings,atxr,10-day-old seedlings,GSM3040078
SRR6833087,19237025,961851250,50,430,SRX3789167,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041832,SAMN08709420,simple,3702,Arabidopsis thaliana,GSM3040079,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,atxr_rep3,10-day-old seedlings,atxr,10-day-old seedlings,GSM3040079
SRR6833088,18455406,922770300,50,414,SRX3789168,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041833,SAMN08709419,simple,3702,Arabidopsis thaliana,GSM3040080,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,cbp80_rep1,10-day-old seedlings,cbp80,10-day-old seedlings,GSM3040080
SRR6833089,18675125,933756250,50,419,SRX3789169,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041834,SAMN08709418,simple,3702,Arabidopsis thaliana,GSM3040081,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,cbp80_rep2,10-day-old seedlings,cbp80,10-day-old seedlings,GSM3040081
SRR6833090,20571025,1028551250,50,469,SRX3789170,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041835,SAMN08709417,simple,3702,Arabidopsis thaliana,GSM3040082,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,cbp80_rep3,10-day-old seedlings,cbp80,10-day-old seedlings,GSM3040082
SRR6833091,17218557,860927850,50,386,SRX3789171,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041836,SAMN08709416,simple,3702,Arabidopsis thaliana,GSM3040083,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,cbp80_atxr_rep1,10-day-old seedlings,cbp80_atxr,10-day-old seedlings,GSM3040083
SRR6833092,16764703,838235150,50,379,SRX3789172,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041837,SAMN08709415,simple,3702,Arabidopsis thaliana,GSM3040084,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,cbp80_atxr_rep2,10-day-old seedlings,cbp80_atxr,10-day-old seedlings,GSM3040084
SRR6833093,19764061,988203050,50,444,SRX3789173,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041838,SAMN08709414,simple,3702,Arabidopsis thaliana,GSM3040085,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,cbp80_atxr_rep3,10-day-old seedlings,cbp80_atxr,10-day-old seedlings,GSM3040085
SRR6833094,14965147,748257350,50,335,SRX3789174,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP135665,PRJNA438240,29920280,"",SRS3041839,SAMN08709413,simple,3702,Arabidopsis thaliana,GSM3040086,GEO,SRA666460,06,2018,Ma,10-day-old seedlings,Col_0_rep1,10-day-old seedlings,Col_0,10-day-old seedlings,GSM3040086
