Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,sample type,GEO Accession
SRR14066137,14620619,1462061900,100,1108,SRX10440632,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312040,PRJNA717063,35304469,"",SRS8573032,SAMN18477480,simple,9606,Homo sapiens,GSM5210402,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_M1_KD2_DeM,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,METTL1-knockdown,demethylated by ALKB,TRAC-seq,GSM5210402
SRR14066138,11475170,1147517000,100,893,SRX10440633,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312040,PRJNA717063,35304469,"",SRS8573033,SAMN18477479,simple,9606,Homo sapiens,GSM5210403,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_ctrl1_ReD,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,normal,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,TRAC-seq,GSM5210403
SRR14066139,21866651,2186665100,100,1700,SRX10440634,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312040,PRJNA717063,35304469,"",SRS8573034,SAMN18477478,simple,9606,Homo sapiens,GSM5210404,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_ctrl2_ReD,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,normal,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,TRAC-seq,GSM5210404
SRR14066140,14515628,1451562800,100,1102,SRX10440635,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312040,PRJNA717063,35304469,"",SRS8573035,SAMN18477477,simple,9606,Homo sapiens,GSM5210405,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_M1_KD1_ReD,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,METTL1-knockdown,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,TRAC-seq,GSM5210405
SRR14066141,14288768,1428876800,100,1088,SRX10440636,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312040,PRJNA717063,35304469,"",SRS8573036,SAMN18477476,simple,9606,Homo sapiens,GSM5210406,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_M1_KD2_ReD,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,METTL1-knockdown,demethylated by ALKB; NaBH4/Aniline induced reduction and cleavage,TRAC-seq,GSM5210406
SRR14066142,23068028,1153401400,50,928,SRX10440637,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS8573037,SAMN18477475,simple,9606,Homo sapiens,GSM5210407,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_ctrl_input,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,normal,,Polyribosome-bound-RNA-seq,GSM5210407
SRR14066143,21934936,1096746800,50,883,SRX10440638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS8573038,SAMN18477474,simple,9606,Homo sapiens,GSM5210408,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_ctrl_rnc,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,normal,polyribosome-bound-mRNAs isolated,Polyribosome-bound-RNA-seq,GSM5210408
SRR14066144,21020728,1051036400,50,848,SRX10440639,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS8573039,SAMN18477473,simple,9606,Homo sapiens,GSM5210409,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_M1_KD_input,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,METTL1-knockdown,,Polyribosome-bound-RNA-seq,GSM5210409
SRR14066145,22034916,1101745800,50,886,SRX10440640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS8573040,SAMN18477472,simple,9606,Homo sapiens,GSM5210410,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_M1_KD_rnc,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,METTL1-knockdown,polyribosome-bound-mRNAs isolated,Polyribosome-bound-RNA-seq,GSM5210410
SRR14066130,22466073,6739821900,150,2108,SRX10440641,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP312040,PRJNA717063,35304469,"",SRS8573041,SAMN18477471,simple,9606,Homo sapiens,GSM5210411,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_ctrl_RNA-seq,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,normal,,Ribo-seq,GSM5210411
SRR14066131,108618922,32585676600,150,15118,SRX10440642,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP312040,PRJNA717063,35304469,"",SRS8573042,SAMN18477470,simple,9606,Homo sapiens,GSM5210412,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_ctrl_Ribo-seq,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,normal,harringtonine; cycloheximide,Ribo-seq,GSM5210412
SRR14066132,22475775,6742732500,150,2173,SRX10440643,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP312040,PRJNA717063,35304469,"",SRS8573043,SAMN18477469,simple,9606,Homo sapiens,GSM5210413,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_M1_KD_RNA-seq,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,METTL1-knockdown,,Ribo-seq,GSM5210413
SRR14066133,113339502,34001850600,150,15878,SRX10440644,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP312040,PRJNA717063,35304469,"",SRS8573044,SAMN18477468,simple,9606,Homo sapiens,GSM5210414,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_M1_KD_Ribo-seq,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,METTL1-knockdown,harringtonine; cycloheximide,Ribo-seq,GSM5210414
SRR14066134,13241569,1324156900,100,1007,SRX10440645,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312040,PRJNA717063,35304469,"",SRS8573045,SAMN18477467,simple,9606,Homo sapiens,GSM5210399,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_ctrl1_DeM,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,normal,demethylated by ALKB,TRAC-seq,GSM5210399
SRR14066135,17818390,1781839000,100,1378,SRX10440646,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312040,PRJNA717063,35304469,"",SRS8573046,SAMN18477482,simple,9606,Homo sapiens,GSM5210400,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_ctrl2_DeM,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,normal,demethylated by ALKB,TRAC-seq,GSM5210400
SRR14066136,9889542,988954200,100,755,SRX10440647,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312040,PRJNA717063,35304469,"",SRS8573047,SAMN18477481,simple,9606,Homo sapiens,GSM5210401,GEO,SRA1210108,02,2022,Han,esophagus,KYSE-30_M1_KD1_DeM,esophagus,KYSE-30,esophageal squamous cell carcinoma cell line,METTL1-knockdown,demethylated by ALKB,TRAC-seq,GSM5210401
SRR18049377,23855978,1192798900,50,667,SRX14201646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022065,SAMN25995470,simple,9606,Homo sapiens,GSM5903008,GEO,SRA1210108,02,2022,Han,esophagus,shGFP_1_input,esophagus,,esophageal epithelial,normal,,,GSM5903008
SRR18049378,23805037,1190251850,50,658,SRX14201647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022066,SAMN25995471,simple,9606,Homo sapiens,GSM5903009,GEO,SRA1210108,02,2022,Han,esophagus,shGFP_1_RNC,esophagus,,esophageal epithelial,normal,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,,GSM5903009
SRR18049379,23843611,1192180550,50,666,SRX14201648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022067,SAMN25995472,simple,9606,Homo sapiens,GSM5903010,GEO,SRA1210108,02,2022,Han,esophagus,shGFP_2_input,esophagus,,esophageal epithelial,normal,,,GSM5903010
SRR18049380,23554158,1177707900,50,651,SRX14201649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312040,PRJNA717063,35304469,"",SRS12022068,SAMN25995473,simple,9606,Homo sapiens,GSM5903011,GEO,SRA1210108,02,2022,Han,esophagus,shGFP_2_RNC,esophagus,,esophageal epithelial,normal,The polyribosome-bound-mRNAs were isolated from total RNA by ultra-centrifugation,,GSM5903011
