Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,dev_stage,geo_loc_name,tissue,treatment,seq_type,replicate,BioSampleModel
SRR8594313,203946105,14781420675,72,5371,SRX5394397,Ribo-seq_SR86_0h_rep1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381372,SAMN10970126,simple,4530,Oryza sativa,SR86_Ribo_0h_1,Shenzhen University,SRA850647,05,2019,Makar,"","",Sea Rice 86,seedling(three-leaf stage),not collected,shoot,Normal,Ribo-seq,1,Plant
SRR8594312,120424619,6021230950,50,1922,SRX5394398,Ribo-seq_SR86_0h_rep2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381373,SAMN10970127,simple,4530,Oryza sativa,SR86_Ribo_0h_2,Shenzhen University,SRA850647,05,2019,Makar,"","",Sea Rice 86,seedling(three-leaf stage),not collected,shoot,Normal,Ribo-seq,2,Plant
SRR8594311,137037870,6851893500,50,2230,SRX5394399,Ribo-seq_NB_24h_rep1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381374,SAMN10970124,simple,39947,Oryza sativa Japonica Group,NB_Ribo_24h_1,Shenzhen University,SRA850647,05,2019,Makar,"","",Nipponbare,seedling(three-leaf stage),not collected,shoot,Salt stress,Ribo-seq,1,Plant
SRR8594310,135127676,6756383800,50,2151,SRX5394400,Ribo-seq_NB_24h_rep2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381375,SAMN10970125,simple,39947,Oryza sativa Japonica Group,NB_Ribo_24h_2,Shenzhen University,SRA850647,05,2019,Makar,"","",Nipponbare,seedling(three-leaf stage),not collected,shoot,Salt stress,Ribo-seq,2,Plant
SRR8594309,164697539,11935948250,72,4316,SRX5394401,Ribo-seq_SR86_24h_rep1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381376,SAMN10970128,simple,4530,Oryza sativa,SR86_Ribo_24h_1,Shenzhen University,SRA850647,05,2019,Makar,"","",Sea Rice 86,seedling(three-leaf stage),not collected,shoot,Salt stress,Ribo-seq,1,Plant
SRR8594308,181383428,13139334525,72,4840,SRX5394402,Ribo-seq_SR86_24h_rep2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381377,SAMN10970129,simple,4530,Oryza sativa,SR86_Ribo_24h_2,Shenzhen University,SRA850647,05,2019,Makar,"","",Sea Rice 86,seedling(three-leaf stage),not collected,shoot,Salt stress,Ribo-seq,2,Plant
SRR8594307,115237038,5761851900,50,1774,SRX5394403,RNA-seq_NB_0h_rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381378,SAMN10970114,simple,39947,Oryza sativa Japonica Group,NB_RNA_0h_1,Shenzhen University,SRA850647,05,2019,Makar,"","",Nipponbare,seedling(three-leaf stage),not collected,shoot,Normal,RNA-seq,1,Plant
SRR8594306,129516070,6475803500,50,1976,SRX5394404,RNA-seq_NB_0h_rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381379,SAMN10970115,simple,39947,Oryza sativa Japonica Group,NB_RNA_0h_2,Shenzhen University,SRA850647,05,2019,Makar,"","",Nipponbare,seedling(three-leaf stage),not collected,shoot,Normal,RNA-seq,2,Plant
SRR8594305,73549620,3677481000,50,1141,SRX5394405,RNA-seq_NB_24h_rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381380,SAMN10970116,simple,39947,Oryza sativa Japonica Group,NB_RNA_24h_1,Shenzhen University,SRA850647,05,2019,Makar,"","",Nipponbare,seedling(three-leaf stage),not collected,shoot,Salt stress,RNA-seq,1,Plant
SRR8594304,128918442,6445922100,50,1993,SRX5394406,RNA-seq_NB_24h_rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186346,PRJNA523300,1,"",SRS4381381,SAMN10970117,simple,39947,Oryza sativa Japonica Group,NB_RNA_24h_2,Shenzhen University,SRA850647,05,2019,Makar,"","",Nipponbare,seedling(three-leaf stage),not collected,shoot,Salt stress,RNA-seq,2,Plant
