Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,common name,developmental stage,disease,infect,organism part,sample name,Experimental Factor: infect
ERR4467418,2290607,174086132,76,58,ERX4406291,M3_1_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953007,SAMEA7192777,simple,10036,Mesocricetus auratus,SAMEA7192777,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",M3_1,2021-07-31,2021-07-31,SAMEA7192777,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:M3_1,ArrayExpress,BSR,golden hamster,neonate,normal,M3 mutant Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:M3_1,M3 mutant Theiler's encephalomyelitis virus
ERR4467419,25487683,1937063908,76,583,ERX4406292,M3_2_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953008,SAMEA7192778,simple,10036,Mesocricetus auratus,SAMEA7192778,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",M3_2,2021-07-31,2021-07-31,SAMEA7192778,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:M3_2,ArrayExpress,BSR,golden hamster,neonate,normal,M3 mutant Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:M3_2,M3 mutant Theiler's encephalomyelitis virus
ERR4467420,1821290,138418040,76,46,ERX4406292,M3_2_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953008,SAMEA7192778,simple,10036,Mesocricetus auratus,SAMEA7192778,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",M3_2,2021-07-31,2021-07-31,SAMEA7192779,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:M3_3,ArrayExpress,BSR,golden hamster,neonate,normal,M3 mutant Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:M3_3,M3 mutant Theiler's encephalomyelitis virus
ERR4467421,30504465,2318339340,76,743,ERX4406293,M3_3_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953009,SAMEA7192779,simple,10036,Mesocricetus auratus,SAMEA7192779,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",M3_3,2021-07-31,2021-07-31,SAMEA7192780,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:mock_1,ArrayExpress,BSR,golden hamster,neonate,normal,mock,kidney,E-MTAB-9438:mock_1,mock
ERR4467422,1914259,145483684,76,65,ERX4406294,mock_1_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953010,SAMEA7192780,simple,10036,Mesocricetus auratus,SAMEA7192780,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",mock_1,2021-07-31,2021-07-31,SAMEA7192781,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:mock_2,ArrayExpress,BSR,golden hamster,neonate,normal,mock,kidney,E-MTAB-9438:mock_2,mock
ERR4467423,24162402,1836342552,76,554,ERX4406295,mock_2_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953011,SAMEA7192781,simple,10036,Mesocricetus auratus,SAMEA7192781,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",mock_2,2021-07-31,2021-07-31,SAMEA7192782,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:mock_3,ArrayExpress,BSR,golden hamster,neonate,normal,mock,kidney,E-MTAB-9438:mock_3,mock
ERR4467424,2235891,169927716,76,56,ERX4406295,mock_2_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953011,SAMEA7192781,simple,10036,Mesocricetus auratus,SAMEA7192781,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",mock_2,2021-07-31,2021-07-31,SAMEA7192783,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:SS_1,ArrayExpress,BSR,golden hamster,neonate,normal,SS mutant Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:SS_1,SS mutant Theiler's encephalomyelitis virus
ERR4467425,27548554,2093690104,76,675,ERX4406296,mock_3_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953012,SAMEA7192782,simple,10036,Mesocricetus auratus,SAMEA7192782,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",mock_3,2021-07-31,2021-07-31,SAMEA7192784,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:SS_2,ArrayExpress,BSR,golden hamster,neonate,normal,SS mutant Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:SS_2,SS mutant Theiler's encephalomyelitis virus
ERR4467426,2392994,181867544,76,60,ERX4406297,SS_1_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953013,SAMEA7192783,simple,10036,Mesocricetus auratus,SAMEA7192783,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",SS_1,2021-07-31,2021-07-31,SAMEA7192785,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:SS_3,ArrayExpress,BSR,golden hamster,neonate,normal,SS mutant Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:SS_3,SS mutant Theiler's encephalomyelitis virus
ERR4467427,23051481,1751912556,76,533,ERX4406298,SS_2_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953014,SAMEA7192784,simple,10036,Mesocricetus auratus,SAMEA7192784,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",SS_2,2021-07-31,2021-07-31,SAMEA7192786,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:WT_1,ArrayExpress,BSR,golden hamster,neonate,normal,wild type Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:WT_1,wild type Theiler's encephalomyelitis virus
ERR4467428,1976247,150194772,76,50,ERX4406298,SS_2_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953014,SAMEA7192784,simple,10036,Mesocricetus auratus,SAMEA7192784,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",SS_2,2021-07-31,2021-07-31,SAMEA7192787,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:WT_2,ArrayExpress,BSR,golden hamster,neonate,normal,wild type Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:WT_2,wild type Theiler's encephalomyelitis virus
ERR4467429,21788351,1655914676,76,534,ERX4406299,SS_3_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953015,SAMEA7192785,simple,10036,Mesocricetus auratus,SAMEA7192785,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",SS_3,2021-07-31,2021-07-31,SAMEA7192788,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:WT_3,ArrayExpress,BSR,golden hamster,neonate,normal,wild type Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:WT_3,wild type Theiler's encephalomyelitis virus
ERR4467430,1790088,136046688,76,60,ERX4406300,WT_1_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953016,SAMEA7192786,simple,10036,Mesocricetus auratus,SAMEA7192786,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",WT_1,2021-07-31,2021-07-31,SAMEA7192777,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:M3_1,ArrayExpress,BSR,golden hamster,neonate,normal,M3 mutant Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:M3_1,M3 mutant Theiler's encephalomyelitis virus
ERR4467431,24302711,1847006036,76,562,ERX4406301,WT_2_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953017,SAMEA7192787,simple,10036,Mesocricetus auratus,SAMEA7192787,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",WT_2,2021-07-31,2021-07-31,SAMEA7192778,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:M3_2,ArrayExpress,BSR,golden hamster,neonate,normal,M3 mutant Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:M3_2,M3 mutant Theiler's encephalomyelitis virus
ERR4467432,2105870,160046120,76,54,ERX4406301,WT_2_s,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP123475,PRJEB39905,1,"",ERS4953017,SAMEA7192787,simple,10036,Mesocricetus auratus,SAMEA7192787,"Division of Virology, Department of Pathology, University of Cambridge",ERA2814819,11,2021,Makar,"",WT_2,2021-07-31,2021-07-31,SAMEA7192779,"Division of Virology, Department of Pathology, University of Cambridge","Division of Virology, Department of Pathology, University of Cambridge",2021-07-31T00:10:53Z,2021-07-31T00:10:53Z,public,E-MTAB-9438:M3_3,ArrayExpress,BSR,golden hamster,neonate,normal,M3 mutant Theiler's encephalomyelitis virus,kidney,E-MTAB-9438:M3_3,M3 mutant Theiler's encephalomyelitis virus
