Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,rna fraction,geo_loc_name,collection_date,strain,substrain
SRR22447291,23778986,1188949300,50,470,SRX18416147,GSM6765079,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP410481,PRJNA906596,1,"",SRS15899100,SAMN31929683,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765079,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RIBO_pH7.6_1,bacterial cell,bacterial cell,WT,pH 7.6,ribosome-protected mRNA fragments,missing,missing,K-12,MG1655
SRR22447290,10184865,611091900,60,180,SRX18416148,GSM6765096,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP410481,PRJNA906596,1,"",SRS15899101,SAMN31929666,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765096,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RNA_pH4.4_3,bacterial cell,bacterial cell,WT,pH 4.4,mRNA,missing,missing,K-12,MG1655
SRR22447288,23996818,1199840900,50,465,SRX18416149,GSM6765080,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP410481,PRJNA906596,1,"",SRS15899102,SAMN31929682,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765080,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RIBO_pH5.8_1,bacterial cell,bacterial cell,WT,pH 5.8,ribosome-protected mRNA fragments,missing,missing,K-12,MG1655
SRR22447287,6943493,416609580,60,122,SRX18416150,GSM6765092,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP410481,PRJNA906596,1,"",SRS15899103,SAMN31929670,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765092,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RNA_pH5.8_2,bacterial cell,bacterial cell,WT,pH 5.8,mRNA,missing,missing,K-12,MG1655
SRR22447286,21242005,1062100250,50,419,SRX18416151,GSM6765081,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP410481,PRJNA906596,1,"",SRS15899104,SAMN31929681,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765081,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RIBO_pH4.4_1,bacterial cell,bacterial cell,WT,pH 4.4,ribosome-protected mRNA fragments,missing,missing,K-12,MG1655
SRR22447285,29506130,1475306500,50,578,SRX18416152,GSM6765082,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP410481,PRJNA906596,1,"",SRS15899105,SAMN31929680,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765082,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RIBO_pH7.6_2,bacterial cell,bacterial cell,WT,pH 7.6,ribosome-protected mRNA fragments,missing,missing,K-12,MG1655
SRR22447284,27730377,1386518850,50,542,SRX18416153,GSM6765083,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP410481,PRJNA906596,1,"",SRS15899106,SAMN31929679,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765083,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RIBO_pH5.8_2,bacterial cell,bacterial cell,WT,pH 5.8,ribosome-protected mRNA fragments,missing,missing,K-12,MG1655
SRR22447283,23357062,1167853100,50,455,SRX18416154,GSM6765084,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP410481,PRJNA906596,1,"",SRS15899107,SAMN31929678,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765084,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RIBO_pH4.4_2,bacterial cell,bacterial cell,WT,pH 4.4,ribosome-protected mRNA fragments,missing,missing,K-12,MG1655
SRR22447282,28522189,1426109450,50,556,SRX18416155,GSM6765085,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP410481,PRJNA906596,1,"",SRS15899108,SAMN31929677,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765085,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RIBO_pH7.6_3,bacterial cell,bacterial cell,WT,pH 7.6,ribosome-protected mRNA fragments,missing,missing,K-12,MG1655
SRR22447281,30680017,1534000850,50,597,SRX18416156,GSM6765086,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP410481,PRJNA906596,1,"",SRS15899109,SAMN31929676,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM6765086,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1549453,09,2023,Makar,bacterial cell,RIBO_pH5.8_3,bacterial cell,bacterial cell,WT,pH 5.8,ribosome-protected mRNA fragments,missing,missing,K-12,MG1655
