Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,cultivar,ecotype,age,dev_stage,geo_loc_name,tissue,treatment,BioSampleModel
SRR21460612,22392878,6717863400,150,2144,SRX17464317,control1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017922,SAMN30702089,simple,47965,Acer truncatum,control1,Jiangsu Academy of Agricultural Sciences,SRA1492049,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -85 days after flowering,Germany,seeds,control1,Plant
SRR21460611,19088990,5726697000,150,1828,SRX17464318,control2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017923,SAMN30702090,simple,47965,Acer truncatum,control2,Jiangsu Academy of Agricultural Sciences,SRA1492049,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -85 days after flowering,Germany,seeds,control2,Plant
SRR21460610,19344964,5803489200,150,1840,SRX17464319,control3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017924,SAMN30702091,simple,47965,Acer truncatum,control3,Jiangsu Academy of Agricultural Sciences,SRA1492049,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -85 days after flowering,Germany,seeds,control3,Plant
SRR21460609,20598066,6179419800,150,1966,SRX17464320,treat1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017925,SAMN30702092,simple,47965,Acer truncatum,treat1,Jiangsu Academy of Agricultural Sciences,SRA1492049,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -115 days after flowering,Germany,seeds,treatment1,Plant
SRR21460608,23718769,7115630700,150,2268,SRX17464321,treat2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017926,SAMN30702093,simple,47965,Acer truncatum,treat2,Jiangsu Academy of Agricultural Sciences,SRA1492049,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -115 days after flowering,Germany,seeds,treatment2,Plant
SRR21460607,20654798,6196439400,150,1949,SRX17464322,treat3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017927,SAMN30702094,simple,47965,Acer truncatum,treat3,Jiangsu Academy of Agricultural Sciences,SRA1492049,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -115 days after flowering,Germany,seeds,treatment3,Plant
SRR21517732,71742716,21522814800,150,9815,SRX17520216,SAMN30702089,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017922,SAMN30702089,simple,47965,Acer truncatum,control1,Jiangsu Academy of Agricultural Sciences,SRA1494321,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -85 days after flowering,Germany,seeds,control1,Plant
SRR21517731,57882778,17364833400,150,6644,SRX17520217,SAMN30702090,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017923,SAMN30702090,simple,47965,Acer truncatum,control2,Jiangsu Academy of Agricultural Sciences,SRA1494321,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -85 days after flowering,Germany,seeds,control2,Plant
SRR21517730,69530538,20859161400,150,9415,SRX17520218,SAMN30702091,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017924,SAMN30702091,simple,47965,Acer truncatum,control3,Jiangsu Academy of Agricultural Sciences,SRA1494321,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -85 days after flowering,Germany,seeds,control3,Plant
SRR21517729,65315155,19594546500,150,6813,SRX17520219,SAMN30702092,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP395967,PRJNA877423,1,"",SRS15017925,SAMN30702092,simple,47965,Acer truncatum,treat1,Jiangsu Academy of Agricultural Sciences,SRA1494321,02,2023,Makar,"","",adult tree,no,no,12 years old,seed -115 days after flowering,Germany,seeds,treatment1,Plant
