Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,dev stage,sample name
ERR3413869,133414032,10139466432,76,4803,ERX3437515,64-cell 1 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555997,SAMEA5752538,simple,7955,Danio rerio,SAMEA5752538,Computational Biology Unit,ERA2028987,04,2020,Makar,"",64-cell 1,2020-03-27,2019-07-03,SAMEA5752538,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,1,zebrafish,64-cell,1
ERR3413870,112423127,8544157652,76,4121,ERX3437516,64-cell 1 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555997,SAMEA5752538,simple,7955,Danio rerio,SAMEA5752538,Computational Biology Unit,ERA2028987,04,2020,Makar,"",64-cell 1,2020-03-27,2019-07-03,SAMEA5752538,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,1,zebrafish,64-cell,1
ERR3489849,133414032,10139466432,76,4590,ERX3511264,64-cell 1 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555997,SAMEA5752538,simple,7955,Danio rerio,SAMEA5752538,Computational Biology Unit,ERA2100634,04,2020,Makar,"",64-cell 1,2020-03-27,2019-07-03,SAMEA5752538,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,1,zebrafish,64-cell,1
ERR3489850,112423127,8544157652,76,4121,ERX3511265,64-cell 1 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555997,SAMEA5752538,simple,7955,Danio rerio,SAMEA5752538,Computational Biology Unit,ERA2100634,04,2020,Makar,"",64-cell 1,2020-03-27,2019-07-03,SAMEA5752538,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,1,zebrafish,64-cell,1
ERR3489851,125335238,9525478088,76,4662,ERX3511266,64-cell 2 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555998,SAMEA5752539,simple,7955,Danio rerio,SAMEA5752539,Computational Biology Unit,ERA2100634,04,2020,Makar,"",64-cell 2,2020-03-27,2019-07-03,SAMEA5752539,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,2,zebrafish,64-cell,2
ERR3489852,154244459,11722578884,76,5619,ERX3511267,64-cell 2 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555998,SAMEA5752539,simple,7955,Danio rerio,SAMEA5752539,Computational Biology Unit,ERA2100634,04,2020,Makar,"",64-cell 2,2020-03-27,2019-07-03,SAMEA5752539,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,2,zebrafish,64-cell,2
ERR3489853,97410283,7403181508,76,3494,ERX3511268,Sphere 1 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555999,SAMEA5752540,simple,7955,Danio rerio,SAMEA5752540,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Sphere 1,2020-03-27,2019-07-03,SAMEA5752540,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,3,zebrafish,Sphere,3
ERR3489854,43576307,3311799332,76,1617,ERX3511269,Sphere 1 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3555999,SAMEA5752540,simple,7955,Danio rerio,SAMEA5752540,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Sphere 1,2020-03-27,2019-07-03,SAMEA5752540,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,3,zebrafish,Sphere,3
ERR3489855,174193839,13238731764,76,6526,ERX3511270,Sphere 2 SSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556000,SAMEA5752541,simple,7955,Danio rerio,SAMEA5752541,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Sphere 2,2020-03-27,2019-07-03,SAMEA5752541,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,4,zebrafish,Sphere,4
ERR3489856,87894651,6679993476,76,3317,ERX3511271,Sphere 2 LSU,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP116106,PRJEB33323,1,"",ERS3556000,SAMEA5752541,simple,7955,Danio rerio,SAMEA5752541,Computational Biology Unit,ERA2100634,04,2020,Makar,"",Sphere 2,2020-03-27,2019-07-03,SAMEA5752541,Computational Biology Unit,Computational Biology Unit,2020-03-27T17:04:59Z,2019-07-03T10:01:14Z,public,4,zebrafish,Sphere,4
