Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,rpl15 overexpressing,batch,molecule subtype,GEO Accession
SRR10883784,29296924,2222120603,75,877,SRX7552796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990220,SAMN13842337,simple,9606,Homo sapiens,GSM4263926,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,control_BRx142_batch1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,batch1,ribosome-bound mRNA,GSM4263926
SRR10883785,28567855,2166842057,75,851,SRX7552796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990220,SAMN13842337,simple,9606,Homo sapiens,GSM4263926,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,control_BRx142_batch1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,batch1,ribosome-bound mRNA,GSM4263927
SRR10883786,29001532,2199719803,75,877,SRX7552796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990220,SAMN13842337,simple,9606,Homo sapiens,GSM4263926,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,control_BRx142_batch1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,batch2,ribosome-bound mRNA,GSM4263928
SRR10883787,28950624,2195865117,75,870,SRX7552796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990220,SAMN13842337,simple,9606,Homo sapiens,GSM4263926,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,control_BRx142_batch1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,batch2,ribosome-bound mRNA,GSM4263929
SRR10883788,29965457,2271972302,75,883,SRX7552797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990222,SAMN13842336,simple,9606,Homo sapiens,GSM4263927,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,RPL15_overexpressing_BRx142_batch1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,batch1,ribosome-bound mRNA,GSM4263926
SRR10883789,29349672,2225300013,75,861,SRX7552797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990222,SAMN13842336,simple,9606,Homo sapiens,GSM4263927,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,RPL15_overexpressing_BRx142_batch1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,batch1,ribosome-bound mRNA,GSM4263927
SRR10883790,30709667,2328460998,75,912,SRX7552797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990222,SAMN13842336,simple,9606,Homo sapiens,GSM4263927,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,RPL15_overexpressing_BRx142_batch1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,batch2,ribosome-bound mRNA,GSM4263928
SRR10883791,29911125,2267875922,75,883,SRX7552797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990222,SAMN13842336,simple,9606,Homo sapiens,GSM4263927,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,RPL15_overexpressing_BRx142_batch1,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,batch2,ribosome-bound mRNA,GSM4263929
SRR10883792,11965174,909353224,76,345,SRX7552798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990221,SAMN13842335,simple,9606,Homo sapiens,GSM4263928,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,control_BRx142_batch2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,control,batch1,ribosome-bound mRNA,GSM4263926
SRR10883793,12065093,916947068,76,348,SRX7552798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP241899,PRJNA601135,32029688,"",SRS5990221,SAMN13842335,simple,9606,Homo sapiens,GSM4263928,GEO,SRA1026011,02,2020,Ebright,circulating tumor cell - derived cell line,control_BRx142_batch2,circulating tumor cell - derived cell line,circulating tumor cell - derived cell line,RPL15 overexpressing,batch1,ribosome-bound mRNA,GSM4263927
