Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,developmental stage,number of animals,GEO Accession
SRR13068165,27955674,2851478748,51,1246,SRX9515684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723556,SAMN16810962,simple,9031,Gallus gallus,GSM4910214,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,mmMO 1: Control Morpholino Replicate 1,cranial neural folds,0.5mM mmMO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910214
SRR13068166,26813982,2735026164,51,1199,SRX9515685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723557,SAMN16810961,simple,9031,Gallus gallus,GSM4910215,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,mmMO 2: Control Morpholino Replicate 2,cranial neural folds,0.5mM mmMO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910215
SRR13068167,26649462,2718245124,51,1195,SRX9515686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723558,SAMN16810960,simple,9031,Gallus gallus,GSM4910216,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,mmMO 3: Control Morpholino Replicate 3,cranial neural folds,0.5mM mmMO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910216
SRR13068168,28029810,2859040620,51,1273,SRX9515687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723559,SAMN16810959,simple,9031,Gallus gallus,GSM4910217,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,mmMO 4: Control Morpholino Replicate 4,cranial neural folds,0.5mM mmMO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910217
SRR13068169,27918596,2847696792,51,1266,SRX9515688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723560,SAMN16810958,simple,9031,Gallus gallus,GSM4910218,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,mmMO 5: Control Morpholino Replicate 5,cranial neural folds,0.5mM mmMO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910218
SRR13068170,34789188,3548497176,51,1550,SRX9515689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723561,SAMN16810957,simple,9031,Gallus gallus,GSM4910219,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,MO 1: NSD3 Morpholino Replicate 1,cranial neural folds,0.5mM NSD3 MO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910219
SRR13068171,25645598,2615850996,51,1155,SRX9515690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723562,SAMN16810956,simple,9031,Gallus gallus,GSM4910220,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,MO 2: NSD3 Morpholino Replicate 2,cranial neural folds,0.5mM NSD3 MO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910220
SRR13068172,23854850,2433194700,51,1075,SRX9515691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723564,SAMN16810955,simple,9031,Gallus gallus,GSM4910221,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,MO 3: NSD3 Morpholino Replicate 3,cranial neural folds,0.5mM NSD3 MO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910221
SRR13068173,24755720,2525083440,51,1099,SRX9515692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723563,SAMN16810954,simple,9031,Gallus gallus,GSM4910222,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,MO 4: NSD3 Morpholino Replicate 4,cranial neural folds,0.5mM NSD3 MO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910222
SRR13068174,26560224,2709142848,51,1188,SRX9515693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP292751,PRJNA678725,33705737,"",SRS7723565,SAMN16810953,simple,9031,Gallus gallus,GSM4910223,GEO,SRA1159388,03,2021,Jacques-Fricke,cranial neural folds,MO 5: NSD3 Morpholino Replicate 5,cranial neural folds,0.5mM NSD3 MO,5-7 somite chick embryos,Pool of 12 embryos,GSM4910223
