Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,sex,tissue,replicate,BioSampleModel
SRR18884288,69182976,5880552960,85,2394,SRX14962871,ribo_837,OTHER,unspecified,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713217,SAMN27736152,simple,10090,Mus musculus,ribo_seq_sham_for_ischemia_reperfusion_mouse_heart_cardiomyocyte_specific_837.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,ribo sham 1,Model organism or animal
SRR18884287,24134677,2051447545,85,845,SRX14962872,ribo_839,OTHER,unspecified,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713219,SAMN27736153,simple,10090,Mus musculus,ribo_seq_sham_for_ischemia_reperfusion_mouse_heart_cardiomyocyte_specific_839.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,ribo sham 2,Model organism or animal
SRR18884286,56552726,4524218080,80,1713,SRX14962873,rna_896,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713218,SAMN27736162,simple,10090,Mus musculus,rna_seq_sham_for_ischemia_reperfusion_mouse_heart_896.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,rna sham 3,Model organism or animal
SRR18884285,89732222,7178577760,80,2724,SRX14962874,rna_942,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713220,SAMN27736163,simple,10090,Mus musculus,rna_seq_sham_for_ischemia_reperfusion_mouse_heart_942.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,rna sham 4,Model organism or animal
SRR18884284,77459949,6196795920,80,2316,SRX14962875,rna_946,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713221,SAMN27736164,simple,10090,Mus musculus,rna_seq_sham_for_ischemia_reperfusion_mouse_heart_946.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,rna sham 5,Model organism or animal
SRR18884283,8824423,666174872,75,235,SRX14962876,rna_828,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713222,SAMN27736165,simple,10090,Mus musculus,rna_seq_60min_ischemia_2days_reperfusion_mouse_heart_828.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,rna reperfusion 1,Model organism or animal
SRR18884282,9217264,695887787,75,245,SRX14962877,rna_831,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713223,SAMN27736166,simple,10090,Mus musculus,rna_seq_60min_ischemia_2days_reperfusion_mouse_heart_831.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,rna reperfusion 2,Model organism or animal
SRR18884281,9221678,696177602,75,246,SRX14962878,rna_832,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713224,SAMN27736167,simple,10090,Mus musculus,rna_seq_60min_ischemia_2days_reperfusion_mouse_heart_832.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,rna reperfusion 3,Model organism or animal
SRR18884280,37031648,3147690080,85,1139,SRX14962879,ribo_896,OTHER,unspecified,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713225,SAMN27736154,simple,10090,Mus musculus,ribo_seq_sham_for_ischemia_reperfusion_mouse_heart_cardiomyocyte_specific_896.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,ribo sham 3,Model organism or animal
SRR18884279,40922817,3478439445,85,1258,SRX14962880,ribo_942,OTHER,unspecified,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP371644,PRJNA830657,1,"",SRS12713226,SAMN27736155,simple,10090,Mus musculus,ribo_seq_sham_for_ischemia_reperfusion_mouse_heart_cardiomyocyte_specific_942.fastq.gz,University Hospital Heidelberg,SRA1408179,04,2022,Makar,"","",C57BL/6N,10-12 weeks,male,heart,ribo sham 4,Model organism or animal
