Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,type,age,genotype,geo_loc_name,collection_date
SRR24972841,64165347,9624802050,75,4137,SRX20730392,GSM7500722,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021351,SAMN35811018,simple,10090,Mus musculus,GSM7500722,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6-5_KO1,Embryo,gene expression profiling,E6.5,KO,missing,missing
SRR24972840,73633676,11045051400,75,4704,SRX20730393,GSM7500723,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021340,SAMN35811017,simple,10090,Mus musculus,GSM7500723,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6-5_KO2,Embryo,gene expression profiling,E6.5,KO,missing,missing
SRR24972839,47339774,7100966100,75,3022,SRX20730394,GSM7500724,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021343,SAMN35811016,simple,10090,Mus musculus,GSM7500724,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6-5_KO3,Embryo,gene expression profiling,E6.5,KO,missing,missing
SRR24972838,62758462,9413769300,75,4049,SRX20730395,GSM7500725,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021342,SAMN35811015,simple,10090,Mus musculus,GSM7500725,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6-5_KO4,Embryo,gene expression profiling,E6.5,KO,missing,missing
SRR24972837,95967391,14395108650,75,5751,SRX20730396,GSM7500726,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021354,SAMN35811014,simple,10090,Mus musculus,GSM7500726,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6-5_WT1,Embryo,gene expression profiling,E6.5,WT,missing,missing
SRR24972836,66340526,9951078900,75,4043,SRX20730397,GSM7500727,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021341,SAMN35811013,simple,10090,Mus musculus,GSM7500727,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6-5_WT2,Embryo,gene expression profiling,E6.5,WT,missing,missing
SRR24972835,65704230,9855634500,75,3992,SRX20730398,GSM7500728,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021344,SAMN35811012,simple,10090,Mus musculus,GSM7500728,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6-5_WT3,Embryo,gene expression profiling,E6.5,WT,missing,missing
SRR24972834,46737428,7010614200,75,2834,SRX20730399,GSM7500729,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021345,SAMN35811011,simple,10090,Mus musculus,GSM7500729,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E6-5_WT4,Embryo,gene expression profiling,E6.5,WT,missing,missing
SRR24972833,117885403,17682810450,75,7503,SRX20730400,GSM7500730,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021346,SAMN35811010,simple,10090,Mus musculus,GSM7500730,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E7-5_KO1,Embryo,gene expression profiling,E7.5,KO,missing,missing
SRR24972832,60211089,9031663350,75,3888,SRX20730401,GSM7500731,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP444904,PRJNA985729,37436893,"",SRS18021347,SAMN35811009,simple,10090,Mus musculus,GSM7500731,"Department of Molecular Biology, University of Geneva",SRA1659439,07,2023,Dohnalkova,Embryo,E7-5_KO2,Embryo,gene expression profiling,E7.5,KO,missing,missing
