Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,ecotype,age,geo_loc_name,tissue,BioSampleModel,GEO Accession
SRR6466829,44131367,999792152,22,478,SRX3556782,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP128983,PRJNA429734,29915080,"",SRS2830091,SAMN08358230,simple,3702,Arabidopsis thaliana,GSM2932477,GEO,SRA646210,07,2018,Kurihara,ribo_blue_rep1,ribo_blue_rep1,ribo_blue_rep1,blue light condition,,,,,,GSM2932477
SRR6466830,26813632,613114792,22,292,SRX3556783,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP128983,PRJNA429734,29915080,"",SRS2830092,SAMN08358237,simple,3702,Arabidopsis thaliana,GSM2932478,GEO,SRA646210,07,2018,Kurihara,ribo_blue_rep2,ribo_blue_rep2,ribo_blue_rep2,blue light condition,,,,,,GSM2932478
SRR6466831,29951648,682883464,22,326,SRX3556784,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP128983,PRJNA429734,29915080,"",SRS2830097,SAMN08358236,simple,3702,Arabidopsis thaliana,GSM2932479,GEO,SRA646210,07,2018,Kurihara,ribo_dark_rep1,ribo_dark_rep1,ribo_dark_rep1,dark condition,,,,,,GSM2932479
SRR6466832,29972785,683731570,22,327,SRX3556785,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP128983,PRJNA429734,29915080,"",SRS2830093,SAMN08358235,simple,3702,Arabidopsis thaliana,GSM2932480,GEO,SRA646210,07,2018,Kurihara,ribo_dark_rep2,ribo_dark_rep2,ribo_dark_rep2,dark condition,,,,,,GSM2932480
SRR6466833,43922665,2084757203,47,800,SRX3556786,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP128983,PRJNA429734,29915080,"",SRS2830094,SAMN08358234,simple,3702,Arabidopsis thaliana,GSM2932481,GEO,SRA646210,07,2018,Kurihara,rna_dark_rep1,rna_dark_rep1,rna_dark_rep1,dark condition,,,,,,GSM2932481
SRR6466834,42842048,2029987343,47,780,SRX3556787,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP128983,PRJNA429734,29915080,"",SRS2830095,SAMN08358233,simple,3702,Arabidopsis thaliana,GSM2932482,GEO,SRA646210,07,2018,Kurihara,rna_dark_rep2,rna_dark_rep2,rna_dark_rep2,dark condition,,,,,,GSM2932482
SRR6466835,40454768,1920040796,47,731,SRX3556788,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP128983,PRJNA429734,29915080,"",SRS2830096,SAMN08358232,simple,3702,Arabidopsis thaliana,GSM2932483,GEO,SRA646210,07,2018,Kurihara,rna_blue_rep1,rna_blue_rep1,rna_blue_rep1,blue light condition,,,,,,GSM2932483
SRR6466836,36368144,1727536932,47,679,SRX3556789,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP128983,PRJNA429734,29915080,"",SRS2830098,SAMN08358231,simple,3702,Arabidopsis thaliana,GSM2932484,GEO,SRA646210,07,2018,Kurihara,rna_blue_rep2,rna_blue_rep2,rna_blue_rep2,blue light condition,,,,,,GSM2932484
SRR10255711,5529007,834115522,75,355,SRX6973661,Chip-seq_control,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP128983,PRJNA429734,29915080,"",SRS5499063,SAMN13006693,simple,3702,Arabidopsis thaliana,Chip-seq_HY5,RIKEN,SRA976860,10,2019,Kurihara,"","",,,Col-0,11 days,Japan,whole,Plant,GSM2932477
SRR10255710,22105606,3333643987,75,1421,SRX6973662,Chip-seq_HY5,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP128983,PRJNA429734,29915080,"",SRS5499063,SAMN13006693,simple,3702,Arabidopsis thaliana,Chip-seq_HY5,RIKEN,SRA976860,10,2019,Kurihara,"","",,,Col-0,11 days,Japan,whole,Plant,GSM2932478
