Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,molecule type,treatment,GEO Accession
SRR3328242,87332206,8733220600,50,5047,SRX1676725,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372576,SAMN04604713,simple,9606,Homo sapiens,GSM2107424,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_1_RNA,P493 cell line,P493,Total RNA,,GSM2107424
SRR3328243,88001863,8800186300,50,5103,SRX1676725,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372576,SAMN04604713,simple,9606,Homo sapiens,GSM2107424,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_1_RNA,P493 cell line,P493,Total RNA,,GSM2107425
SRR3328244,102297966,10229796600,50,5908,SRX1676726,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372575,SAMN04604714,simple,9606,Homo sapiens,GSM2107425,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_2_RNA,P493 cell line,P493,Total RNA,tetracycline (0.1 uM),GSM2107426
SRR3328245,103471881,10347188100,50,5995,SRX1676726,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372575,SAMN04604714,simple,9606,Homo sapiens,GSM2107425,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_2_RNA,P493 cell line,P493,Total RNA,tetracycline (0.1 uM),GSM2107427
SRR3328246,45749967,4574996700,50,2635,SRX1676727,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372574,SAMN04604715,simple,9606,Homo sapiens,GSM2107426,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_1_RNA,P493 cell line,P493,Ribosome protected RNA,,GSM2107428
SRR3328247,45968398,4596839800,50,2634,SRX1676727,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372574,SAMN04604715,simple,9606,Homo sapiens,GSM2107426,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_1_RNA,P493 cell line,P493,Ribosome protected RNA,,GSM2107429
SRR3328248,49642796,4964279600,50,2873,SRX1676728,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372573,SAMN04604716,simple,9606,Homo sapiens,GSM2107427,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_2_RNA,P493 cell line,P493,Ribosome protected RNA,,GSM2107430
SRR3328249,49759049,4975904900,50,2866,SRX1676728,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372573,SAMN04604716,simple,9606,Homo sapiens,GSM2107427,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493tet_2_RNA,P493 cell line,P493,Ribosome protected RNA,tetracycline (0.1 uM),GSM2107431
SRR3328250,31097531,1554876550,50,925,SRX1676729,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372572,SAMN04604717,simple,9606,Homo sapiens,GSM2107428,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_1_RF,P493 cell line,P493,Ribosome protected RNA,tetracycline (0.1 uM),GSM2107432
SRR3328251,31698330,1584916500,50,940,SRX1676729,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372572,SAMN04604717,simple,9606,Homo sapiens,GSM2107428,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_1_RF,P493 cell line,P493,Ribosome protected RNA,tetracycline (0.1 uM),GSM2107433
SRR3328252,12572189,628609450,50,362,SRX1676730,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372571,SAMN04604718,simple,9606,Homo sapiens,GSM2107429,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_2_RF,P493 cell line,,,,GSM2745771
SRR3328253,12826525,641326250,50,367,SRX1676730,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372571,SAMN04604718,simple,9606,Homo sapiens,GSM2107429,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_2_RF,P493 cell line,,,,GSM2745772
SRR3328254,23761190,1188059500,50,700,SRX1676731,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072804,PRJNA317266,31142587,"",SRS1372569,SAMN04604719,simple,9606,Homo sapiens,GSM2107430,GEO,SRA403832,04,2019,Singh,P493 cell line,Sample_P493_3_RF,P493 cell line,,,,GSM2745773
