Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,GEO Accession
SRR5047770,147874090,7393704500,50,4469,SRX2370254,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815815,SAMN06050921,simple,9606,Homo sapiens,GSM2402496,GEO,SRA497833,07,2018,Makar,control dopamine neurons,SC1014_ribo,control dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM2402496
SRR5047771,215341454,10767072700,50,6525,SRX2370255,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815816,SAMN06050920,simple,9606,Homo sapiens,GSM2402497,GEO,SRA497833,07,2018,Makar,control dopamine neurons,SC1015_ribo,control dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM2402497
SRR5047772,125334312,6266715600,50,3851,SRX2370256,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815817,SAMN06050919,simple,9606,Homo sapiens,GSM2402498,GEO,SRA497833,07,2018,Makar,control dopamine neurons,SC1055_ribo,control dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM2402498
SRR5047773,126120747,6306037350,50,3845,SRX2370257,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815818,SAMN06050918,simple,9606,Homo sapiens,GSM2402499,GEO,SRA497833,07,2018,Makar,Parkinson''s Disease patient-derived dopamine neurons,SC1007_ribo,Parkinson''s Disease patient-derived dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM2402499
SRR5047774,155643960,7782198000,50,4800,SRX2370258,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815819,SAMN06050917,simple,9606,Homo sapiens,GSM2402500,GEO,SRA497833,07,2018,Makar,Parkinson''s Disease patient-derived dopamine neurons,SC1034_ribo,Parkinson''s Disease patient-derived dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM2402500
SRR5047775,119138717,5956935850,50,3662,SRX2370259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815820,SAMN06050916,simple,9606,Homo sapiens,GSM2402501,GEO,SRA497833,07,2018,Makar,Parkinson''s Disease patient-derived dopamine neurons,SC1041_ribo,Parkinson''s Disease patient-derived dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM2402501
SRR5047776,101418504,5070925200,50,3068,SRX2370260,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815821,SAMN06050915,simple,9606,Homo sapiens,GSM2402502,GEO,SRA497833,07,2018,Makar,control dopamine neurons,SC1014_mRNA,control dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM2402502
SRR5047778,70655281,3532764050,50,2143,SRX2370261,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815822,SAMN06050914,simple,9606,Homo sapiens,GSM2402503,GEO,SRA497833,07,2018,Makar,control dopamine neurons,SC1015_mRNA,control dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM2402503
SRR5047780,122037314,6101865700,50,3745,SRX2370262,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815823,SAMN06050913,simple,9606,Homo sapiens,GSM2402504,GEO,SRA497833,07,2018,Makar,control dopamine neurons,SC1055_mRNA,control dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM2402504
SRR5047781,77046039,3852301950,50,2331,SRX2370263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815824,SAMN06050912,simple,9606,Homo sapiens,GSM2402505,GEO,SRA497833,07,2018,Makar,Parkinson''s Disease patient-derived dopamine neurons,SC1007_mRNA,Parkinson''s Disease patient-derived dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM2402505
SRR5047782,68805889,3440294450,50,2102,SRX2370264,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815825,SAMN06050911,simple,9606,Homo sapiens,GSM2402506,GEO,SRA497833,07,2018,Makar,Parkinson''s Disease patient-derived dopamine neurons,SC1034_mRNA,Parkinson''s Disease patient-derived dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM2402506
SRR5047783,72979383,3648969150,50,2217,SRX2370265,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093833,PRJNA354729,1,"",SRS1815826,SAMN06050910,simple,9606,Homo sapiens,GSM2402507,GEO,SRA497833,07,2018,Makar,Parkinson''s Disease patient-derived dopamine neurons,SC1041_mRNA,Parkinson''s Disease patient-derived dopamine neurons,--,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM2402507
SRR10103853,57298626,8652092526,151,2996,SRX6835745,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP093833,PRJNA354729,1,"",SRS5377453,SAMN12736467,simple,9606,Homo sapiens,GSM4075578,GEO,SRA497833,10,2019,Makar,human dopamine neurons,iso_MC_1_mRNA,human dopamine neurons,mutation-corrected,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM4075578
SRR10103854,61792024,9330595624,151,3208,SRX6835746,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP093833,PRJNA354729,1,"",SRS5377454,SAMN12736585,simple,9606,Homo sapiens,GSM4075579,GEO,SRA497833,10,2019,Makar,human dopamine neurons,iso_MC_2_mRNA,human dopamine neurons,mutation-corrected,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM4075579
SRR10103855,45577847,6882254897,151,2369,SRX6835747,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP093833,PRJNA354729,1,"",SRS5377455,SAMN12736466,simple,9606,Homo sapiens,GSM4075580,GEO,SRA497833,10,2019,Makar,human dopamine neurons,iso_GS_1_mRNA,human dopamine neurons,patient-derived,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM4075580
SRR10103856,49687723,7502846173,151,2585,SRX6835748,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP093833,PRJNA354729,1,"",SRS5377456,SAMN12736465,simple,9606,Homo sapiens,GSM4075581,GEO,SRA497833,10,2019,Makar,human dopamine neurons,iso_GS_2_mRNA,human dopamine neurons,patient-derived,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM4075581
SRR10103857,53774668,1289863309,23,612,SRX6835749,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP093833,PRJNA354729,1,"",SRS5377457,SAMN12736464,simple,9606,Homo sapiens,GSM4075582,GEO,SRA497833,10,2019,Makar,human dopamine neurons,iso_MC_1_ribo,human dopamine neurons,mutation-corrected,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM4075582
SRR10103858,47445929,1125909526,23,540,SRX6835750,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP093833,PRJNA354729,1,"",SRS5377458,SAMN12736584,simple,9606,Homo sapiens,GSM4075583,GEO,SRA497833,10,2019,Makar,human dopamine neurons,iso_MC_2_ribo,human dopamine neurons,mutation-corrected,iPSC-differentiated dopamine neurons,Differentiation day 60,wild-type,GSM4075583
SRR10103859,80136121,1850661277,23,896,SRX6835751,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP093833,PRJNA354729,1,"",SRS5377459,SAMN12736583,simple,9606,Homo sapiens,GSM4075584,GEO,SRA497833,10,2019,Makar,human dopamine neurons,iso_GS_1_ribo,human dopamine neurons,patient-derived,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM4075584
SRR10103860,71056095,1623371566,22,790,SRX6835752,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP093833,PRJNA354729,1,"",SRS5377460,SAMN12736582,simple,9606,Homo sapiens,GSM4075585,GEO,SRA497833,10,2019,Makar,human dopamine neurons,iso_GS_2_ribo,human dopamine neurons,patient-derived,iPSC-differentiated dopamine neurons,Differentiation day 60,G2019S LRRK2,GSM4075585
