Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype/variation,treatment,cell line id,assayed molecule,GEO Accession
SRR3208881,27119422,1383090522,51,831,SRX1617564,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326996,SAMN04536284,simple,9606,Homo sapiens,GSM2082533,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with AZD-8055, RPF","Ribosome protected fragments (RPF) of TSC2+/+ cells (number 15) treated with AZD-8055, Biological Replicate 1","TSC2+/+ cells (number 15) treated with AZD-8055, RPF",Embryonic stem cell-derived neurons,TSC2+/+,AZD-8055,15,Ribosome protected fragments,GSM2082533
SRR3208882,36256326,1849072626,51,814,SRX1617565,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326995,SAMN04536285,simple,9606,Homo sapiens,GSM2082534,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with AZD-8055, RPF","Ribosome protected fragments (RPF) of TSC2+/+ cells (number 15) treated with AZD-8055, Biological Replicate 2","TSC2+/+ cells (number 15) treated with AZD-8055, RPF",Embryonic stem cell-derived neurons,TSC2+/+,AZD-8055,15,Ribosome protected fragments,GSM2082534
SRR3208883,17966631,916298181,51,505,SRX1617566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326994,SAMN04536286,simple,9606,Homo sapiens,GSM2082535,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with AZD-8055, total RNA","Total RNA of TSC2+/+ cells (number 15) treated with AZD-8055, Biological Replicate 1","TSC2+/+ cells (number 15) treated with AZD-8055, total RNA",Embryonic stem cell-derived neurons,TSC2+/+,AZD-8055,15,mRNA,GSM2082535
SRR3208884,19703544,1004880744,51,464,SRX1617567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326993,SAMN04536287,simple,9606,Homo sapiens,GSM2082536,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with AZD-8055, total RNA","Total RNA of TSC2+/+ cells (number 15) treated with AZD-8055, Biological Replicate 2","TSC2+/+ cells (number 15) treated with AZD-8055, total RNA",Embryonic stem cell-derived neurons,TSC2+/+,AZD-8055,15,mRNA,GSM2082536
SRR3208885,29761657,1517844507,51,692,SRX1617568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326992,SAMN04536302,simple,9606,Homo sapiens,GSM2082537,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with DMSO, RPF","Ribosome protected fragments (RPF) of TSC2+/+ cells (number 15) treated with DMSO, Biological Replicate 1","TSC2+/+ cells (number 15) treated with DMSO, RPF",Embryonic stem cell-derived neurons,TSC2+/+,DMSO,15,Ribosome protected fragments,GSM2082537
SRR3208886,27716403,1413536553,51,822,SRX1617569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326991,SAMN04536303,simple,9606,Homo sapiens,GSM2082538,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with DMSO, RPF","Ribosome protected fragments (RPF) of TSC2+/+ cells (number 15) treated with DMSO, Biological Replicate 2","TSC2+/+ cells (number 15) treated with DMSO, RPF",Embryonic stem cell-derived neurons,TSC2+/+,DMSO,15,Ribosome protected fragments,GSM2082538
SRR3208887,15775844,804568044,51,351,SRX1617570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326990,SAMN04536304,simple,9606,Homo sapiens,GSM2082539,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with DMSO, total RNA","Total RNA of TSC2+/+ cells (number 15) treated with DMSO, Biological Replicate 1","TSC2+/+ cells (number 15) treated with DMSO, total RNA",Embryonic stem cell-derived neurons,TSC2+/+,DMSO,15,mRNA,GSM2082539
SRR3208888,18549351,946016901,51,539,SRX1617571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326989,SAMN04536305,simple,9606,Homo sapiens,GSM2082540,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with DMSO, total RNA","Total RNA of TSC2+/+ cells (number 15) treated with DMSO, Biological Replicate 2","TSC2+/+ cells (number 15) treated with DMSO, total RNA",Embryonic stem cell-derived neurons,TSC2+/+,DMSO,15,mRNA,GSM2082540
SRR3208889,37247298,1899612198,51,868,SRX1617572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326988,SAMN04536306,simple,9606,Homo sapiens,GSM2082541,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with Rapamycin, RPF","Ribosome protected fragments (RPF) of TSC2+/+ cells (number 15) treated with Rapamycin, Biological Replicate 1","TSC2+/+ cells (number 15) treated with Rapamycin, RPF",Embryonic stem cell-derived neurons,TSC2+/+,Rapamycin,15,Ribosome protected fragments,GSM2082541
SRR3208890,31257693,1594142343,51,697,SRX1617573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071235,PRJNA314507,27655340,"",SRS1326987,SAMN04536307,simple,9606,Homo sapiens,GSM2082542,GEO,SRA379362,07,2016,Grabole,"TSC2+/+ cells (number 15) treated with Rapamycin, RPF","Ribosome protected fragments (RPF) of TSC2+/+ cells (number 15) treated with Rapamycin, Biological Replicate 2","TSC2+/+ cells (number 15) treated with Rapamycin, RPF",Embryonic stem cell-derived neurons,TSC2+/+,Rapamycin,15,Ribosome protected fragments,GSM2082542
