Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype,age,tissue,molecule subtype,GEO Accession
SRR11050344,45648492,6938570784,76,2551,SRX7700306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124576,SAMN14073812,simple,10090,Mus musculus,GSM4304116,GEO,SRA1040370,02,2020,Makar,NegCtrlWT_spinal cord,20302-1-NegCtrlWT_GT18-02929,NegCtrlWT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/+,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304116
SRR11050345,48698118,7402113936,76,2712,SRX7700307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124579,SAMN14073811,simple,10090,Mus musculus,GSM4304117,GEO,SRA1040370,02,2020,Makar,NegCtrlC201R_spinal cord,20301-1-NegCtrlC201R_GT18-02930,NegCtrlC201R_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304117
SRR11050346,39445926,5995780752,76,2235,SRX7700308,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124577,SAMN14073810,simple,10090,Mus musculus,GSM4304118,GEO,SRA1040370,02,2020,Makar,NegCtrlC201R_spinal cord,18405-1-NegCtrlC201R_GT18-02931,NegCtrlC201R_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304118
SRR11050347,47524698,7223754096,76,2651,SRX7700309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124580,SAMN14073809,simple,10090,Mus musculus,GSM4304119,GEO,SRA1040370,02,2020,Makar,NegCtrlWT_spinal cord,20301-5-NegCtrlWT_GT18-02932,NegCtrlWT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/+,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304119
SRR11050348,47187186,7172452272,76,2655,SRX7700310,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124578,SAMN14073870,simple,10090,Mus musculus,GSM4304120,GEO,SRA1040370,02,2020,Makar,RplChAT_spinal cord,20401-2-RplChAT_GT18-02933,RplChAT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304120
SRR11050349,30163864,4584907328,76,1707,SRX7700311,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124581,SAMN14073869,simple,10090,Mus musculus,GSM4304121,GEO,SRA1040370,02,2020,Makar,RplChAT_spinal cord,20401-1-RplChAT_GT18-02934,RplChAT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304121
SRR11050350,43318935,6584478120,76,2433,SRX7700312,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124582,SAMN14073868,simple,10090,Mus musculus,GSM4304122,GEO,SRA1040370,02,2020,Makar,RplC201RChAT_spinal cord,20302-6-RplC201RChAT_GT18-02935,RplC201RChAT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304122
SRR11050351,51062642,7761521584,76,2871,SRX7700313,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124583,SAMN14073813,simple,10090,Mus musculus,GSM4304123,GEO,SRA1040370,02,2020,Makar,RplC201RChAT_spinal cord,20302-5-RplC201RChAT_GT18-02937,RplC201RChAT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304123
SRR11050352,44982496,6837339392,76,2535,SRX7700314,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124585,SAMN14073808,simple,10090,Mus musculus,GSM4304124,GEO,SRA1040370,02,2020,Makar,RplC201RChAT_spinal cord,20401-7-RplC201RChAT_GT18-02938,RplC201RChAT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304124
SRR11050353,47825321,7269448792,76,2701,SRX7700315,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124584,SAMN14073807,simple,10090,Mus musculus,GSM4304125,GEO,SRA1040370,02,2020,Makar,RplChAT_spinal cord,20302-4-RplChAT_GT18-02939,RplChAT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304125
SRR11050354,48205670,7327261840,76,2809,SRX7700316,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124586,SAMN14073806,simple,10090,Mus musculus,GSM4304126,GEO,SRA1040370,02,2020,Makar,RplC201RChAT_spinal cord,18405-2-RplC201RChAT_GT18-02940,RplC201RChAT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/-,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304126
SRR11050355,43485268,6609760736,76,2418,SRX7700317,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124587,SAMN14073805,simple,10090,Mus musculus,GSM4304127,GEO,SRA1040370,02,2020,Makar,NegCtrlC201R_spinal cord,20301-4-NegCtrlC201R_GT18-02941,NegCtrlC201R_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304127
SRR11050356,46390716,7051388832,76,2587,SRX7700318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124588,SAMN14073804,simple,10090,Mus musculus,GSM4304128,GEO,SRA1040370,02,2020,Makar,NegCtrlC201R_spinal cord,20301-8-NegCtrlC201R_GT18-02942,NegCtrlC201R_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/+;C201R+/-,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304128
SRR11050357,54119184,8226115968,76,3050,SRX7700319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP247870,PRJNA605660,1,"",SRS6124589,SAMN14073803,simple,10090,Mus musculus,GSM4304129,GEO,SRA1040370,02,2020,Makar,RplChAT_spinal cord,20304-6-RplChAT_GT18-02943,RplChAT_spinal cord,B6.CgxB6.129,Rpl+/-;Chat+/-;C201R+/+,2 weeks,spinal cord,Ribosome-associated mRNA,GSM4304129
