Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,developmental stage,GEO Accession
SRR3720833,2243259,114406209,51,86,SRX1878953,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526197,SAMN05293657,simple,9606,Homo sapiens,GSM2214162,GEO,SRA435945,08,2016,Lim,HeLa,mTAIL-seq exp #1 10ug,HeLa,HeLa,,,GSM2214162
SRR3720834,1491149,76048599,51,58,SRX1878954,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526200,SAMN05293659,simple,9606,Homo sapiens,GSM2214163,GEO,SRA435945,08,2016,Lim,HeLa,mTAIL-seq exp #1 1ug,HeLa,HeLa,,,GSM2214163
SRR3720835,1044986,53294286,51,39,SRX1878955,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526201,SAMN05293658,simple,9606,Homo sapiens,GSM2214164,GEO,SRA435945,08,2016,Lim,HeLa,mTAIL-seq exp #2 100ng,HeLa,HeLa,,,GSM2214164
SRR3720836,687043,35039193,51,27,SRX1878956,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526202,SAMN05293656,simple,9606,Homo sapiens,GSM2214165,GEO,SRA435945,08,2016,Lim,HeLa,mTAIL-seq exp #2 33ng,HeLa,HeLa,,,GSM2214165
SRR3720837,2130885,108675135,51,74,SRX1878957,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526203,SAMN05293641,simple,7227,Drosophila melanogaster,GSM2214166,GEO,SRA435945,08,2016,Lim,Drosophila immature oocyte,mTAIL-seq exp #3 wt-immature,Drosophila immature oocyte,,w1118,oogenesis stage 9-10,GSM2214166
SRR3720838,2102340,107219340,51,74,SRX1878958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526205,SAMN05293642,simple,7227,Drosophila melanogaster,GSM2214167,GEO,SRA435945,08,2016,Lim,Drosophila immature oocyte,mTAIL-seq exp #3 wisp-immature,Drosophila immature oocyte,,wispKG5287 (wispy knockout),oogenesis stage 9-10,GSM2214167
SRR3720839,1633973,83332623,51,60,SRX1878959,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526204,SAMN05293638,simple,7227,Drosophila melanogaster,GSM2214168,GEO,SRA435945,08,2016,Lim,Drosophila mature oocyte,mTAIL-seq exp #4 wt-mature,Drosophila mature oocyte,,w1118,oogenesis stage 14,GSM2214168
SRR3720840,1147000,58497000,51,42,SRX1878960,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526206,SAMN05293639,simple,7227,Drosophila melanogaster,GSM2214169,GEO,SRA435945,08,2016,Lim,Drosophila mature oocyte,mTAIL-seq exp #4 wisp-mature,Drosophila mature oocyte,,wispKG5287 (wispy knockout),oogenesis stage 14,GSM2214169
SRR3720841,1371364,69939564,51,50,SRX1878961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526208,SAMN05293640,simple,7227,Drosophila melanogaster,GSM2214170,GEO,SRA435945,08,2016,Lim,Drosophila activated egg,mTAIL-seq exp #4 wt-actegg,Drosophila activated egg,,w1118,activated egg 0-1hr,GSM2214170
SRR3720842,859249,43821699,51,32,SRX1878962,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP077234,PRJNA326884,27445395,"",SRS1526207,SAMN05293661,simple,7227,Drosophila melanogaster,GSM2214171,GEO,SRA435945,08,2016,Lim,Drosophila activated egg,mTAIL-seq exp #4 wisp-actegg,Drosophila activated egg,,wispKG5287 (wispy knockout),activated egg 0-1hr,GSM2214171
