Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,drug treatment,sirna transfection,cell line,molecule subtype,GEO Accession
SRR6026757,30006552,2040445536,68,561,SRX3177215,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506883,SAMN07629895,simple,9606,Homo sapiens,GSM2779653,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_cytosol_TEDseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779653
SRR6026758,15290890,1039780520,68,317,SRX3177216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506884,SAMN07629922,simple,9606,Homo sapiens,GSM2779654,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_cytosol_TEDseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779654
SRR6026759,35479257,2412589476,68,670,SRX3177217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506885,SAMN07629921,simple,9606,Homo sapiens,GSM2779655,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_cytosol_TEDseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779655
SRR6026760,13800136,938409248,68,294,SRX3177218,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506886,SAMN07629920,simple,9606,Homo sapiens,GSM2779656,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_cytosol_TEDseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779656
SRR6026761,31693290,2155143720,68,582,SRX3177219,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506887,SAMN07629919,simple,9606,Homo sapiens,GSM2779657,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_insoluble_TEDseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779657
SRR6026762,13648708,928112144,68,274,SRX3177220,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506888,SAMN07629918,simple,9606,Homo sapiens,GSM2779658,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_insoluble_TEDseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779658
SRR6026763,41400330,2815222440,68,760,SRX3177221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506889,SAMN07629917,simple,9606,Homo sapiens,GSM2779659,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_insoluble_TEDseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779659
SRR6026764,13848138,941673384,68,280,SRX3177222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506890,SAMN07629916,simple,9606,Homo sapiens,GSM2779660,GEO,SRA607220,01,2018,Woo,HEK293 cells,THAP_insoluble_TEDseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,THAP (2µM) for 2h,none,,,GSM2779660
SRR6026765,22256152,952436269,42,202,SRX3177223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506891,SAMN07629915,simple,9606,Homo sapiens,GSM2779661,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_RNAseq_rep1,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779661
SRR6026766,24228072,1102117483,45,236,SRX3177224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP117282,PRJNA406823,30257221,"",SRS2506892,SAMN07629914,simple,9606,Homo sapiens,GSM2779662,GEO,SRA607220,01,2018,Woo,HEK293 cells,DMSO_RNAseq_rep2,HEK293 cells,Fetus derived cell line from female human embryonic kidney,10-20,DMSO for 2h,none,,,GSM2779662
