Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,stressor,stress time,GEO Accession
SRR9681149,8953995,2686198500,150,1192,SRX6441351,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095336,SAMN12273934,simple,562,Escherichia coli,GSM3940495,GEO,SRA920914,07,2022,Makar,PQ1_without paraquat,PQ1A_0PQ,PQ1_without paraquat,PQ1,,,GSM3940495
SRR9681150,10179752,3053925600,150,1351,SRX6441352,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095335,SAMN12273932,simple,562,Escherichia coli,GSM3940496,GEO,SRA920914,07,2022,Makar,PQ1_250uM Paraquat,PQ1A_PQ,PQ1_250uM Paraquat,PQ1,250uM Paraquat,20mins,GSM3940496
SRR9681151,10696260,3208878000,150,1416,SRX6441353,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095337,SAMN12273930,simple,562,Escherichia coli,GSM3940497,GEO,SRA920914,07,2022,Makar,PQ1_without paraquat,PQ1B_0PQ,PQ1_without paraquat,PQ1,,,GSM3940497
SRR9681152,12536704,3761011200,150,1668,SRX6441354,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095338,SAMN12273944,simple,562,Escherichia coli,GSM3940498,GEO,SRA920914,07,2022,Makar,PQ1_250uM Paraquat,PQ1B_PQ,PQ1_250uM Paraquat,PQ1,250uM Paraquat,20mins,GSM3940498
SRR9681153,11246426,3373927800,150,1492,SRX6441355,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095339,SAMN12273943,simple,562,Escherichia coli,GSM3940499,GEO,SRA920914,07,2022,Makar,PQ2_without paraquat,PQ2A_0PQ,PQ2_without paraquat,PQ2,,,GSM3940499
SRR9681154,12730450,2571550900,101,1020,SRX6441356,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095340,SAMN12273942,simple,562,Escherichia coli,GSM3940500,GEO,SRA920914,07,2022,Makar,PQ2_250uM Paraquat,PQ2A_PQ,PQ2_250uM Paraquat,PQ2,250uM Paraquat,20mins,GSM3940500
SRR9681155,12716262,2568684924,101,1041,SRX6441357,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095342,SAMN12273941,simple,562,Escherichia coli,GSM3940501,GEO,SRA920914,07,2022,Makar,PQ2_without paraquat,PQ2B_0PQ,PQ2_without paraquat,PQ2,,,GSM3940501
SRR9681156,9731393,1965741386,101,772,SRX6441358,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095341,SAMN12273940,simple,562,Escherichia coli,GSM3940502,GEO,SRA920914,07,2022,Makar,PQ2_250uM Paraquat,PQ2B_PQ,PQ2_250uM Paraquat,PQ2,250uM Paraquat,20mins,GSM3940502
SRR9681157,10600332,2141267064,101,828,SRX6441359,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095343,SAMN12273939,simple,562,Escherichia coli,GSM3940503,GEO,SRA920914,07,2022,Makar,GLU4_without paraquat,WT_A_0PQ,GLU4_without paraquat,GLU4,,,GSM3940503
SRR9681158,11668355,2357007710,101,905,SRX6441360,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP214584,PRJNA554579,1,"",SRS5095344,SAMN12273938,simple,562,Escherichia coli,GSM3940504,GEO,SRA920914,07,2022,Makar,GLU4_250uM Paraquat,WT_A_PQ,GLU4_250uM Paraquat,GLU4,250uM Paraquat,20mins,GSM3940504
