Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,sex,tissue,treatment,replicate,BioSampleModel
SRR13295298,85921652,8764008504,51,2511,SRX9724220,F52wt_S11,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917744,SAMN17061492,simple,10090,Mus musculus,Sample11,NYU Langone Health,SRA1170175,12,2020,Makar,"",F52wt_S11,C57BL/6N strain 02,adult,female,hearts,wt,11,Model organism or animal
SRR13295297,84430715,8611932930,51,2467,SRX9724221,F51wt_S10,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917745,SAMN17061491,simple,10090,Mus musculus,Sample10,NYU Langone Health,SRA1170175,12,2020,Makar,"",F51wt_S10,C57BL/6N strain 02,adult,female,hearts,wt,10,Model organism or animal
SRR13295296,75134607,7663729914,51,2217,SRX9724222,M62wt_S9,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917746,SAMN17061490,simple,10090,Mus musculus,Sample9,NYU Langone Health,SRA1170175,12,2020,Makar,"",M62wt_S9,C57BL/6N strain 02,adult,male,hearts,wt,9,Model organism or animal
SRR13295295,72438045,7388680590,51,2120,SRX9724223,M60wt_S8,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917747,SAMN17061489,simple,10090,Mus musculus,Sample8,NYU Langone Health,SRA1170175,12,2020,Makar,"",M60wt_S8,C57BL/6N strain 02,adult,male,hearts,wt,8,Model organism or animal
SRR13295294,83750033,8542503366,51,2437,SRX9724224,M58wt_S7,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917748,SAMN17061488,simple,10090,Mus musculus,Sample7,NYU Langone Health,SRA1170175,12,2020,Makar,"",M58wt_S7,C57BL/6N strain 02,adult,male,hearts,wt,7,Model organism or animal
SRR13295293,66015517,6733582734,51,1939,SRX9724225,F48ko_S6,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917749,SAMN17061487,simple,10090,Mus musculus,Sample6,NYU Langone Health,SRA1170175,12,2020,Makar,"",F48ko_S6,C57BL/6N strain 02,adult,female,hearts,ko,6,Model organism or animal
SRR13295292,76079265,7760085030,51,2213,SRX9724226,F81ko_S4,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917750,SAMN17061486,simple,10090,Mus musculus,Sample4,NYU Langone Health,SRA1170175,12,2020,Makar,"",F81ko_S4,C57BL/6N strain 02,adult,female,hearts,ko,4,Model organism or animal
SRR13295291,74420483,7590889266,51,2173,SRX9724227,M80ko_S1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917751,SAMN17061483,simple,10090,Mus musculus,Sample1,NYU Langone Health,SRA1170175,12,2020,Makar,"",M80ko_S1,C57BL/6N strain 02,adult,male,hearts,ko,1,Model organism or animal
SRR13295290,74683836,7617751272,51,2195,SRX9724228,M85ko_S3,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917752,SAMN17061485,simple,10090,Mus musculus,Sample3,NYU Langone Health,SRA1170175,12,2020,Makar,"",M85ko_S3,C57BL/6N strain 02,adult,male,hearts,ko,3,Model organism or animal
SRR13295289,97086307,9902803314,51,2837,SRX9724229,F72wt_S12,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917753,SAMN17061493,simple,10090,Mus musculus,Sample12,NYU Langone Health,SRA1170175,12,2020,Makar,"",F72wt_S12,C57BL/6N strain 02,adult,female,hearts,wt,12,Model organism or animal
SRR13295288,77769622,7932501444,51,2276,SRX9724230,M83ko_S2,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP299105,PRJNA684590,1,"",SRS7917754,SAMN17061484,simple,10090,Mus musculus,Sample2,NYU Langone Health,SRA1170175,12,2020,Makar,"",M83ko_S2,C57BL/6N strain 02,adult,male,hearts,ko,2,Model organism or animal
