Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,age
SRR19240774,11127610,2981936248,133,1276,SRX15301542,GSM6160423,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027649,SAMN28471186,simple,4932,Saccharomyces cerevisiae,GSM6160423,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"RNA, Aged, 1",Yeast cells,Yeast cells,Wild type,Aged
SRR19240773,9891638,2481388069,124,1043,SRX15301543,GSM6160424,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027650,SAMN28471185,simple,4932,Saccharomyces cerevisiae,GSM6160424,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"RNA, Aged, 2",Yeast cells,Yeast cells,Wild type,Aged
SRR19240772,9111193,2166574747,118,907,SRX15301544,GSM6160425,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027651,SAMN28471184,simple,4932,Saccharomyces cerevisiae,GSM6160425,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"RNA, Middle, 1",Yeast cells,Yeast cells,Wild type,Middle
SRR19240771,12033820,3143038018,130,1340,SRX15301545,GSM6160426,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027652,SAMN28471183,simple,4932,Saccharomyces cerevisiae,GSM6160426,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"RNA, Middle, 2",Yeast cells,Yeast cells,Wild type,Middle
SRR19240769,23207699,6212541999,133,2672,SRX15301546,GSM6160427,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027653,SAMN28471182,simple,4932,Saccharomyces cerevisiae,GSM6160427,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"RNA, Young, 1",Yeast cells,Yeast cells,Wild type,Young
SRR19240768,15386855,4252651706,137,1833,SRX15301547,GSM6160428,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027654,SAMN28471181,simple,4932,Saccharomyces cerevisiae,GSM6160428,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"RNA, Young, 2",Yeast cells,Yeast cells,Wild type,Young
SRR19240767,84821489,1884922390,22,910,SRX15301548,GSM6160429,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027655,SAMN28471180,simple,4932,Saccharomyces cerevisiae,GSM6160429,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"Ribo, Aged",Yeast cells,Yeast cells,Wild type,Aged
SRR19240770,34979062,798615585,22,383,SRX15301549,GSM6160430,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027656,SAMN28471179,simple,4932,Saccharomyces cerevisiae,GSM6160430,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"Ribo, Middle, 1",Yeast cells,Yeast cells,Wild type,Middle
SRR19240766,57910041,1283528124,22,623,SRX15301550,GSM6160431,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027657,SAMN28471178,simple,4932,Saccharomyces cerevisiae,GSM6160431,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"Ribo, Middle, 2",Yeast cells,Yeast cells,Wild type,Middle
SRR19240765,94681694,2263409163,23,1057,SRX15301551,GSM6160432,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027658,SAMN28471177,simple,4932,Saccharomyces cerevisiae,GSM6160432,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"Ribo, Young, 1",Yeast cells,Yeast cells,Wild type,Young
SRR19240764,98728691,2333579115,23,1096,SRX15301552,GSM6160433,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP375616,PRJNA838843,36135663,"",SRS13027659,SAMN28471176,simple,4932,Saccharomyces cerevisiae,GSM6160433,"RNA Systems Biochemistry Laboratory, Center for Pioneering Research, RIKEN",SRA1421463,09,2022,Zhao,Yeast cells,"Ribo, Young, 2",Yeast cells,Yeast cells,Wild type,Young
