Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype/variation,treatment,molecule subtype,GEO Accession
SRR9295889,39292982,2986266632,76,1329,SRX6065269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966418,SAMN12050112,simple,9606,Homo sapiens,GSM3889077,GEO,SRA898897,02,2020,Philippe,HEK-293T,35YW: hek293_dmso_RPF_rep1,HEK-293T,HEK-293T,wild-type,DMSO,,GSM3889077
SRR9295890,46123773,3505406748,76,1547,SRX6065270,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966419,SAMN12050111,simple,9606,Homo sapiens,GSM3889078,GEO,SRA898897,02,2020,Philippe,HEK-293T,35YW: hek293_dmso_RPF_rep2,HEK-293T,HEK-293T,wild-type,DMSO,,GSM3889078
SRR9295891,36096491,2743333316,76,1225,SRX6065271,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966420,SAMN12050147,simple,9606,Homo sapiens,GSM3889079,GEO,SRA898897,02,2020,Philippe,HEK-293T,35YW: hek293_torin_RPF_rep1,HEK-293T,HEK-293T,wild-type,Torin 1,,GSM3889079
SRR9295892,31850789,2420659964,76,1083,SRX6065272,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966421,SAMN12050146,simple,9606,Homo sapiens,GSM3889080,GEO,SRA898897,02,2020,Philippe,HEK-293T,35YW: hek293_torin_RPF_rep2,HEK-293T,HEK-293T,wild-type,Torin 1,,GSM3889080
SRR9295893,38376491,2916613316,76,1277,SRX6065273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966422,SAMN12050145,simple,9606,Homo sapiens,GSM3889081,GEO,SRA898897,02,2020,Philippe,HEK-293T,35YW: hek293_dmso_RNA_rep1,HEK-293T,HEK-293T,wild-type,DMSO,,GSM3889081
SRR9295894,32976635,2506224260,76,1090,SRX6065274,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966423,SAMN12050144,simple,9606,Homo sapiens,GSM3889082,GEO,SRA898897,02,2020,Philippe,HEK-293T,35YW: hek293_dmso_RNA_rep2,HEK-293T,HEK-293T,wild-type,DMSO,,GSM3889082
SRR9295895,30326721,2304830796,76,1006,SRX6065275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966424,SAMN12050143,simple,9606,Homo sapiens,GSM3889083,GEO,SRA898897,02,2020,Philippe,HEK-293T,35YW: hek293_torin_RNA_rep1,HEK-293T,HEK-293T,wild-type,Torin 1,,GSM3889083
SRR9295896,34255098,2603387448,76,1129,SRX6065276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966425,SAMN12050142,simple,9606,Homo sapiens,GSM3889084,GEO,SRA898897,02,2020,Philippe,HEK-293T,35YW: hek293_torin_RNA_rep2,HEK-293T,HEK-293T,wild-type,Torin 1,,GSM3889084
SRR9295897,23849660,1812574160,76,977,SRX6065277,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966426,SAMN12050141,simple,9606,Homo sapiens,GSM3889085,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1",93C: larp1sko_dmso_RPF_rep1,"HEK-293T, sgLARP1",HEK-293T,sgLARP1,DMSO,,GSM3889085
SRR9295898,36991236,2811333936,76,1503,SRX6065278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201361,PRJNA548784,32094190,"",SRS4966427,SAMN12050140,simple,9606,Homo sapiens,GSM3889086,GEO,SRA898897,02,2020,Philippe,"HEK-293T, sgLARP1",93C: larp1sko_dmso_RPF_rep2,"HEK-293T, sgLARP1",HEK-293T,sgLARP1,DMSO,,GSM3889086
