Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,development stage,GEO Accession
SRR3270636,16823284,3028191120,90,1856,SRX1650211,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352485,SAMN04570610,simple,10090,Mus musculus,GSM2092714,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,E17_cre_positive_rep1,Superior colliculus,C57BL/6,E17.5,GSM2092714
SRR3270637,19548443,3909688600,100,2548,SRX1650212,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352484,SAMN04570611,simple,10090,Mus musculus,GSM2092715,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,E17_cre_positive_rep2,Superior colliculus,C57BL/6,E17.5,GSM2092715
SRR3270638,11729186,2111253480,90,1285,SRX1650213,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352483,SAMN04570612,simple,10090,Mus musculus,GSM2092716,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,E17_cre_negative_rep1,Superior colliculus,C57BL/6,E17.5,GSM2092716
SRR3270639,19028860,3805772000,100,2384,SRX1650214,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352482,SAMN04570613,simple,10090,Mus musculus,GSM2092717,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,E17_cre_negative_rep2,Superior colliculus,C57BL/6,E17.5,GSM2092717
SRR3270640,17318629,3117353220,90,1984,SRX1650215,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352481,SAMN04570615,simple,10090,Mus musculus,GSM2092718,GEO,SRA390208,06,2016,Shigeoka,Retina,E17_retina_rep1,Retina,C57BL/6,E17.5,GSM2092718
SRR3270641,15181680,3036336000,100,1975,SRX1650216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352480,SAMN04570616,simple,10090,Mus musculus,GSM2092719,GEO,SRA390208,06,2016,Shigeoka,Retina,E17_retina_rep2,Retina,C57BL/6,E17.5,GSM2092719
SRR3270642,11672894,2334578800,100,1460,SRX1650217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352479,SAMN04570617,simple,10090,Mus musculus,GSM2092720,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,P1_cre_positive_rep1,Superior colliculus,C57BL/6,P0.5,GSM2092720
SRR3270643,17208902,3097602360,90,1993,SRX1650218,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352478,SAMN04570618,simple,10090,Mus musculus,GSM2092721,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,P1_cre_positive_rep2,Superior colliculus,C57BL/6,P0.5,GSM2092721
SRR3270644,11756870,2351374000,100,1449,SRX1650219,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352477,SAMN04570619,simple,10090,Mus musculus,GSM2092722,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,P1_cre_negative_rep1,Superior colliculus,C57BL/6,P0.5,GSM2092722
SRR3270645,17155296,3087953280,90,1940,SRX1650220,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352476,SAMN04570620,simple,10090,Mus musculus,GSM2092723,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,P1_cre_negative_rep2,Superior colliculus,C57BL/6,P0.5,GSM2092723
SRR3270646,12297933,2459586600,100,1515,SRX1650221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352475,SAMN04570614,simple,10090,Mus musculus,GSM2092724,GEO,SRA390208,06,2016,Shigeoka,Retina,P1_retina_rep1,Retina,C57BL/6,P0.5,GSM2092724
SRR3270647,17181442,3092659560,90,1987,SRX1650222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352474,SAMN04570621,simple,10090,Mus musculus,GSM2092725,GEO,SRA390208,06,2016,Shigeoka,Retina,P1_retina_rep2,Retina,C57BL/6,P0.5,GSM2092725
SRR3270648,16009151,2881647180,90,1829,SRX1650223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352473,SAMN04570622,simple,10090,Mus musculus,GSM2092726,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,P7_cre_positive_rep1,Superior colliculus,C57BL/6,P7.5,GSM2092726
SRR3270649,10180586,2036117200,100,1290,SRX1650224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352472,SAMN04570623,simple,10090,Mus musculus,GSM2092727,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,P7_cre_positive_rep2,Superior colliculus,C57BL/6,P7.5,GSM2092727
SRR3270650,15664030,2819525400,90,1688,SRX1650225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352471,SAMN04570599,simple,10090,Mus musculus,GSM2092728,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,P7_cre_negative_rep1,Superior colliculus,C57BL/6,P7.5,GSM2092728
SRR3270651,10855325,2171065000,100,1364,SRX1650226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352470,SAMN04570600,simple,10090,Mus musculus,GSM2092729,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,P7_cre_negative_rep2,Superior colliculus,C57BL/6,P7.5,GSM2092729
SRR3270652,15727073,2830873140,90,1780,SRX1650227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352469,SAMN04570601,simple,10090,Mus musculus,GSM2092730,GEO,SRA390208,06,2016,Shigeoka,Retina,P7_retina_rep1,Retina,C57BL/6,P7.5,GSM2092730
SRR3270653,14327951,2865590200,100,1861,SRX1650228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352468,SAMN04570602,simple,10090,Mus musculus,GSM2092731,GEO,SRA390208,06,2016,Shigeoka,Retina,P7_retina_rep2,Retina,C57BL/6,P7.5,GSM2092731
SRR3270654,5462563,1092512600,100,693,SRX1650229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072106,PRJNA315830,27321671,"",SRS1352467,SAMN04570603,simple,10090,Mus musculus,GSM2092732,GEO,SRA390208,06,2016,Shigeoka,Superior colliculus,Adult_cre_positive_rep1,Superior colliculus,C57BL/6,Adult,GSM2092732
