Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,time,treatment,GEO Accession
SRR8891600,193698424,30991747840,80,11341,SRX5676958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618335,SAMN11408176,simple,9606,Homo sapiens,GSM3721649,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-untreated-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,0 h,untreated,GSM3721649
SRR8891601,191870171,30699227360,80,11268,SRX5676958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618335,SAMN11408176,simple,9606,Homo sapiens,GSM3721649,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-untreated-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,0 h,untreated,GSM3721650
SRR8891602,140669193,22507070880,80,8200,SRX5676959,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618336,SAMN11408175,simple,9606,Homo sapiens,GSM3721650,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-untreated-R2 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,0 h,untreated,GSM3721651
SRR8891603,133776432,21404229120,80,7666,SRX5676959,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618336,SAMN11408175,simple,9606,Homo sapiens,GSM3721650,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-untreated-R2 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,tunicamycin,GSM3721652
SRR8891604,121792807,19486849120,80,6976,SRX5676960,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618337,SAMN11408174,simple,9606,Homo sapiens,GSM3721651,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-untreated-R3 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,tunicamycin,GSM3721653
SRR8891605,124494362,19919097920,80,7279,SRX5676960,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618337,SAMN11408174,simple,9606,Homo sapiens,GSM3721651,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-untreated-R3 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,tunicamycin,GSM3721654
SRR8891606,148814748,23810359680,80,9158,SRX5676961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618339,SAMN11408173,simple,9606,Homo sapiens,GSM3721652,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Tunicamycin-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,tunicamycin,GSM3721655
SRR8891607,107326228,17172196480,80,7202,SRX5676961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618339,SAMN11408173,simple,9606,Homo sapiens,GSM3721652,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Tunicamycin-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,tunicamycin,GSM3721656
SRR8891608,145692866,23310858560,80,8462,SRX5676962,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618338,SAMN11408172,simple,9606,Homo sapiens,GSM3721653,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Tunicamycin-R2 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,tunicamycin,GSM3721657
SRR8891609,134653106,21544496960,80,7691,SRX5676962,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618338,SAMN11408172,simple,9606,Homo sapiens,GSM3721653,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Tunicamycin-R2 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,thapsigargin,GSM3721658
SRR8891610,133680051,21388808160,80,7516,SRX5676963,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618340,SAMN11408171,simple,9606,Homo sapiens,GSM3721654,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Tunicamycin-R3 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,6 h,thapsigargin,GSM3721659
SRR8891611,141932124,22709139840,80,8251,SRX5676963,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618340,SAMN11408171,simple,9606,Homo sapiens,GSM3721654,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-2h-Tunicamycin-R3 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,0 h,untreated,GSM3721660
SRR8891612,193719762,30995161920,80,11915,SRX5676964,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618341,SAMN11408170,simple,9606,Homo sapiens,GSM3721655,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Tunicamycin-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,0 h,untreated,GSM3721661
SRR8891613,140865487,22538477920,80,9416,SRX5676964,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618341,SAMN11408170,simple,9606,Homo sapiens,GSM3721655,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Tunicamycin-R1 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,0 h,untreated,GSM3721662
SRR8891614,135895479,21743276640,80,7639,SRX5676965,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618342,SAMN11408169,simple,9606,Homo sapiens,GSM3721656,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Tunicamycin-R2 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,tunicamycin,GSM3721663
SRR8891615,131956918,21113106880,80,7544,SRX5676965,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618342,SAMN11408169,simple,9606,Homo sapiens,GSM3721656,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Tunicamycin-R2 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,tunicamycin,GSM3721664
SRR8891616,124766879,19962700640,80,6972,SRX5676966,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP192442,PRJNA532643,1,"",SRS4618343,SAMN11408168,simple,9606,Homo sapiens,GSM3721657,GEO,SRA873611,04,2020,Makar,LN308 cell line,LN308-6h-Tunicamycin-R3 (RNA-Seq),LN308 cell line,LN308,Astrocytoma-derived p53-deficient glial cells,2 h,tunicamycin,GSM3721665
