Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,rna type,GEO Accession
SRR1802122,11589407,591059757,51,357,SRX876039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844831,SAMN03342099,simple,9606,Homo sapiens,GSM1608261,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcEtOH01hr_rna,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Total RNA,GSM1608261
SRR1802123,10144747,517382097,51,313,SRX876040,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844830,SAMN03342097,simple,9606,Homo sapiens,GSM1608262,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcEtOH04hr_rna,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Total RNA,GSM1608262
SRR1802124,9992010,509592510,51,307,SRX876041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844829,SAMN03342098,simple,9606,Homo sapiens,GSM1608263,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcEtOH24hr_rna,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Total RNA,GSM1608263
SRR1802125,11013910,561709410,51,339,SRX876042,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844827,SAMN03342100,simple,9606,Homo sapiens,GSM1608264,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM00hr_rna,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Total RNA,GSM1608264
SRR1802126,9777492,498652092,51,304,SRX876043,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844828,SAMN03342132,simple,9606,Homo sapiens,GSM1608265,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM01hr_rna,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Total RNA,GSM1608265
SRR1802127,12054080,614758080,51,371,SRX876044,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844824,SAMN03342120,simple,9606,Homo sapiens,GSM1608266,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM04hr_rna,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Total RNA,GSM1608266
SRR1802128,12054043,614756193,51,371,SRX876045,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844826,SAMN03342125,simple,9606,Homo sapiens,GSM1608267,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM24hr_rna,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Total RNA,GSM1608267
SRR1802129,20555648,1048338048,51,459,SRX876046,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844825,SAMN03342113,simple,9606,Homo sapiens,GSM1608268,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM00hr_chx_rep1,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608268
SRR1802130,22194007,1131894357,51,492,SRX876047,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844823,SAMN03342110,simple,9606,Homo sapiens,GSM1608269,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM01hr_chx_rep1,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608269
SRR1802131,19618306,1000533606,51,439,SRX876048,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844822,SAMN03342101,simple,9606,Homo sapiens,GSM1608270,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM04hr_chx_rep1,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608270
SRR1802132,21353817,1089044667,51,478,SRX876049,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844821,SAMN03342118,simple,9606,Homo sapiens,GSM1608271,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM24hr_chx_rep1,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608271
SRR1802133,19499566,994477866,51,426,SRX876050,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844820,SAMN03342112,simple,9606,Homo sapiens,GSM1608272,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM00hr_harr_rep1,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608272
SRR1802134,16768078,855171978,51,366,SRX876051,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844819,SAMN03342107,simple,9606,Homo sapiens,GSM1608273,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM01hr_harr_rep1,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608273
SRR1802135,22992074,1172595774,51,508,SRX876052,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844817,SAMN03342111,simple,9606,Homo sapiens,GSM1608274,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM04hr_harr_rep1,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608274
SRR1802136,19050313,971565963,51,426,SRX876053,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844818,SAMN03342121,simple,9606,Homo sapiens,GSM1608275,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcTAM24hr_harr_rep1,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608275
SRR1802137,24780933,1263827583,51,785,SRX876054,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844815,SAMN03342122,simple,9606,Homo sapiens,GSM1608276,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcEtOH01hr_chx_rep2,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608276
SRR1802138,33706506,1719031806,51,1072,SRX876055,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844814,SAMN03342128,simple,9606,Homo sapiens,GSM1608277,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcEtOH04hr_chx_rep2,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608277
SRR1802139,24902531,1270029081,51,789,SRX876056,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP054971,PRJNA275305,26900662,"",SRS844816,SAMN03342126,simple,9606,Homo sapiens,GSM1608278,GEO,SRA240809,11,2015,Ji,Breast epithelial cell,ERSrcEtOH24hr_chx_rep2,Breast epithelial cell,MCF10A-ER-Src,breast epithelial,Ribosome protected fragments,GSM1608278
