Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ecotype,age,geo_loc_name,tissue,growth_protocol,treatment,Replicate,BioSampleModel,sample_type
SRR13626517,127795,76826061,300,52,SRX10019549,in_vitro_DMS_plus_rep1,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187457,SAMN17775761,simple,3702,Arabidopsis thaliana,in_vitro_DMS_plus_rep1,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vitro folded RNA, DMS plus",1,Plant,
SRR13626516,119215,71667579,300,49,SRX10019550,in_vitro_DMS_plus_rep2,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187458,SAMN17775762,simple,3702,Arabidopsis thaliana,in_vitro_DMS_plus_rep2,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vitro folded RNA, DMS plus",2,Plant,
SRR13626515,164897,99120481,300,68,SRX10019551,LL_DMS_minus_rep2,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187459,SAMN17775771,simple,3702,Arabidopsis thaliana,LL_DMS_minus_rep2,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vivo low light (10 E m-2 s-1) RNA, DMS minus",2,Plant,
SRR13626514,149625,89944628,300,61,SRX10019552,LL_DMS_minus_rep3,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187460,SAMN17775772,simple,3702,Arabidopsis thaliana,LL_DMS_minus_rep3,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vivo low light (10 E m-2 s-1) RNA, DMS minus",3,Plant,
SRR13626513,147291,88542124,300,61,SRX10019553,HL_DMS_plus_rep1,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187462,SAMN17775773,simple,3702,Arabidopsis thaliana,HL_DMS_plus_rep1,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vivo high light (1000 E m-2 s-1) RNA, DMS plus",1,Plant,
SRR13626512,150631,90561804,300,61,SRX10019554,HL_DMS_plus_rep2,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187461,SAMN17775774,simple,3702,Arabidopsis thaliana,HL_DMS_plus_rep2,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vivo high light (1000 E m-2 s-1) RNA, DMS plus",2,Plant,
SRR13626511,162430,97650342,300,66,SRX10019555,HL_DMS_plus_rep3,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187463,SAMN17775775,simple,3702,Arabidopsis thaliana,HL_DMS_plus_rep3,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vivo high light (1000 E m-2 s-1) RNA, DMS plus",3,Plant,
SRR13626510,205758,123679209,300,84,SRX10019556,HL_DMS_minus_rep1,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187467,SAMN17775776,simple,3702,Arabidopsis thaliana,HL_DMS_minus_rep1,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vivo high light (1000 E m-2 s-1) RNA, DMS minus",1,Plant,
SRR13626509,190429,114480044,300,79,SRX10019557,HL_DMS_minus_rep2,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187464,SAMN17775777,simple,3702,Arabidopsis thaliana,HL_DMS_minus_rep2,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vivo high light (1000 E m-2 s-1) RNA, DMS minus",2,Plant,
SRR13626508,205975,123827341,300,84,SRX10019558,HL_DMS_minus_rep3,AMPLICON,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP304657,PRJNA699408,1,"",SRS8187466,SAMN17775778,simple,3702,Arabidopsis thaliana,HL_DMS_minus_rep3,WARSAW UNIVERSITY OF LIFE SCIENCES,SRA1191520,02,2021,Makar,"","",Col-0,17-18 days old,Poland,rosette,Plants were grown in Jiffy pots (Jiffy Products) for 17-18 days at 22 C and 150 E m-2 s-1 in long-day conditions (16 h day/8 h night),"in vivo high light (1000 E m-2 s-1) RNA, DMS minus",3,Plant,
