Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell type,genotype,treatment
SRR17971149,67230668,5109530768,76,1856,SRX14127399,GSM5885014,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954494,SAMN25829779,simple,10090,Mus musculus,GSM5885014,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,S1: MEF_wt+non_targeting siRNA rep 1 [RNA],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 wt,control RNAi
SRR17971148,62194586,4726788536,76,1704,SRX14127400,GSM5885015,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954495,SAMN25829778,simple,10090,Mus musculus,GSM5885015,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,S2: MEF_wt+non_targeting siRNA rep 2 [RNA],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 wt,control RNAi
SRR17971147,52357339,3979157764,76,1482,SRX14127401,GSM5885016,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954496,SAMN25829777,simple,10090,Mus musculus,GSM5885016,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,S3: MEF_wt+hnRNPK siRNA rep 1 [RNA],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 wt,hnRNPK knock-down
SRR17971146,54287293,4125834268,76,1520,SRX14127402,GSM5885017,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954497,SAMN25829776,simple,10090,Mus musculus,GSM5885017,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,S4: MEF_wt+hnRNPK siRNA rep 2 [RNA],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 wt,hnRNPK knock-down
SRR17971145,70514686,5359116136,76,1939,SRX14127403,GSM5885018,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954498,SAMN25829775,simple,10090,Mus musculus,GSM5885018,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,S5: MEF_Fbxo4(-/-)+non_targeting siRNA rep 1 [RNA],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 knock-out,control RNAi
SRR17971144,60609023,4606285748,76,1669,SRX14127404,GSM5885019,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954499,SAMN25829774,simple,10090,Mus musculus,GSM5885019,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,S6: MEF_Fbxo4(-/-)+non_targeting siRNA rep 2 [RNA],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 knock-out,control RNAi
SRR17971143,65816093,5002023068,76,1819,SRX14127405,GSM5885020,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954500,SAMN25829773,simple,10090,Mus musculus,GSM5885020,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,S7: MEF_Fbxo4(-/-)+hnRNPK siRNA rep 1 [RNA],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 knock-out,hnRNPK knock-down
SRR17971142,62689420,4764395920,76,1716,SRX14127406,GSM5885021,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954501,SAMN25829772,simple,10090,Mus musculus,GSM5885021,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,S8: MEF_Fbxo4(-/-)+hnRNPK siRNA rep 2 [RNA],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 knock-out,hnRNPK knock-down
SRR17971141,78619130,5975053880,76,2097,SRX14127407,GSM5885022,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954502,SAMN25829771,simple,10090,Mus musculus,GSM5885022,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,rS1: MEF_wt+non_targeting siRNA rep 1 [RPF],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 wt,control RNAi
SRR17971140,84429864,6416669664,76,2132,SRX14127408,GSM5885023,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP359195,PRJNA805181,36329064,"",SRS11954503,SAMN25829770,simple,10090,Mus musculus,GSM5885023,"Deihl Lab, Department of Biochemistry, Case Western Reserve University",SRA1369897,09,2022,Mucha,C57BL/6,rS2: MEF_wt+non_targeting siRNA rep 2 [RPF],C57BL/6,C57BL/6,Murine Embrionic Fibroblasts,Fbxo4 wt,control RNAi
