Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,label,growth_conditions,growth_strage,ploidy
SRR950450,172154977,6197579172,36,3529,SRX333052,HYBRID_RIBOFOOTPRINT_REP1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS468463,SAMN02314198,simple,595493,Saccharomyces cerevisiae x Saccharomyces paradoxus,HYBRID_RIBOFOOTPRINT_REP1,Stanford University,SRA097097,12,2013,Makar,"",Hybrid ribosome protected fragments replicate 1,S. cerevisiae BY4176 (MAT_ lys2 ura::KAN) x S. paradoxus CBS432(MATa ura::HYG),HYBRID_RIBOFOOTPRINT_REP1,"YPD medium, 30ÁC",log phase,diploid
SRR950452,105279209,3790051524,36,2171,SRX333664,HYBRID_RIBOFOOTPRINT_REP2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS468997,SAMN02314199,simple,595493,Saccharomyces cerevisiae x Saccharomyces paradoxus,HYBRID_RIBOFOOTPRINT_REP2,Stanford University,SRA097097,12,2013,Makar,"",Hybrid ribosome protected fragments replicate 2,S. cerevisiae BY4176 (MAT_ lys2 ura::KAN) x S. paradoxus CBS432(MATa ura::HYG),HYBRID_RIBOFOOTPRINT_REP2,"YPD medium, 30ÁC",log phase,diploid
SRR950758,167704269,6037353684,36,3646,SRX334032,HYBRID_MRNA_REP1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS469348,SAMN02314200,simple,595493,Saccharomyces cerevisiae x Saccharomyces paradoxus,HYBRID_MRNA_REP1,Stanford University,SRA097097,12,2013,Makar,"",Hybrid poly-A selected mRNA fragments replicate 1,S. cerevisiae BY4176 (MAT_ lys2 ura::KAN) x S. paradoxus CBS432(MATa ura::HYG),HYBRID_MRNA_REP1,"YPD medium, 30ÁC",log phase,diploid
SRR950896,156615280,5638150080,36,3349,SRX334053,HYBRID_MRNA_REP2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS469370,SAMN02314201,simple,595493,Saccharomyces cerevisiae x Saccharomyces paradoxus,HYBRID_MRNA_REP2,Stanford University,SRA097097,12,2013,Makar,"",Hybrid poly-A selected mRNA fragments replicate 2,S. cerevisiae BY4176 (MAT_ lys2 ura::KAN) x S. paradoxus CBS432(MATa ura::HYG),HYBRID_MRNA_REP2,"YPD medium, 30ÁC",log phase,diploid
SRR951828,136829250,4925853000,36,3098,SRX334710,S_CEREVISIAE_MRNA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS469853,SAMN02314202,simple,4932,Saccharomyces cerevisiae,S_CEREVISIAE_MRNA,Stanford University,SRA097097,12,2013,Makar,"",S. cerevisiae poly-A selected mRNA fragments,S. cerevisiae BY4176,S_CEREVISIAE_MRNA,"YPD medium, 30ÁC",log phase,haploid
SRR951829,95938715,3453793740,36,2016,SRX334711,S_PARADOXUS_MRNA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS469854,SAMN02314203,simple,27291,Saccharomyces paradoxus,S_PARADOXUS_MRNA,Stanford University,SRA097097,12,2013,Makar,"",S. paradoxus poly-A selected mRNA fragments,S. paradoxus CBS432,S_PARADOXUS_MRNA,"YPD medium, 30ÁC",log phase,diploid
SRR1040263,112580832,4052909952,36,2552,SRX384923,MIXED_PARENTAL_MRNA_REP1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS509098,SAMN02401351,simple,1306155,mixed culture,MIXED_PARENTAL_MRNA_REP1,Stanford University,SRA097097,12,2013,Makar,"",Mixed parental selected mRNA fragments,Saccharomyces cerevisiae BY4176 & Saccharomyces paradoxus CBS432,MIXED_PARENTAL_MRNA_REP1,"YPD medium, 30çC",log phase,haploid/diploid
SRR1040415,140321514,5051574504,36,5796,SRX385099,MIXED_PARENTAL_RIBOFOOTPRINT_REP1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS509272,SAMN02401352,simple,1306155,mixed culture,MIXED_PARENTAL_RIBOFOOTPRINT_REP1,Stanford University,SRA097097,12,2013,Makar,"",Mixed parental ribosome protected fragments replicate 1,Saccharomyces cerevisiae BY4176 & Saccharomyces paradoxus CBS432,MIXED_PARENTAL_RIBOFOOTPRINT_REP1,"YPD medium, 30çC",log phase,haploid/diploid
SRR1040423,130172032,4686193152,36,2780,SRX385185,MIXED_PARENTAL_RIBOFOOTPRINT_REP2_1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS509342,SAMN02401353,simple,1306155,mixed culture,MIXED_PARENTAL_RIBOFOOTPRINT_REP2_1,Stanford University,SRA097097,12,2013,Makar,"",Mixed parental ribosome protected fragments replicate 2 lane 1,Saccharomyces cerevisiae BY4176 & Saccharomyces paradoxus CBS432,MIXED_PARENTAL_RIBOFOOTPRINT_REP2_1,"YPD medium, 30çC",log phase,haploid/diploid
SRR1040427,171400626,6170422536,36,3873,SRX385187,MIXED_PARENTAL_MRNA_REP2_2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028614,PRJNA214730,1,"",SRS509345,SAMN02401354,simple,1306155,mixed culture,MIXED_PARENTAL_RIBOFOOTPRINT_REP2_2,Stanford University,SRA097097,12,2013,Makar,"",Mixed parental ribosome protected fragments replicate 2 lane 2,Saccharomyces cerevisiae BY4176 & Saccharomyces paradoxus CBS432,MIXED_PARENTAL_RIBOFOOTPRINT_REP2_2,"YPD medium, 30çC",log phase,haploid/diploid
