Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,sirna,GEO Accession
SRR12354635,33410683,6748957966,101,2581,SRX8853995,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115679,SAMN15679963,simple,9606,Homo sapiens,GSM4704560,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,Mock siCTRL RNA rep3,Huh7 cells,Mock,siCTRL,GSM4704560
SRR12354636,30238166,6108109532,101,2350,SRX8853996,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115680,SAMN15679961,simple,9606,Homo sapiens,GSM4704561,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,Mock siMettl3/14 rep1,Huh7 cells,Mock,siMettl3/14,GSM4704561
SRR12354637,39184988,7915367576,101,3033,SRX8853997,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115681,SAMN15679960,simple,9606,Homo sapiens,GSM4704562,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,Mock siMettl3/14 rep2,Huh7 cells,Mock,siMettl3/14,GSM4704562
SRR12354638,41779586,8439476372,101,3196,SRX8853998,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115682,SAMN15679959,simple,9606,Homo sapiens,GSM4704563,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,Mock siMettl3/14 rep3,Huh7 cells,Mock,siMettl3/14,GSM4704563
SRR12354639,32559841,6577087882,101,2553,SRX8853999,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115684,SAMN15679996,simple,9606,Homo sapiens,GSM4704564,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siCTRL RNA rep1,Huh7 cells,Interferon,siCTRL,GSM4704564
SRR12354640,37537641,7582603482,101,2887,SRX8854000,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115683,SAMN15679995,simple,9606,Homo sapiens,GSM4704565,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siCTRL RNA rep2,Huh7 cells,Interferon,siCTRL,GSM4704565
SRR12354641,32855856,6636882912,101,2555,SRX8854001,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115685,SAMN15679994,simple,9606,Homo sapiens,GSM4704566,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siCTRL RNA rep3,Huh7 cells,Interferon,siCTRL,GSM4704566
SRR12354642,38789669,7835513138,101,3015,SRX8854002,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115686,SAMN15679993,simple,9606,Homo sapiens,GSM4704567,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siMettl3/14 RNA rep1,Huh7 cells,Interferon,siMettl3/14,GSM4704567
SRR12354643,32714115,6608251230,101,2514,SRX8854003,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115687,SAMN15679992,simple,9606,Homo sapiens,GSM4704568,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siMettl3/14 RNA rep2,Huh7 cells,Interferon,siMettl3/14,GSM4704568
SRR12354644,30703468,6202100536,101,2373,SRX8854004,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115688,SAMN15679991,simple,9606,Homo sapiens,GSM4704569,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siMettl3/14 RNA rep3,Huh7 cells,Interferon,siMettl3/14,GSM4704569
SRR12354645,52634336,8000419072,76,2862,SRX8854005,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP274360,PRJNA649776,33657363,"",SRS7115689,SAMN15679990,simple,9606,Homo sapiens,GSM4704570,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siCTRL RIBO rep1,Huh7 cells,Interferon,siCTRL,GSM4704570
SRR12354646,40180726,6107470352,76,2188,SRX8854006,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP274360,PRJNA649776,33657363,"",SRS7115690,SAMN15679989,simple,9606,Homo sapiens,GSM4704571,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siCTRL RIBO rep2,Huh7 cells,Interferon,siCTRL,GSM4704571
SRR12354647,41084822,6244892944,76,2235,SRX8854007,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP274360,PRJNA649776,33657363,"",SRS7115691,SAMN15679988,simple,9606,Homo sapiens,GSM4704572,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siCTRL RIBO rep3,Huh7 cells,Interferon,siCTRL,GSM4704572
SRR12354648,53748519,8169774888,76,2911,SRX8854008,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP274360,PRJNA649776,33657363,"",SRS7115692,SAMN15679987,simple,9606,Homo sapiens,GSM4704573,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siCTRL RIBO rep4,Huh7 cells,Interferon,siCTRL,GSM4704573
SRR12354649,51448991,7820246632,76,2819,SRX8854009,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP274360,PRJNA649776,33657363,"",SRS7115693,SAMN15679986,simple,9606,Homo sapiens,GSM4704574,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siMettl3/14 RIBO rep1,Huh7 cells,Interferon,siMettl3/14,GSM4704574
SRR12354650,54183253,8235854456,76,2943,SRX8854010,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP274360,PRJNA649776,33657363,"",SRS7115694,SAMN15679985,simple,9606,Homo sapiens,GSM4704575,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siMettl3/14 RIBO rep2,Huh7 cells,Interferon,siMettl3/14,GSM4704575
SRR12354651,44183331,6715866312,76,2393,SRX8854011,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP274360,PRJNA649776,33657363,"",SRS7115695,SAMN15679984,simple,9606,Homo sapiens,GSM4704576,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siMettl3/14 RIBO rep3,Huh7 cells,Interferon,siMettl3/14,GSM4704576
SRR12354652,71115943,10809623336,76,3835,SRX8854012,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP274360,PRJNA649776,33657363,"",SRS7115696,SAMN15679983,simple,9606,Homo sapiens,GSM4704577,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,IFN siMettl3/14 RIBO rep4,Huh7 cells,Interferon,siMettl3/14,GSM4704577
SRR12354633,32086940,6481561880,101,2495,SRX8854013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115697,SAMN15679965,simple,9606,Homo sapiens,GSM4704558,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,Mock siCTRL RNA rep1,Huh7 cells,Mock,siCTRL,GSM4704558
SRR12354634,40585730,8198317460,101,3182,SRX8854014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP274360,PRJNA649776,33657363,"",SRS7115698,SAMN15679964,simple,9606,Homo sapiens,GSM4704559,GEO,SRA1105788,02,2021,McFadden,Huh7 cells,Mock siCTRL RNA rep2,Huh7 cells,Mock,siCTRL,GSM4704559
