Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,virus strain,cell line,hours post infection,sub_species,GEO Accession
SRR11713354,12456489,747389340,60,278,SRX8272677,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604163,SAMN14842861,simple,101841,Chlorocebus aethiops aethiops,GSM4519099,GEO,SRA1072683,05,2020,Finkel,mrna_05hr_1,mrna_05hr_1,mrna_05hr_1,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",5,aethiops,GSM4519099
SRR11713355,12585555,755133300,60,282,SRX8272678,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604164,SAMN14842860,simple,101841,Chlorocebus aethiops aethiops,GSM4519100,GEO,SRA1072683,05,2020,Finkel,mrna_05hr_2,mrna_05hr_2,mrna_05hr_2,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",5,aethiops,GSM4519100
SRR11713356,51868410,3112104600,60,1113,SRX8272679,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604165,SAMN14842859,simple,101841,Chlorocebus aethiops aethiops,GSM4519101,GEO,SRA1072683,05,2020,Finkel,fp_chx_05hr_1,fp_chx_05hr_1,fp_chx_05hr_1,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",5,aethiops,GSM4519101
SRR11713357,62706847,3762410820,60,1334,SRX8272680,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604166,SAMN14842858,simple,101841,Chlorocebus aethiops aethiops,GSM4519102,GEO,SRA1072683,05,2020,Finkel,fp_chx_05hr_2,fp_chx_05hr_2,fp_chx_05hr_2,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",5,aethiops,GSM4519102
SRR11713358,54281556,3256893360,60,1180,SRX8272681,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604167,SAMN14842857,simple,101841,Chlorocebus aethiops aethiops,GSM4519103,GEO,SRA1072683,05,2020,Finkel,fp_ltm_05hr_1,fp_ltm_05hr_1,fp_ltm_05hr_1,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",5,aethiops,GSM4519103
SRR11713359,62086300,3725178000,60,1327,SRX8272682,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604168,SAMN14842856,simple,101841,Chlorocebus aethiops aethiops,GSM4519104,GEO,SRA1072683,05,2020,Finkel,fp_ltm_05hr_2,fp_ltm_05hr_2,fp_ltm_05hr_2,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",5,aethiops,GSM4519104
SRR11713360,65685686,3941141160,60,1393,SRX8272683,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604169,SAMN14842855,simple,101841,Chlorocebus aethiops aethiops,GSM4519105,GEO,SRA1072683,05,2020,Finkel,fp_harr_05hr_1,fp_harr_05hr_1,fp_harr_05hr_1,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",5,aethiops,GSM4519105
SRR11713361,51520290,3091217400,60,1097,SRX8272684,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604170,SAMN14842854,simple,101841,Chlorocebus aethiops aethiops,GSM4519106,GEO,SRA1072683,05,2020,Finkel,fp_harr_05hr_2,fp_harr_05hr_2,fp_harr_05hr_2,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",5,aethiops,GSM4519106
SRR11713362,19910418,1194625080,60,455,SRX8272685,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604171,SAMN14842874,simple,101841,Chlorocebus aethiops aethiops,GSM4519107,GEO,SRA1072683,05,2020,Finkel,mrna_24hr_1,mrna_24hr_1,mrna_24hr_1,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",24,aethiops,GSM4519107
SRR11713363,18681847,1120910820,60,427,SRX8272686,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604172,SAMN14842872,simple,101841,Chlorocebus aethiops aethiops,GSM4519108,GEO,SRA1072683,05,2020,Finkel,mrna_24hr_2,mrna_24hr_2,mrna_24hr_2,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",24,aethiops,GSM4519108
SRR11713364,145038092,8702285520,60,3203,SRX8272687,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604173,SAMN14842871,simple,101841,Chlorocebus aethiops aethiops,GSM4519109,GEO,SRA1072683,05,2020,Finkel,fp_chx_24hr_1,fp_chx_24hr_1,fp_chx_24hr_1,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",24,aethiops,GSM4519109
SRR11713365,190891784,11453507040,60,4195,SRX8272688,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604174,SAMN14842868,simple,101841,Chlorocebus aethiops aethiops,GSM4519110,GEO,SRA1072683,05,2020,Finkel,fp_chx_24hr_2,fp_chx_24hr_2,fp_chx_24hr_2,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",24,aethiops,GSM4519110
SRR11713366,34652022,2079121320,60,801,SRX8272689,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604175,SAMN14842867,simple,101841,Chlorocebus aethiops aethiops,GSM4519111,GEO,SRA1072683,05,2020,Finkel,fp_ltm_24hr_1,fp_ltm_24hr_1,fp_ltm_24hr_1,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",24,aethiops,GSM4519111
SRR11713367,30703362,1842201720,60,716,SRX8272690,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604176,SAMN14842853,simple,101841,Chlorocebus aethiops aethiops,GSM4519112,GEO,SRA1072683,05,2020,Finkel,fp_ltm_24hr_2,fp_ltm_24hr_2,fp_ltm_24hr_2,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",24,aethiops,GSM4519112
SRR11713368,129272624,7756357440,60,3022,SRX8272691,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604177,SAMN14842850,simple,101841,Chlorocebus aethiops aethiops,GSM4519113,GEO,SRA1072683,05,2020,Finkel,fp_harr_24hr_1,fp_harr_24hr_1,fp_harr_24hr_1,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",24,aethiops,GSM4519113
SRR11713369,51402752,3084165120,60,1190,SRX8272692,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS6604178,SAMN14842849,simple,101841,Chlorocebus aethiops aethiops,GSM4519114,GEO,SRA1072683,05,2020,Finkel,fp_harr_24hr_2,fp_harr_24hr_2,fp_harr_24hr_2,BetaCoV/Germany/BavPat1/2020 EPI_ISL_406862,"Vero cells, ATCC, CCL-81",24,aethiops,GSM4519114
SRR12216744,2239263,129103906,57,67,SRX8727223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP260279,PRJNA630716,32906143,"",SRS7001889,SAMN15526203,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM4670758,GEO,SRA1072683,09,2020,Finkel,virus,virion.Vero6,virus,BavPat1/2020 EPI_ISL_406862,,,,GSM4670758
SRR12216745,4332551,1192595231,137,627,SRX8727224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP260279,PRJNA630716,32906143,"",SRS7001890,SAMN15526202,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM4670759,GEO,SRA1072683,09,2020,Finkel,virus,virion.Calu3,virus,BavPat1/2020 Ref-SKU: 026V-03883,,,,GSM4670759
SRR12216746,10310640,618638400,60,227,SRX8727225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS7001892,SAMN15526214,simple,9606,Homo sapiens,GSM4670760,GEO,SRA1072683,09,2020,Finkel,"Calu 3 cells, ATCC HTB-55",mrna_07hr_1,"Calu 3 cells, ATCC HTB-55",BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",7,,GSM4670760
SRR12216747,12037942,722276520,60,266,SRX8727226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS7001891,SAMN15526213,simple,9606,Homo sapiens,GSM4670761,GEO,SRA1072683,09,2020,Finkel,"Calu 3 cells, ATCC HTB-55",mrna_07hr_2,"Calu 3 cells, ATCC HTB-55",BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",7,,GSM4670761
SRR12216748,77866492,4671989520,60,1698,SRX8727227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS7001893,SAMN15526211,simple,9606,Homo sapiens,GSM4670762,GEO,SRA1072683,09,2020,Finkel,"Calu 3 cells, ATCC HTB-55",fp_chx_07hr_1,"Calu 3 cells, ATCC HTB-55",BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",7,,GSM4670762
SRR12216749,39032217,2341933020,60,846,SRX8727228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP260279,PRJNA630716,32906143,"",SRS7001894,SAMN15526210,simple,9606,Homo sapiens,GSM4670763,GEO,SRA1072683,09,2020,Finkel,"Calu 3 cells, ATCC HTB-55",fp_chx_07hr_2,"Calu 3 cells, ATCC HTB-55",BavPat1/2020 Ref-SKU: 026V-03883,"Calu 3 cells, ATCC HTB-55",7,,GSM4670763
