Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,chip antibody,GEO Accession
SRR15928690,46383880,3525174880,76,1399,SRX12218831,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194925,SAMN21467708,simple,9606,Homo sapiens,GSM5584077,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,sgSMIMP#1,Colon carcinoma,DLD1,,GSM5584077
SRR15928691,48080183,3654093908,76,1458,SRX12218832,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194923,SAMN21467709,simple,9606,Homo sapiens,GSM5584078,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,sgSMIMP#2,Colon carcinoma,DLD1,,GSM5584078
SRR15928692,37974051,2886027876,76,1144,SRX12218833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194924,SAMN21467710,simple,9606,Homo sapiens,GSM5584079,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,sgSMIMP#3,Colon carcinoma,DLD1,,GSM5584079
SRR15928693,42277406,3213082856,76,1269,SRX12218834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194922,SAMN21467711,simple,9606,Homo sapiens,GSM5584080,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,sgNC#1,Colon carcinoma,DLD1,,GSM5584080
SRR15928694,47753854,3629292904,76,1429,SRX12218835,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194926,SAMN21467712,simple,9606,Homo sapiens,GSM5584081,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,sgNC#2,Colon carcinoma,DLD1,,GSM5584081
SRR15928695,34617513,2630930988,76,1039,SRX12218836,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194927,SAMN21467713,simple,9606,Homo sapiens,GSM5584082,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,sgNC#3,Colon carcinoma,DLD1,,GSM5584082
SRR15928696,40199300,3055146800,76,1205,SRX12218837,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194928,SAMN21467714,simple,9606,Homo sapiens,GSM5584083,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,shNC#1,Colon carcinoma,DLD1,,GSM5584083
SRR15928697,43195636,3282868336,76,1296,SRX12218838,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194929,SAMN21467715,simple,9606,Homo sapiens,GSM5584084,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,shNC#2,Colon carcinoma,DLD1,,GSM5584084
SRR15928698,43559107,3310492132,76,1301,SRX12218839,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194930,SAMN21467716,simple,9606,Homo sapiens,GSM5584085,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,shNC#3,Colon carcinoma,DLD1,,GSM5584085
SRR15928699,47254293,3591326268,76,1418,SRX12218840,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP337586,PRJNA764064,1,"",SRS10194931,SAMN21467717,simple,9606,Homo sapiens,GSM5584086,GEO,SRA1295994,08,2023,Makar,Colon carcinoma,shSMC1A#1,Colon carcinoma,DLD1,,GSM5584086
