Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,developmental stage,tissue,GEO Accession
SRR5667264,21824072,1535317966,70,598,SRX2902852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269410,SAMN07220963,simple,7227,Drosophila melanogaster,GSM2664253,GEO,SRA573547,11,2017,Makar,wild type transcriptional profiling,wild type transcriptional profiling replicate 1,wild type transcriptional profiling,w1118,Third instar larvae,body wall muscle,GSM2664253
SRR5667265,8817445,627312459,71,247,SRX2902853,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269411,SAMN07220962,simple,7227,Drosophila melanogaster,GSM2664254,GEO,SRA573547,11,2017,Makar,wild type transcriptional profiling,wild type transcriptional profiling replicate 2,wild type transcriptional profiling,w1118,Third instar larvae,body wall muscle,GSM2664254
SRR5667266,19404229,1415031216,72,547,SRX2902854,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269412,SAMN07220961,simple,7227,Drosophila melanogaster,GSM2664255,GEO,SRA573547,11,2017,Makar,wild type transcriptional profiling,wild type transcriptional profiling replicate 3,wild type transcriptional profiling,w1118,Third instar larvae,body wall muscle,GSM2664255
SRR5667267,46651854,1621851282,34,754,SRX2902855,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269413,SAMN07220960,simple,7227,Drosophila melanogaster,GSM2664256,GEO,SRA573547,11,2017,Makar,wild type ribosome profiling,wild type ribosome profiling replicate 1,wild type ribosome profiling,w1118,Third instar larvae,body wall muscle,GSM2664256
SRR5667268,122734505,4216803822,34,1951,SRX2902856,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269414,SAMN07220959,simple,7227,Drosophila melanogaster,GSM2664257,GEO,SRA573547,11,2017,Makar,wild type ribosome profiling,wild type ribosome profiling replicate 2,wild type ribosome profiling,w1118,Third instar larvae,body wall muscle,GSM2664257
SRR5667269,45156367,1539402070,34,690,SRX2902857,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269415,SAMN07220958,simple,7227,Drosophila melanogaster,GSM2664258,GEO,SRA573547,11,2017,Makar,wild type ribosome profiling,wild type ribosome profiling replicate 3,wild type ribosome profiling,w1118,Third instar larvae,body wall muscle,GSM2664258
SRR5667270,25786588,1832677153,71,706,SRX2902858,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269416,SAMN07220957,simple,7227,Drosophila melanogaster,GSM2664259,GEO,SRA573547,11,2017,Makar,wild type translational profiling (TRAP),wild type translational profiling (TRAP) replicate 1,wild type translational profiling (TRAP),w1118,Third instar larvae,body wall muscle,GSM2664259
SRR5667271,6187253,442604099,71,176,SRX2902859,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269417,SAMN07220956,simple,7227,Drosophila melanogaster,GSM2664260,GEO,SRA573547,11,2017,Makar,wild type translational profiling (TRAP),wild type translational profiling (TRAP) replicate 2,wild type translational profiling (TRAP),w1118,Third instar larvae,body wall muscle,GSM2664260
SRR5667272,17417487,1267815287,72,492,SRX2902860,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269418,SAMN07220955,simple,7227,Drosophila melanogaster,GSM2664261,GEO,SRA573547,11,2017,Makar,wild type translational profiling (TRAP),wild type translational profiling (TRAP) replicate 3,wild type translational profiling (TRAP),w1118,Third instar larvae,body wall muscle,GSM2664261
SRR5667273,20062370,1408728811,70,548,SRX2902861,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269420,SAMN07220954,simple,7227,Drosophila melanogaster,GSM2664262,GEO,SRA573547,11,2017,Makar,GluRIIA transcriptional profiling,GluRIIA transcriptional profiling replicate 1,GluRIIA transcriptional profiling,w1118;GluRIIASP16,Third instar larvae,body wall muscle,GSM2664262
SRR5667274,8137709,578648853,71,228,SRX2902862,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269419,SAMN07220953,simple,7227,Drosophila melanogaster,GSM2664263,GEO,SRA573547,11,2017,Makar,GluRIIA transcriptional profiling,GluRIIA transcriptional profiling replicate 2,GluRIIA transcriptional profiling,w1118;GluRIIASP16,Third instar larvae,body wall muscle,GSM2664263
SRR5667275,18828532,1362639810,72,526,SRX2902863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269421,SAMN07220952,simple,7227,Drosophila melanogaster,GSM2664264,GEO,SRA573547,11,2017,Makar,GluRIIA transcriptional profiling,GluRIIA transcriptional profiling replicate 3,GluRIIA transcriptional profiling,w1118;GluRIIASP16,Third instar larvae,body wall muscle,GSM2664264
SRR5667276,35199688,1194135764,33,537,SRX2902864,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269422,SAMN07220951,simple,7227,Drosophila melanogaster,GSM2664265,GEO,SRA573547,11,2017,Makar,GluRIIA ribosome profiling,GluRIIA ribosome profiling replicate 1,GluRIIA ribosome profiling,w1118;GluRIIASP16,Third instar larvae,body wall muscle,GSM2664265
SRR5667277,78959629,2610438767,33,1180,SRX2902865,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269423,SAMN07220950,simple,7227,Drosophila melanogaster,GSM2664266,GEO,SRA573547,11,2017,Makar,GluRIIA ribosome profiling,GluRIIA ribosome profiling replicate 2,GluRIIA ribosome profiling,w1118;GluRIIASP16,Third instar larvae,body wall muscle,GSM2664266
SRR5667278,20752434,676573468,32,286,SRX2902866,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269424,SAMN07220949,simple,7227,Drosophila melanogaster,GSM2664267,GEO,SRA573547,11,2017,Makar,GluRIIA ribosome profiling,GluRIIA ribosome profiling replicate 3,GluRIIA ribosome profiling,w1118;GluRIIASP16,Third instar larvae,body wall muscle,GSM2664267
SRR5667279,20652140,1450696370,70,563,SRX2902867,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269425,SAMN07220948,simple,7227,Drosophila melanogaster,GSM2664268,GEO,SRA573547,11,2017,Makar,Tor-OE transcriptional profiling,Tor-OE transcriptional profiling replicate 1,Tor-OE transcriptional profiling,w1118;UAS-Tor-myc/+;BG57-Gal4/+,Third instar larvae,body wall muscle,GSM2664268
SRR5667280,8741158,622951660,71,245,SRX2902868,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269426,SAMN07220947,simple,7227,Drosophila melanogaster,GSM2664269,GEO,SRA573547,11,2017,Makar,Tor-OE transcriptional profiling,Tor-OE transcriptional profiling replicate 2,Tor-OE transcriptional profiling,w1118;UAS-Tor-myc/+;BG57-Gal4/+,Third instar larvae,body wall muscle,GSM2664269
SRR5667281,18830104,1371963598,72,531,SRX2902869,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269427,SAMN07220946,simple,7227,Drosophila melanogaster,GSM2664270,GEO,SRA573547,11,2017,Makar,Tor-OE transcriptional profiling,Tor-OE transcriptional profiling replicate 3,Tor-OE transcriptional profiling,w1118;UAS-Tor-myc/+;BG57-Gal4/+,Third instar larvae,body wall muscle,GSM2664270
SRR5667282,56343352,1940386794,34,904,SRX2902870,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269428,SAMN07220945,simple,7227,Drosophila melanogaster,GSM2664271,GEO,SRA573547,11,2017,Makar,Tor-OE ribosome profiling,Tor-OE ribosome profiling replicate 1,Tor-OE ribosome profiling,w1118;UAS-Tor-myc/+;BG57-Gal4/+,Third instar larvae,body wall muscle,GSM2664271
SRR5667283,32872272,1104998701,33,511,SRX2902871,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108999,PRJNA390134,1,"",SRS2269429,SAMN07220944,simple,7227,Drosophila melanogaster,GSM2664272,GEO,SRA573547,11,2017,Makar,Tor-OE ribosome profiling,Tor-OE ribosome profiling replicate 2,Tor-OE ribosome profiling,w1118;UAS-Tor-myc/+;BG57-Gal4/+,Third instar larvae,body wall muscle,GSM2664272
