Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,tissue,age,genotype/variation,GEO Accession
SRR1266096,59398763,4620201400,50,2212,SRX529513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599230,SAMN02741420,simple,7227,Drosophila melanogaster,GSM1377050,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,24hrs APF rep1,Photoreceptor neurons,Photoreceptor neurons,retina,24 hrs APF,wild type,GSM1377050
SRR1266097,34106984,2589233800,50,1254,SRX529514,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599231,SAMN02741411,simple,7227,Drosophila melanogaster,GSM1377051,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,24hrs APF rep2,Photoreceptor neurons,Photoreceptor neurons,retina,24 hrs APF,wild type,GSM1377051
SRR1266098,10911425,896835600,50,395,SRX529515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599232,SAMN02741412,simple,7227,Drosophila melanogaster,GSM1377052,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,35hrs APF rep1,Photoreceptor neurons,Photoreceptor neurons,retina,35 hrs APF,wild type,GSM1377052
SRR1266099,18135725,1412328600,50,624,SRX529516,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599233,SAMN02741421,simple,7227,Drosophila melanogaster,GSM1377053,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,35hrs APF rep2,Photoreceptor neurons,Photoreceptor neurons,retina,35 hrs APF,wild type,GSM1377053
SRR1266100,17717838,1561042900,50,795,SRX529517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599234,SAMN02741414,simple,7227,Drosophila melanogaster,GSM1377054,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,40hrs APF rep1,Photoreceptor neurons,Photoreceptor neurons,retina,40 hrs APF,wild type,GSM1377054
SRR1266101,18990713,1713357100,50,874,SRX529518,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599235,SAMN02741413,simple,7227,Drosophila melanogaster,GSM1377055,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,40hrs APF rep2,Photoreceptor neurons,Photoreceptor neurons,retina,40 hrs APF,wild type,GSM1377055
SRR1266102,13344856,1126134750,50,565,SRX529519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599236,SAMN02741422,simple,7227,Drosophila melanogaster,GSM1377056,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,45hrs APF rep1,Photoreceptor neurons,Photoreceptor neurons,retina,45 hrs APF,wild type,GSM1377056
SRR1266103,10037593,847945050,50,426,SRX529520,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599237,SAMN02741416,simple,7227,Drosophila melanogaster,GSM1377057,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,45hrs APF rep2,Photoreceptor neurons,Photoreceptor neurons,retina,45 hrs APF,wild type,GSM1377057
SRR1266104,16259845,1386684650,50,671,SRX529521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599238,SAMN02741415,simple,7227,Drosophila melanogaster,GSM1377058,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,53hrs APF rep1,Photoreceptor neurons,Photoreceptor neurons,retina,53 hrs APF,wild type,GSM1377058
SRR1266105,14539845,1227396550,50,615,SRX529522,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041581,PRJNA245901,26832407,"",SRS599239,SAMN02741423,simple,7227,Drosophila melanogaster,GSM1377059,GEO,SRA160576,01,2016,Zhang,Photoreceptor neurons,53hrs APF rep2,Photoreceptor neurons,Photoreceptor neurons,retina,53 hrs APF,wild type,GSM1377059
