Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,GEO Accession
SRR5188589,33818940,1724765940,51,1069,SRX2504510,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929340,SAMN06241946,simple,4932,Saccharomyces cerevisiae,GSM2463178,GEO,SRA528641,07,2017,Döring,Yeast,"ssb2∆ Ssb1 interactome, low salt, replicate 1",Yeast,BY4741,Ssb1-GFP::kanMX4 ssb2delta::natMX4,GSM2463178
SRR5188590,36357694,1854242394,51,1139,SRX2504511,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929341,SAMN06241945,simple,4932,Saccharomyces cerevisiae,GSM2463179,GEO,SRA528641,07,2017,Döring,Yeast,"ssb2∆ Ssb1 interactome, high salt, replicate 1",Yeast,BY4741,Ssb1-GFP::kanMX4 ssb2delta::natMX4,GSM2463179
SRR5188591,35612289,1816226739,51,1124,SRX2504512,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929342,SAMN06241944,simple,4932,Saccharomyces cerevisiae,GSM2463180,GEO,SRA528641,07,2017,Döring,Yeast,"ssb2∆ Ssb1-GFP translatome, replicate 1",Yeast,BY4741,Ssb1-GFP::kanMX4 ssb2delta::natMX4,GSM2463180
SRR5188592,40512273,2066125923,51,1277,SRX2504513,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929343,SAMN06241943,simple,4932,Saccharomyces cerevisiae,GSM2463181,GEO,SRA528641,07,2017,Döring,Yeast,"ssb1∆ Ssb2 interactome, low salt, replicate 1",Yeast,BY4741,Ssb2-GFP::kanMX4 ssb1delta::LEU2,GSM2463181
SRR5188593,35361104,1803416304,51,1107,SRX2504514,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929344,SAMN06241942,simple,4932,Saccharomyces cerevisiae,GSM2463182,GEO,SRA528641,07,2017,Döring,Yeast,"ssb1∆ Ssb2 interactome, high salt, replicate 1",Yeast,BY4741,Ssb2-GFP::kanMX4 ssb1delta::LEU2,GSM2463182
SRR5188594,33077586,1686956886,51,1042,SRX2504515,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929345,SAMN06241941,simple,4932,Saccharomyces cerevisiae,GSM2463183,GEO,SRA528641,07,2017,Döring,Yeast,"ssb1∆ Ssb2-GFP translatome, replicate 1",Yeast,BY4741,Ssb2-GFP::kanMX4 ssb1delta::LEU2,GSM2463183
SRR5188595,43975041,2242727091,51,1385,SRX2504516,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929346,SAMN06241940,simple,4932,Saccharomyces cerevisiae,GSM2463184,GEO,SRA528641,07,2017,Döring,Yeast,"ssb2∆ Ssb1 interactome, low salt, replicate 2",Yeast,BY4741,Ssb1-GFP::kanMX4 ssb2delta::natMX4,GSM2463184
SRR5188596,37185597,1896465447,51,1164,SRX2504517,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929347,SAMN06241939,simple,4932,Saccharomyces cerevisiae,GSM2463185,GEO,SRA528641,07,2017,Döring,Yeast,"ssb2∆ Ssb1 interactome, high salt, replicate 2",Yeast,BY4741,Ssb1-GFP::kanMX4 ssb2delta::natMX4,GSM2463185
SRR5188597,34310980,1749859980,51,1078,SRX2504518,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929348,SAMN06241938,simple,4932,Saccharomyces cerevisiae,GSM2463186,GEO,SRA528641,07,2017,Döring,Yeast,"ssb2∆ Ssb1-GFP translatome, replicate 2",Yeast,BY4741,Ssb1-GFP::kanMX4 ssb2delta::natMX4,GSM2463186
SRR5188598,38118663,1944051813,51,1205,SRX2504519,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929349,SAMN06241937,simple,4932,Saccharomyces cerevisiae,GSM2463187,GEO,SRA528641,07,2017,Döring,Yeast,"ssb1∆ Ssb2 interactome, low salt, replicate 2",Yeast,BY4741,Ssb2-GFP::kanMX4 ssb1delta::LEU2,GSM2463187
SRR5188599,35902975,1831051725,51,1131,SRX2504520,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929350,SAMN06241936,simple,4932,Saccharomyces cerevisiae,GSM2463188,GEO,SRA528641,07,2017,Döring,Yeast,"ssb1∆ Ssb2 interactome, high salt, replicate 2",Yeast,BY4741,Ssb2-GFP::kanMX4 ssb1delta::LEU2,GSM2463188
SRR5188600,40511452,2066084052,51,1264,SRX2504521,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929351,SAMN06241935,simple,4932,Saccharomyces cerevisiae,GSM2463189,GEO,SRA528641,07,2017,Döring,Yeast,"ssb1∆ Ssb2-GFP translatome, replicate 2",Yeast,BY4741,Ssb2-GFP::kanMX4 ssb1delta::LEU2,GSM2463189
SRR5188601,42527471,2168901021,51,1418,SRX2504522,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929352,SAMN06241934,simple,4932,Saccharomyces cerevisiae,GSM2463190,GEO,SRA528641,07,2017,Döring,Yeast,"WT Ssb1-GFP translatome, replicate 1",Yeast,BY4741,Ssb1-GFP::kanMX4,GSM2463190
SRR5188602,40388657,2059821507,51,1346,SRX2504523,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929353,SAMN06241933,simple,4932,Saccharomyces cerevisiae,GSM2463191,GEO,SRA528641,07,2017,Döring,Yeast,"WT Ssb2-GFP translatome, replicate 1",Yeast,BY4741,Ssb2-GFP::kanMX4,GSM2463191
SRR5188603,40938325,2087854575,51,1376,SRX2504524,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929354,SAMN06241932,simple,4932,Saccharomyces cerevisiae,GSM2463192,GEO,SRA528641,07,2017,Döring,Yeast,"WT Ssb1 interactome, replicate 1",Yeast,BY4741,Ssb1-GFP::kanMX4,GSM2463192
SRR5188604,39766166,2028074466,51,1329,SRX2504525,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929355,SAMN06241931,simple,4932,Saccharomyces cerevisiae,GSM2463193,GEO,SRA528641,07,2017,Döring,Yeast,"WT Ssb2 interactome, replicate 1",Yeast,BY4741,Ssb2-GFP::kanMX4,GSM2463193
SRR5188605,40109894,2045604594,51,1336,SRX2504526,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929356,SAMN06241929,simple,4932,Saccharomyces cerevisiae,GSM2463194,GEO,SRA528641,07,2017,Döring,Yeast,"NACΔ Ssb1-GFP translatome, replicate 1",Yeast,BY4741,egd1delta::hisMX6 btt1delta::phleo egd2delta::LEU2 Ssb1-GFP::kanMX4,GSM2463194
SRR5188606,40151374,2047720074,51,1344,SRX2504527,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097127,PRJNA362545,28708998,"",SRS1929357,SAMN06241928,simple,4932,Saccharomyces cerevisiae,GSM2463195,GEO,SRA528641,07,2017,Döring,Yeast,"NACΔ Ssb2-GFP translatome, replicate 1",Yeast,BY4741,egd1delta::hisMX6 btt1delta::phleo egd2delta::LEU2 Ssb2-GFP::kanMX4,GSM2463195
