Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype/variation,GEO Accession
SRR10315771,28393215,8517964500,150,2555,SRX7026825,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547265,SAMN13066799,simple,9606,Homo sapiens,GSM4131430,GEO,SRA982536,11,2019,Makar,B1_E1,B1_E1,B1_E1,HEK293T,BRSK1,GSM4131430
SRR10315772,32310747,9693224100,150,2839,SRX7026826,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547266,SAMN13066798,simple,9606,Homo sapiens,GSM4131431,GEO,SRA982536,11,2019,Makar,B1_E2,B1_E2,B1_E2,HEK293T,BRSK1,GSM4131431
SRR10315773,33897963,10169388900,150,3028,SRX7026827,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547267,SAMN13066797,simple,9606,Homo sapiens,GSM4131432,GEO,SRA982536,11,2019,Makar,B1_E3,B1_E3,B1_E3,HEK293T,BRSK1,GSM4131432
SRR10315774,26865251,8059575300,150,2344,SRX7026828,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547268,SAMN13066796,simple,9606,Homo sapiens,GSM4131433,GEO,SRA982536,11,2019,Makar,B2_E1,B2_E1,B2_E1,HEK293T,BRSK2,GSM4131433
SRR10315775,30291758,9087527400,150,2674,SRX7026829,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547269,SAMN13066795,simple,9606,Homo sapiens,GSM4131434,GEO,SRA982536,11,2019,Makar,B2_E2,B2_E2,B2_E2,HEK293T,BRSK2,GSM4131434
SRR10315776,25108003,7532400900,150,2196,SRX7026830,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547270,SAMN13066794,simple,9606,Homo sapiens,GSM4131435,GEO,SRA982536,11,2019,Makar,B2_E3,B2_E3,B2_E3,HEK293T,BRSK2,GSM4131435
SRR10315777,26086205,7825861500,150,2283,SRX7026831,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547271,SAMN13066793,simple,9606,Homo sapiens,GSM4131436,GEO,SRA982536,11,2019,Makar,Mock_E2,Mock_E2,Mock_E2,HEK293T,Mock,GSM4131436
SRR10315778,26519959,7955987700,150,2358,SRX7026832,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547272,SAMN13066792,simple,9606,Homo sapiens,GSM4131437,GEO,SRA982536,11,2019,Makar,Mock_E3,Mock_E3,Mock_E3,HEK293T,Mock,GSM4131437
SRR10315779,28731117,8619335100,150,2543,SRX7026833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547273,SAMN13066791,simple,9606,Homo sapiens,GSM4131438,GEO,SRA982536,11,2019,Makar,RED_E1,RED_E1,RED_E1,HEK293T,hcRED,GSM4131438
SRR10315780,28409454,8522836200,150,2517,SRX7026834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP226409,PRJNA578614,1,"",SRS5547274,SAMN13066790,simple,9606,Homo sapiens,GSM4131439,GEO,SRA982536,11,2019,Makar,RED_E3,RED_E3,RED_E3,HEK293T,hcRED,GSM4131439
