Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,cell type,treatment,GEO Accession
SRR4436398,87202504,6540187800,75,2133,SRX2255510,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754946,SAMN05931400,simple,10090,Mus musculus,GSM2357212,GEO,SRA486116,01,2017,Sugiyama,"RF8, wild-type mouse embryonic stem cell line, LIF, RPF",WT RPF rep1,"RF8, wild-type mouse embryonic stem cell line, LIF, RPF",wild-type,mouse embryonic stem cell line,LIF,GSM2357212
SRR4436399,81188864,6089164800,75,1956,SRX2255511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754947,SAMN05931415,simple,10090,Mus musculus,GSM2357213,GEO,SRA486116,01,2017,Sugiyama,"RF8, wild-type mouse embryonic stem cell line, LIF, Total RNA",WT Total rep1,"RF8, wild-type mouse embryonic stem cell line, LIF, Total RNA",wild-type,mouse embryonic stem cell line,LIF,GSM2357213
SRR4436400,53133125,3984984375,75,1434,SRX2255512,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754949,SAMN05931414,simple,10090,Mus musculus,GSM2357214,GEO,SRA486116,01,2017,Sugiyama,"RF8, wild-type mouse embryonic stem cell line, LIF, RPF",WT RPF rep2,"RF8, wild-type mouse embryonic stem cell line, LIF, RPF",wild-type,mouse embryonic stem cell line,LIF,GSM2357214
SRR4436401,62684027,4701302025,75,1613,SRX2255513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754948,SAMN05931413,simple,10090,Mus musculus,GSM2357215,GEO,SRA486116,01,2017,Sugiyama,"RF8, wild-type mouse embryonic stem cell line, LIF, Total RNA",WT Total rep2,"RF8, wild-type mouse embryonic stem cell line, LIF, Total RNA",wild-type,mouse embryonic stem cell line,LIF,GSM2357215
SRR4436402,86677747,6500831025,75,2280,SRX2255514,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754950,SAMN05931403,simple,10090,Mus musculus,GSM2357216,GEO,SRA486116,01,2017,Sugiyama,"A7, Nat1 heterozygous mouse embryonic stem cell line, LIF, RPF",Nat1+/- A7 RPF rep1,"A7, Nat1 heterozygous mouse embryonic stem cell line, LIF, RPF",Nat1 heterozygous,mouse embryonic stem cell line,LIF,GSM2357216
SRR4436403,25290917,1896818775,75,656,SRX2255515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754951,SAMN05931402,simple,10090,Mus musculus,GSM2357217,GEO,SRA486116,01,2017,Sugiyama,"A7, Nat1 heterozygous mouse embryonic stem cell line, LIF, Total RNA",Nat1+/- A7 Total rep1,"A7, Nat1 heterozygous mouse embryonic stem cell line, LIF, Total RNA",Nat1 heterozygous,mouse embryonic stem cell line,LIF,GSM2357217
SRR4436404,58851807,4413885525,75,1530,SRX2255516,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754952,SAMN05931401,simple,10090,Mus musculus,GSM2357218,GEO,SRA486116,01,2017,Sugiyama,"B2, Nat1-null mouse embryonic stem cell line, LIF, RPF",Nat1-/- B2 RPF rep2,"B2, Nat1-null mouse embryonic stem cell line, LIF, RPF",Nat1-null,mouse embryonic stem cell line,LIF,GSM2357218
SRR4436405,30139863,2260489725,75,782,SRX2255517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754953,SAMN05931412,simple,10090,Mus musculus,GSM2357219,GEO,SRA486116,01,2017,Sugiyama,"B2, Nat1-null mouse embryonic stem cell line, LIF, Total RNA",Nat1-/- B2 Total rep2,"B2, Nat1-null mouse embryonic stem cell line, LIF, Total RNA",Nat1-null,mouse embryonic stem cell line,LIF,GSM2357219
SRR4436406,61906329,4642974675,75,1619,SRX2255518,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754954,SAMN05931411,simple,10090,Mus musculus,GSM2357220,GEO,SRA486116,01,2017,Sugiyama,"B4, Nat1 heterozygous mouse embryonic stem cell line, LIF, RPF",Nat1+/- B4 RPF rep2,"B4, Nat1 heterozygous mouse embryonic stem cell line, LIF, RPF",Nat1 heterozygous,mouse embryonic stem cell line,LIF,GSM2357220
SRR4436407,28328729,2124654675,75,746,SRX2255519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP091889,PRJNA349752,28003464,"",SRS1754955,SAMN05931410,simple,10090,Mus musculus,GSM2357221,GEO,SRA486116,01,2017,Sugiyama,"B4, Nat1 heterozygous mouse embryonic stem cell line, LIF, Total RNA",Nat1+/- B4 Total rep2,"B4, Nat1 heterozygous mouse embryonic stem cell line, LIF, Total RNA",Nat1 heterozygous,mouse embryonic stem cell line,LIF,GSM2357221
