Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,growth condition,replicate,rna source,sample name,Experimental Factor: compound,Experimental Factor: growth condition,Experimental Factor: RNA source
ERR1994959,26425976,1321298800,50,550,ERX2054828,wt.N.CHX.mrna.1_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023328,PRJEB21099,1,"",ERS1770603,SAMEA104106710,simple,4896,Schizosaccharomyces pombe,SAMEA104106710,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.N.CHX.mrna.1,2017-09-05,2017-05-31,SAMEA104106710,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.N.CHX.mrna.1,ArrayExpress,fission yeast,Nitrogen source,1,Ribosome-depleted RNA,E-MTAB-5794:wt.N.CHX.mrna.1,Cycloheximide,Nitrogen source,Ribosome-depleted RNA
ERR1994960,36240950,1812047500,50,733,ERX2054829,wt.N.CHX.mrna.3_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023328,PRJEB21099,1,"",ERS1770604,SAMEA104106711,simple,4896,Schizosaccharomyces pombe,SAMEA104106711,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.N.CHX.mrna.3,2017-09-05,2017-05-31,SAMEA104106711,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.N.CHX.mrna.3,ArrayExpress,fission yeast,Nitrogen source,2,Ribosome-depleted RNA,E-MTAB-5794:wt.N.CHX.mrna.3,Mock,Nitrogen source,Ribosome-depleted RNA
ERR1994961,63059496,3152974800,50,1347,ERX2054830,wt.N.CHX.ribo.1_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP023328,PRJEB21099,1,"",ERS1770605,SAMEA104106712,simple,4896,Schizosaccharomyces pombe,SAMEA104106712,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.N.CHX.ribo.1,2017-09-05,2017-05-31,SAMEA104106712,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.N.CHX.ribo.1,ArrayExpress,fission yeast,Nitrogen source,1,Ribosome protected fragments (RPF),E-MTAB-5794:wt.N.CHX.ribo.1,Cycloheximide,Nitrogen source,Ribosome protected fragments (RPF)
ERR1994962,26742065,1337103250,50,408,ERX2054831,wt.N.CHX.ribo.3_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023328,PRJEB21099,1,"",ERS1770606,SAMEA104106713,simple,4896,Schizosaccharomyces pombe,SAMEA104106713,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.N.CHX.ribo.3,2017-09-05,2017-05-31,SAMEA104106713,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.N.CHX.ribo.3,ArrayExpress,fission yeast,Nitrogen source,2,Ribosome protected fragments (RPF),E-MTAB-5794:wt.N.CHX.ribo.3,Mock,Nitrogen source,Ribosome protected fragments (RPF)
ERR1994963,16170457,808522850,50,334,ERX2054832,wt.N.noCHX.mrna.1_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023328,PRJEB21099,1,"",ERS1770607,SAMEA104106714,simple,4896,Schizosaccharomyces pombe,SAMEA104106714,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.N.noCHX.mrna.1,2017-09-05,2017-05-31,SAMEA104106714,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.N.noCHX.mrna.1,ArrayExpress,fission yeast,Nitrogen source,1,Ribosome-depleted RNA,E-MTAB-5794:wt.N.noCHX.mrna.1,Cycloheximide,Nitrogen source,Ribosome-depleted RNA
ERR1994964,23972947,1198647350,50,486,ERX2054833,wt.N.noCHX.mrna.3_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023328,PRJEB21099,1,"",ERS1770608,SAMEA104106715,simple,4896,Schizosaccharomyces pombe,SAMEA104106715,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.N.noCHX.mrna.3,2017-09-05,2017-05-31,SAMEA104106715,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.N.noCHX.mrna.3,ArrayExpress,fission yeast,Nitrogen source,2,Ribosome-depleted RNA,E-MTAB-5794:wt.N.noCHX.mrna.3,Mock,Nitrogen source,Ribosome-depleted RNA
ERR1994965,40531552,2026577600,50,773,ERX2054834,wt.N.noCHX.ribo.1_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023328,PRJEB21099,1,"",ERS1770609,SAMEA104106716,simple,4896,Schizosaccharomyces pombe,SAMEA104106716,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.N.noCHX.ribo.1,2017-09-05,2017-05-31,SAMEA104106716,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.N.noCHX.ribo.1,ArrayExpress,fission yeast,Nitrogen source,1,Ribosome protected fragments (RPF),E-MTAB-5794:wt.N.noCHX.ribo.1,Cycloheximide,Nitrogen source,Ribosome protected fragments (RPF)
ERR1994966,32968604,1648430200,50,491,ERX2054835,wt.N.noCHX.ribo.3_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023328,PRJEB21099,1,"",ERS1770610,SAMEA104106717,simple,4896,Schizosaccharomyces pombe,SAMEA104106717,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.N.noCHX.ribo.3,2017-09-05,2017-05-31,SAMEA104106717,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.N.noCHX.ribo.3,ArrayExpress,fission yeast,Nitrogen source,2,Ribosome protected fragments (RPF),E-MTAB-5794:wt.N.noCHX.ribo.3,Mock,Nitrogen source,Ribosome protected fragments (RPF)
ERR1994967,21546857,1077342850,50,444,ERX2054836,wt.noN.CHX.mrna.1_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023328,PRJEB21099,1,"",ERS1770611,SAMEA104106718,simple,4896,Schizosaccharomyces pombe,SAMEA104106718,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.noN.CHX.mrna.1,2017-09-05,2017-05-31,SAMEA104106718,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.noN.CHX.mrna.1,ArrayExpress,fission yeast,No nitrogen source,1,Ribosome-depleted RNA,E-MTAB-5794:wt.noN.CHX.mrna.1,Cycloheximide,No nitrogen source,Ribosome-depleted RNA
ERR1994968,33734733,1686736650,50,681,ERX2054837,wt.noN.CHX.mrna.3_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP023328,PRJEB21099,1,"",ERS1770612,SAMEA104106719,simple,4896,Schizosaccharomyces pombe,SAMEA104106719,Department of Biochemistry University of Cambridge UK,ERA947782,09,2017,Makar,"",wt.noN.CHX.mrna.3,2017-09-05,2017-05-31,SAMEA104106719,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2017-09-05T17:02:08Z,2017-05-31T11:00:40Z,public,E-MTAB-5794:wt.noN.CHX.mrna.3,ArrayExpress,fission yeast,No nitrogen source,2,Ribosome-depleted RNA,E-MTAB-5794:wt.noN.CHX.mrna.3,Mock,No nitrogen source,Ribosome-depleted RNA
