Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,sample type,GEO Accession
SRR10951039,18283953,5485185900,150,2009,SRX7618010,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP243905,PRJNA602676,32116123,"",SRS6050614,SAMN13901195,simple,10090,Mus musculus,GSM4279080,GEO,SRA1029962,05,2020,Herdt,EL4 WT,WT_B37_1,EL4 WT,EL4,WT,input,GSM4279080
SRR10951040,17758697,5327609100,150,1956,SRX7618011,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP243905,PRJNA602676,32116123,"",SRS6050615,SAMN13901194,simple,10090,Mus musculus,GSM4279081,GEO,SRA1029962,05,2020,Herdt,EL4 WT,WT_B37_2,EL4 WT,EL4,WT,input,GSM4279081
SRR10951041,18070324,5421097200,150,1980,SRX7618012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP243905,PRJNA602676,32116123,"",SRS6050616,SAMN13901193,simple,10090,Mus musculus,GSM4279082,GEO,SRA1029962,05,2020,Herdt,EL4 +U2af26DE7,D7_B36_1,EL4 +U2af26DE7,EL4,U2af26DE7,input,GSM4279082
SRR10951042,18200715,5460214500,150,2004,SRX7618013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP243905,PRJNA602676,32116123,"",SRS6050618,SAMN13901192,simple,10090,Mus musculus,GSM4279083,GEO,SRA1029962,05,2020,Herdt,EL4 +U2af26DE7,D7_B36_2,EL4 +U2af26DE7,EL4,U2af26DE7,input,GSM4279083
SRR10951043,59476683,2973834150,50,932,SRX7618014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP243905,PRJNA602676,32116123,"",SRS6050617,SAMN13901191,simple,10090,Mus musculus,GSM4279084,GEO,SRA1029962,05,2020,Herdt,EL4 WT,R1,EL4 WT,EL4,WT,ribo-seq,GSM4279084
SRR10951044,91924543,4596227150,50,1430,SRX7618015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP243905,PRJNA602676,32116123,"",SRS6050619,SAMN13901190,simple,10090,Mus musculus,GSM4279085,GEO,SRA1029962,05,2020,Herdt,EL4 WT,R2,EL4 WT,EL4,WT,ribo-seq,GSM4279085
SRR10951045,65466097,3273304850,50,1022,SRX7618016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP243905,PRJNA602676,32116123,"",SRS6050620,SAMN13901189,simple,10090,Mus musculus,GSM4279086,GEO,SRA1029962,05,2020,Herdt,EL4 WT,R3,EL4 WT,EL4,WT,ribo-seq,GSM4279086
SRR10951046,95840852,4792042600,50,1523,SRX7618017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP243905,PRJNA602676,32116123,"",SRS6050621,SAMN13901188,simple,10090,Mus musculus,GSM4279087,GEO,SRA1029962,05,2020,Herdt,EL4 +U2af26DE7,D7_R1,EL4 +U2af26DE7,EL4,U2af26DE7,ribo-seq,GSM4279087
SRR10951047,73535762,3676788100,50,1141,SRX7618018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP243905,PRJNA602676,32116123,"",SRS6050622,SAMN13901187,simple,10090,Mus musculus,GSM4279088,GEO,SRA1029962,05,2020,Herdt,EL4 +U2af26DE7,D7_R2,EL4 +U2af26DE7,EL4,U2af26DE7,ribo-seq,GSM4279088
SRR10951048,115990422,5799521100,50,1772,SRX7618019,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP243905,PRJNA602676,32116123,"",SRS6050623,SAMN13901186,simple,10090,Mus musculus,GSM4279089,GEO,SRA1029962,05,2020,Herdt,EL4 +U2af26DE7,D7_R3,EL4 +U2af26DE7,EL4,U2af26DE7,ribo-seq,GSM4279089
