Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,biomaterial_provider,sex,tissue,growth_protocol,BioSampleModel
SRR1258470,13803030,1394106030,101,751,SRX523333,WT RNA-Seq 1,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041349,PRJNA245106,1,"",SRS595495,SAMN02731085,simple,4932,Saccharomyces cerevisiae,RNA-seq Wild-type 1,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae RNA-Seq Wild-type 1,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
SRR1258533,15855618,1601417418,101,862,SRX523391,upf1 RNA-Seq 1,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041349,PRJNA245106,1,"",SRS595545,SAMN02731559,simple,4932,Saccharomyces cerevisiae,RNA-seq upf1,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae RNA-seq upf1,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
SRR1258535,31342788,3165621588,101,1950,SRX523392,WT Polysome-Seq 1,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041349,PRJNA245106,1,"",SRS595546,SAMN02731569,simple,4932,Saccharomyces cerevisiae,Polysome-seq WT,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae Polysome-seq Wild-type,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
SRR1258537,25964168,2622380968,101,1611,SRX523393,upf1 Polysome-Seq 1,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041349,PRJNA245106,1,"",SRS595547,SAMN02731564,simple,4932,Saccharomyces cerevisiae,Polysome-seq upf1,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae Polysome-seq upf1,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
SRR1258471,31213437,3152557137,101,1941,SRX523425,WT RNA-Seq 2,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041349,PRJNA245106,1,"",SRS595495,SAMN02731085,simple,4932,Saccharomyces cerevisiae,RNA-seq Wild-type 1,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae RNA-Seq Wild-type 1,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
SRR1258534,31154574,3146611974,101,1933,SRX523426,upf1 RNA-Seq 2,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041349,PRJNA245106,1,"",SRS595545,SAMN02731559,simple,4932,Saccharomyces cerevisiae,RNA-seq upf1,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae RNA-seq upf1,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
SRR1258536,33619004,3395519404,101,2083,SRX523427,WT Polysome-Seq 2,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041349,PRJNA245106,1,"",SRS595546,SAMN02731569,simple,4932,Saccharomyces cerevisiae,Polysome-seq WT,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae Polysome-seq Wild-type,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
SRR1258538,25784511,2604235611,101,1600,SRX523428,upf1 Polysome-Seq 2,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041349,PRJNA245106,1,"",SRS595547,SAMN02731564,simple,4932,Saccharomyces cerevisiae,Polysome-seq upf1,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae Polysome-seq upf1,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
SRR1258539,28404464,1448627664,51,798,SRX523430,WT Ribosome Profiling 1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041349,PRJNA245106,1,"",SRS595580,SAMN02731565,simple,4932,Saccharomyces cerevisiae,Ribosome profiling Wild-type,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae Ribosome profiling Wild-type,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
SRR1258540,22793695,1162478445,51,635,SRX523431,WT Ribosome Profiling 2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP041349,PRJNA245106,1,"",SRS595580,SAMN02731565,simple,4932,Saccharomyces cerevisiae,Ribosome profiling Wild-type,Center for RNA Molecular Biology,SRA170837,06,2014,Makar,"",Saccharomyces cerevisiae Ribosome profiling Wild-type,BY4741,Mid-log phase growth,EUROSCARF,not determined,Liquid culture,Synthetic dextrose media at 30 degrees Celcius,Model organism or animal
