Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,time,tissue,genotype,geo_loc_name,collection_date
SRR23021511,44289504,3321712800,75,1208,SRX18977096,GSM6923077,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399482,SAMN32641047,simple,10090,Mus musculus,GSM6923077,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael+/- RNA, rep1",Testis,C57BL/6,P16,Testis,Mael+/-,missing,missing
SRR23021510,49921285,3744096375,75,1354,SRX18977097,GSM6923078,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399483,SAMN32641046,simple,10090,Mus musculus,GSM6923078,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael+/- RNA, rep2",Testis,C57BL/6,P16,Testis,Mael+/-,missing,missing
SRR23021509,49460248,3709518600,75,1337,SRX18977098,GSM6923079,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399484,SAMN32641045,simple,10090,Mus musculus,GSM6923079,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael+/- RNA, rep3",Testis,C57BL/6,P16,Testis,Mael+/-,missing,missing
SRR23021508,26880090,2016006750,75,757,SRX18977099,GSM6923080,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399485,SAMN32641044,simple,10090,Mus musculus,GSM6923080,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael-/- RNA, rep1",Testis,C57BL/6,P16,Testis,Mael-/-,missing,missing
SRR23021507,40747795,3056084625,75,1110,SRX18977100,GSM6923081,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399486,SAMN32641043,simple,10090,Mus musculus,GSM6923081,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael-/- RNA, rep2",Testis,C57BL/6,P16,Testis,Mael-/-,missing,missing
SRR23021506,54426861,4082014575,75,1498,SRX18977101,GSM6923082,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399487,SAMN32641042,simple,10090,Mus musculus,GSM6923082,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael-/- RNA, rep3",Testis,C57BL/6,P16,Testis,Mael-/-,missing,missing
SRR23021505,50446521,3783489075,75,1436,SRX18977102,GSM6923083,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399488,SAMN32641041,simple,10090,Mus musculus,GSM6923083,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael+/- ribofootprint, rep1",Testis,C57BL/6,P16,Testis,Mael+/-,missing,missing
SRR23021504,61225059,4591879425,75,1786,SRX18977103,GSM6923084,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399489,SAMN32641040,simple,10090,Mus musculus,GSM6923084,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael+/- ribofootprint, rep2",Testis,C57BL/6,P16,Testis,Mael+/-,missing,missing
SRR23021503,68263348,5119751100,75,1953,SRX18977104,GSM6923085,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399490,SAMN32641039,simple,10090,Mus musculus,GSM6923085,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael+/- ribofootprint, rep3",Testis,C57BL/6,P16,Testis,Mael+/-,missing,missing
SRR23021502,72205143,5415385725,75,2060,SRX18977105,GSM6923086,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416568,PRJNA922045,37307272,"",SRS16399491,SAMN32641038,simple,10090,Mus musculus,GSM6923086,"Embryology, Carnegie Institution for Science",SRA1571251,05,2023,De,Testis,"Mael-/- ribofootprint, rep1",Testis,C57BL/6,P16,Testis,Mael-/-,missing,missing
