Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,age,diet,tissue,GEO Accession
SRR10135852,53040052,8013123205,75,2945,SRX6863949,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401602,SAMN12777751,simple,10090,Mus musculus,GSM4083436,GEO,SRA963863,04,2020,Jais,CD_hypothalamus_input,CD1_Input,CD_hypothalamus_input,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,control diet (CD) for 3 days,Hypothalamus,GSM4083436
SRR10135853,44171171,6673509107,75,2492,SRX6863950,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401603,SAMN12777750,simple,10090,Mus musculus,GSM4083437,GEO,SRA963863,04,2020,Jais,CD_hypothalamus_IP-GFP,CD1_IP-GFP,CD_hypothalamus_IP-GFP,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,control diet (CD) for 3 days,Hypothalamus,GSM4083437
SRR10135854,48917391,7389594518,75,2725,SRX6863951,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401604,SAMN12777749,simple,10090,Mus musculus,GSM4083438,GEO,SRA963863,04,2020,Jais,CD_hypothalamus_input,CD2_Input,CD_hypothalamus_input,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,control diet (CD) for 3 days,Hypothalamus,GSM4083438
SRR10135855,52036473,7861984500,75,2961,SRX6863952,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401605,SAMN12777748,simple,10090,Mus musculus,GSM4083439,GEO,SRA963863,04,2020,Jais,CD_hypothalamus_IP-GFP,CD2_IP-GFP,CD_hypothalamus_IP-GFP,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,control diet (CD) for 3 days,Hypothalamus,GSM4083439
SRR10135856,46845874,7077660847,75,2613,SRX6863953,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401606,SAMN12777747,simple,10090,Mus musculus,GSM4083440,GEO,SRA963863,04,2020,Jais,CD_hypothalamus_input,CD3_Input,CD_hypothalamus_input,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,control diet (CD) for 3 days,Hypothalamus,GSM4083440
SRR10135857,44966650,6793408855,75,2537,SRX6863954,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401607,SAMN12777746,simple,10090,Mus musculus,GSM4083441,GEO,SRA963863,04,2020,Jais,CD_hypothalamus_IP-GFP,CD3_IP-GFP,CD_hypothalamus_IP-GFP,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,control diet (CD) for 3 days,Hypothalamus,GSM4083441
SRR10135858,49809743,7525416980,75,2769,SRX6863955,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401608,SAMN12777745,simple,10090,Mus musculus,GSM4083443,GEO,SRA963863,04,2020,Jais,CD_hypothalamus_input,CD4_Input,CD_hypothalamus_input,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,control diet (CD) for 3 days,Hypothalamus,GSM4083443
SRR10135859,48371687,7307237451,75,2726,SRX6863956,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401609,SAMN12777744,simple,10090,Mus musculus,GSM4083446,GEO,SRA963863,04,2020,Jais,CD_hypothalamus_IP-GFP,CD4_IP-GFP,CD_hypothalamus_IP-GFP,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,control diet (CD) for 3 days,Hypothalamus,GSM4083446
SRR10135860,49835538,7529144305,75,2782,SRX6863957,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401610,SAMN12777743,simple,10090,Mus musculus,GSM4083448,GEO,SRA963863,04,2020,Jais,HFD_hypothalamus_input,HFD1_Input,HFD_hypothalamus_input,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,high-fat diet (HFD) for 3 days,Hypothalamus,GSM4083448
SRR10135861,46321225,6998366127,75,2627,SRX6863958,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401611,SAMN12777742,simple,10090,Mus musculus,GSM4083451,GEO,SRA963863,04,2020,Jais,HFD_hypothalamus_IP-GFP,HFD1_IP-GFP,HFD_hypothalamus_IP-GFP,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,high-fat diet (HFD) for 3 days,Hypothalamus,GSM4083451
SRR10135862,48859600,7381091165,75,2733,SRX6863959,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401612,SAMN12777741,simple,10090,Mus musculus,GSM4083454,GEO,SRA963863,04,2020,Jais,HFD_hypothalamus_input,HFD2_Input,HFD_hypothalamus_input,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,high-fat diet (HFD) for 3 days,Hypothalamus,GSM4083454
SRR10135863,48462134,7322251720,75,2845,SRX6863960,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401613,SAMN12777740,simple,10090,Mus musculus,GSM4083456,GEO,SRA963863,04,2020,Jais,HFD_hypothalamus_IP-GFP,HFD2_IP-GFP,HFD_hypothalamus_IP-GFP,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,high-fat diet (HFD) for 3 days,Hypothalamus,GSM4083456
SRR10135864,52524184,7935782142,75,2938,SRX6863961,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401614,SAMN12777739,simple,10090,Mus musculus,GSM4083459,GEO,SRA963863,04,2020,Jais,HFD_hypothalamus_input,HFD3_Input,HFD_hypothalamus_input,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,high-fat diet (HFD) for 3 days,Hypothalamus,GSM4083459
SRR10135865,47000744,7101013781,75,2669,SRX6863962,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP222256,PRJNA566097,32302532,"",SRS5401615,SAMN12777738,simple,10090,Mus musculus,GSM4083461,GEO,SRA963863,04,2020,Jais,HFD_hypothalamus_IP-GFP,HFD3_IP-GFP,HFD_hypothalamus_IP-GFP,C57BL/6N,PNOC-L10a-EGFP,10-12 weeks,high-fat diet (HFD) for 3 days,Hypothalamus,GSM4083461
