Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,sample type,treatment,GEO Accession
SRR403882,22153049,886121960,40,522,SRX118285,"GSM869036: mRNA-seq for vehicle treated PC3 cells, replicate #1.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290854,SAMN00779917,simple,9606,Homo sapiens,GSM869036,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"mRNA-seq for vehicle treated PC3 cells, replicate #1.",PC3 human prostate cancer cells,PC3,polyA RNA,vehicle,GSM869036
SRR403883,20762604,830504160,40,519,SRX118286,"GSM869037: Footprint for vehicle treated PC3 cells, replicate #1.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290855,SAMN00779918,simple,9606,Homo sapiens,GSM869037,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"Footprint for vehicle treated PC3 cells, replicate #1.",PC3 human prostate cancer cells,PC3,ribosome protected RNA,vehicle,GSM869037
SRR403884,21878806,875152240,40,418,SRX118287,"GSM869038: mRNA-seq for rapamcyin treated PC3 cells, replicate #1.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290856,SAMN00779919,simple,9606,Homo sapiens,GSM869038,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"mRNA-seq for rapamycin treated PC3 cells, replicate #1.",PC3 human prostate cancer cells,PC3,polyA RNA,rapamycin,GSM869038
SRR403885,19742795,789711800,40,472,SRX118288,"GSM869039: Footprint for rapamcyin treated PC3 cells, replicate #1.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290857,SAMN00779920,simple,9606,Homo sapiens,GSM869039,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"Footprint for rapamycin treated PC3 cells, replicate #1.",PC3 human prostate cancer cells,PC3,ribosome protected RNA,rapamycin,GSM869039
SRR403886,19655874,786234960,40,449,SRX118289,"GSM869040: mRNA-seq for PP242 treated PC3 cells, replicate #1.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290858,SAMN00779921,simple,9606,Homo sapiens,GSM869040,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"mRNA-seq for PP242 treated PC3 cells, replicate #1.",PC3 human prostate cancer cells,PC3,polyA RNA,PP242,GSM869040
SRR403887,19706845,788273800,40,466,SRX118290,"GSM869041: Footprint for PP242 treated PC3 cells, replicate #1.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290859,SAMN00779922,simple,9606,Homo sapiens,GSM869041,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"Footprint for PP242 treated PC3 cells, replicate #1.",PC3 human prostate cancer cells,PC3,ribosome protected RNA,PP242,GSM869041
SRR403888,24475790,979031600,40,643,SRX118291,"GSM869042: mRNA-seq for vehicle treated PC3 cells, replicate #2.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290860,SAMN00779923,simple,9606,Homo sapiens,GSM869042,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"mRNA-seq for vehicle treated PC3 cells, replicate #2.",PC3 human prostate cancer cells,PC3,polyA RNA,vehicle,GSM869042
SRR403889,24397948,975917920,40,646,SRX118292,"GSM869043: Footprint for vehicle treated PC3 cells, replicate #2.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290861,SAMN00779924,simple,9606,Homo sapiens,GSM869043,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"Footprint for vehicle treated PC3 cells, replicate #2.",PC3 human prostate cancer cells,PC3,ribosome protected RNA,vehicle,GSM869043
SRR403890,19117463,764698520,40,542,SRX118293,"GSM869044: mRNA-seq for rapamcyin treated PC3 cells, replicate #2.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290862,SAMN00779925,simple,9606,Homo sapiens,GSM869044,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"mRNA-seq for rapamycin treated PC3 cells, replicate #2.",PC3 human prostate cancer cells,PC3,polyA RNA,rapamycin,GSM869044
SRR403891,25445068,1017802720,40,637,SRX118294,"GSM869045: Footprint for rapamcyin treated PC3 cells, replicate #2.",RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP010679,PRJNA152347,22367541,"",SRS290863,SAMN00779926,simple,9606,Homo sapiens,GSM869045,GEO,SRA049772,02,2012,Hsieh,PC3 human prostate cancer cells,"Footprint for rapamycin treated PC3 cells, replicate #2.",PC3 human prostate cancer cells,PC3,ribosome protected RNA,rapamycin,GSM869045
