Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,cell type,genotype,tumor,GEO Accession
SRR4341165,91246839,13585170851,74,5994,SRX2208275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725635,SAMN05859820,simple,10090,Mus musculus,GSM2334709,GEO,SRA481714,10,2016,Wang,hepatocyte,WT hepatocyte rep1,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334709
SRR4341166,87522843,13024983577,74,5783,SRX2208276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725637,SAMN05859821,simple,10090,Mus musculus,GSM2334710,GEO,SRA481714,10,2016,Wang,hepatocyte,WT hepatocyte rep2,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334710
SRR4341167,58361868,8679004894,74,3826,SRX2208277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725639,SAMN05859812,simple,10090,Mus musculus,GSM2334711,GEO,SRA481714,10,2016,Wang,hepatocyte,WT hepatocyte rep3,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334711
SRR4341168,59384615,8840904068,74,3913,SRX2208278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725636,SAMN05859811,simple,10090,Mus musculus,GSM2334712,GEO,SRA481714,10,2016,Wang,hepatocyte,WT hepatocyte rep4,hepatocyte,B6.129S6-Myctm2Fwa,Liver,hepatocyte,WT,,GSM2334712
SRR4341169,61195725,9108513033,74,4019,SRX2208279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725638,SAMN05859810,simple,10090,Mus musculus,GSM2334713,GEO,SRA481714,10,2016,Wang,hepatocyte,KO heptatocyte rep1,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334713
SRR4341170,74538526,11082581109,74,4905,SRX2208280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725640,SAMN05859809,simple,10090,Mus musculus,GSM2334714,GEO,SRA481714,10,2016,Wang,hepatocyte,KO heptatocyte rep2,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334714
SRR4341171,76785712,11431097790,74,5007,SRX2208281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725641,SAMN05859819,simple,10090,Mus musculus,GSM2334715,GEO,SRA481714,10,2016,Wang,hepatocyte,KO heptatocyte rep3,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334715
SRR4341172,43984192,6543254193,74,2895,SRX2208282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725643,SAMN05859818,simple,10090,Mus musculus,GSM2334716,GEO,SRA481714,10,2016,Wang,hepatocyte,KO heptatocyte rep4,hepatocyte,B6.129S6-Myctm2FwaXB6.Cg-Tg(Alb-cre),Liver,hepatocyte,Myc-/-,,GSM2334716
SRR4341173,9805315,730268539,74,273,SRX2208283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725642,SAMN05859817,simple,10090,Mus musculus,GSM2334717,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep1,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334717
SRR4341174,9602384,715167354,74,267,SRX2208283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725642,SAMN05859817,simple,10090,Mus musculus,GSM2334717,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep1,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334718
SRR4341175,10262576,764320404,74,280,SRX2208283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP090770,PRJNA345228,27738108,"",SRS1725642,SAMN05859817,simple,10090,Mus musculus,GSM2334717,GEO,SRA481714,10,2016,Wang,Hepatoblastoma Tumor,WT Hepatoblastoma rep1,Hepatoblastoma Tumor,B6.129S6-Myctm2Fwa,Liver,,WT,hepatoblastoma,GSM2334719
