Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,GEO Accession
SRR4175335,10632580,808076080,76,341,SRX2140574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672497,SAMN05730947,simple,4932,Saccharomyces cerevisiae,GSM2303098,GEO,SRA462991,09,2016,Dörfel,△yNaa10,mRNA_△yNaa10,△yNaa10,W303,delta_yNaa10,GSM2303098
SRR4175336,10385048,789263648,76,335,SRX2140574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672497,SAMN05730947,simple,4932,Saccharomyces cerevisiae,GSM2303098,GEO,SRA462991,09,2016,Dörfel,△yNaa10,mRNA_△yNaa10,WT,W303,WT,GSM2303099
SRR4175337,11051281,839897356,76,348,SRX2140574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672497,SAMN05730947,simple,4932,Saccharomyces cerevisiae,GSM2303098,GEO,SRA462991,09,2016,Dörfel,△yNaa10,mRNA_△yNaa10,△yNaa10::hNaa10/△yNaa15::hNaa15,W303,delta_yNaa10::hNaa10/delta_yNaa15::hNaa15,GSM2303100
SRR4175338,10634631,808231956,76,336,SRX2140574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672497,SAMN05730947,simple,4932,Saccharomyces cerevisiae,GSM2303098,GEO,SRA462991,09,2016,Dörfel,△yNaa10,mRNA_△yNaa10,△yNaa10,W303,delta_yNaa10,GSM2303101
SRR4175339,13647904,1037240704,76,431,SRX2140575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672498,SAMN05730955,simple,4932,Saccharomyces cerevisiae,GSM2303099,GEO,SRA462991,09,2016,Dörfel,WT,mRNA_WT,WT,W303,WT,GSM2303102
SRR4175340,13375076,1016505776,76,424,SRX2140575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672498,SAMN05730955,simple,4932,Saccharomyces cerevisiae,GSM2303099,GEO,SRA462991,09,2016,Dörfel,WT,mRNA_WT,△yNaa10::hNaa10/△yNaa15::hNaa15,W303,delta_yNaa10::hNaa10/delta_yNaa15::hNaa15,GSM2303103
SRR4175341,14183460,1077942960,76,439,SRX2140575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672498,SAMN05730955,simple,4932,Saccharomyces cerevisiae,GSM2303099,GEO,SRA462991,09,2016,Dörfel,WT,mRNA_WT,△yNaa10,W303,delta_yNaa10,GSM2303098
SRR4175342,13730535,1043520660,76,428,SRX2140575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672498,SAMN05730955,simple,4932,Saccharomyces cerevisiae,GSM2303099,GEO,SRA462991,09,2016,Dörfel,WT,mRNA_WT,WT,W303,WT,GSM2303099
SRR4175343,10949044,832127344,76,349,SRX2140576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672499,SAMN05730969,simple,4932,Saccharomyces cerevisiae,GSM2303100,GEO,SRA462991,09,2016,Dörfel,△yNaa10::hNaa10/△yNaa15::hNaa15,mRNA_△yNaa10::hNaa10/△yNaa15::hNaa15,△yNaa10::hNaa10/△yNaa15::hNaa15,W303,delta_yNaa10::hNaa10/delta_yNaa15::hNaa15,GSM2303100
SRR4175344,10724366,815051816,76,344,SRX2140576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672499,SAMN05730969,simple,4932,Saccharomyces cerevisiae,GSM2303100,GEO,SRA462991,09,2016,Dörfel,△yNaa10::hNaa10/△yNaa15::hNaa15,mRNA_△yNaa10::hNaa10/△yNaa15::hNaa15,△yNaa10,W303,delta_yNaa10,GSM2303101
SRR4175345,11395500,866058000,76,357,SRX2140576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672499,SAMN05730969,simple,4932,Saccharomyces cerevisiae,GSM2303100,GEO,SRA462991,09,2016,Dörfel,△yNaa10::hNaa10/△yNaa15::hNaa15,mRNA_△yNaa10::hNaa10/△yNaa15::hNaa15,WT,W303,WT,GSM2303102
SRR4175346,11024378,837852728,76,348,SRX2140576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672499,SAMN05730969,simple,4932,Saccharomyces cerevisiae,GSM2303100,GEO,SRA462991,09,2016,Dörfel,△yNaa10::hNaa10/△yNaa15::hNaa15,mRNA_△yNaa10::hNaa10/△yNaa15::hNaa15,△yNaa10::hNaa10/△yNaa15::hNaa15,W303,delta_yNaa10::hNaa10/delta_yNaa15::hNaa15,GSM2303103
SRR4175347,14212073,1080117548,76,442,SRX2140577,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672500,SAMN05730956,simple,4932,Saccharomyces cerevisiae,GSM2303101,GEO,SRA462991,09,2016,Dörfel,△yNaa10,RPF_△yNaa10,△yNaa10,W303,delta_yNaa10,GSM2303098
SRR4175348,14045325,1067444700,76,438,SRX2140577,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672500,SAMN05730956,simple,4932,Saccharomyces cerevisiae,GSM2303101,GEO,SRA462991,09,2016,Dörfel,△yNaa10,RPF_△yNaa10,WT,W303,WT,GSM2303099
SRR4175349,14695971,1116893796,76,448,SRX2140577,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672500,SAMN05730956,simple,4932,Saccharomyces cerevisiae,GSM2303101,GEO,SRA462991,09,2016,Dörfel,△yNaa10,RPF_△yNaa10,△yNaa10::hNaa10/△yNaa15::hNaa15,W303,delta_yNaa10::hNaa10/delta_yNaa15::hNaa15,GSM2303100
SRR4175350,14443489,1097705164,76,443,SRX2140577,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672500,SAMN05730956,simple,4932,Saccharomyces cerevisiae,GSM2303101,GEO,SRA462991,09,2016,Dörfel,△yNaa10,RPF_△yNaa10,△yNaa10,W303,delta_yNaa10,GSM2303101
SRR4175351,8615214,654756264,76,265,SRX2140578,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672501,SAMN05730958,simple,4932,Saccharomyces cerevisiae,GSM2303102,GEO,SRA462991,09,2016,Dörfel,WT,RPF_WT,WT,W303,WT,GSM2303102
SRR4175352,8559709,650537884,76,264,SRX2140578,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672501,SAMN05730958,simple,4932,Saccharomyces cerevisiae,GSM2303102,GEO,SRA462991,09,2016,Dörfel,WT,RPF_WT,△yNaa10::hNaa10/△yNaa15::hNaa15,W303,delta_yNaa10::hNaa10/delta_yNaa15::hNaa15,GSM2303103
SRR4175353,8913637,677436412,76,269,SRX2140578,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672501,SAMN05730958,simple,4932,Saccharomyces cerevisiae,GSM2303102,GEO,SRA462991,09,2016,Dörfel,WT,RPF_WT,△yNaa10,W303,delta_yNaa10,GSM2303098
SRR4175354,8806958,669328808,76,267,SRX2140578,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672501,SAMN05730958,simple,4932,Saccharomyces cerevisiae,GSM2303102,GEO,SRA462991,09,2016,Dörfel,WT,RPF_WT,WT,W303,WT,GSM2303099
SRR4175355,7576955,575848580,76,234,SRX2140579,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672502,SAMN05730957,simple,4932,Saccharomyces cerevisiae,GSM2303103,GEO,SRA462991,09,2016,Dörfel,△yNaa10::hNaa10/△yNaa15::hNaa15,RPF_△yNaa10::hNaa10/△yNaa15::hNaa15,△yNaa10::hNaa10/△yNaa15::hNaa15,W303,delta_yNaa10::hNaa10/delta_yNaa15::hNaa15,GSM2303100
SRR4175356,7457475,566768100,76,231,SRX2140579,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672502,SAMN05730957,simple,4932,Saccharomyces cerevisiae,GSM2303103,GEO,SRA462991,09,2016,Dörfel,△yNaa10::hNaa10/△yNaa15::hNaa15,RPF_△yNaa10::hNaa10/△yNaa15::hNaa15,△yNaa10,W303,delta_yNaa10,GSM2303101
SRR4175357,7878578,598771928,76,238,SRX2140579,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672502,SAMN05730957,simple,4932,Saccharomyces cerevisiae,GSM2303103,GEO,SRA462991,09,2016,Dörfel,△yNaa10::hNaa10/△yNaa15::hNaa15,RPF_△yNaa10::hNaa10/△yNaa15::hNaa15,WT,W303,WT,GSM2303102
SRR4175358,7725934,587170984,76,235,SRX2140579,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP086703,PRJNA342004,27668839,"",SRS1672502,SAMN05730957,simple,4932,Saccharomyces cerevisiae,GSM2303103,GEO,SRA462991,09,2016,Dörfel,△yNaa10::hNaa10/△yNaa15::hNaa15,RPF_△yNaa10::hNaa10/△yNaa15::hNaa15,△yNaa10::hNaa10/△yNaa15::hNaa15,W303,delta_yNaa10::hNaa10/delta_yNaa15::hNaa15,GSM2303103
