Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,strain,fraction,GEO Accession
SRR7091796,45126261,3362293691,74,1553,SRX4020690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241752,SAMN09010443,simple,10090,Mus musculus,GSM3124261,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG RNA-seq normal [normal input biosample1],Dorsal root ganglia (DRG),DRG,Normal,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA,GSM3124261
SRR7091797,25991394,1937224646,74,820,SRX4020691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241753,SAMN09010442,simple,10090,Mus musculus,GSM3124262,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG RNA-seq normal [normal input biosample2],Dorsal root ganglia (DRG),DRG,Normal,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA,GSM3124262
SRR7091798,40291507,1782142896,44,781,SRX4020692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241754,SAMN09010441,simple,10090,Mus musculus,GSM3124263,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG RNA-seq normal [normal input biosample3],Dorsal root ganglia (DRG),DRG,Normal,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA,GSM3124263
SRR7091799,22077456,981025512,44,474,SRX4020693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241755,SAMN09010440,simple,10090,Mus musculus,GSM3124264,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG RNA-seq normal [normal input biosample4],Dorsal root ganglia (DRG),DRG,Normal,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA,GSM3124264
SRR7091800,34259000,2544802590,74,1098,SRX4020694,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241757,SAMN09010439,simple,10090,Mus musculus,GSM3124265,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG trap normal [normal trap biosample1],Dorsal root ganglia (DRG),DRG / Scn10a +ve cells,Normal,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA associated with L10a + eGFP pulldown,GSM3124265
SRR7091801,40604683,3018541875,74,1295,SRX4020695,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241756,SAMN09010438,simple,10090,Mus musculus,GSM3124266,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG trap normal [normal trap biosample2],Dorsal root ganglia (DRG),DRG / Scn10a +ve cells,Normal,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA associated with L10a + eGFP pulldown,GSM3124266
SRR7091802,34542011,1513707294,43,681,SRX4020696,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241758,SAMN09010437,simple,10090,Mus musculus,GSM3124267,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG trap normal [normal trap biosample3],Dorsal root ganglia (DRG),DRG / Scn10a +ve cells,Normal,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA associated with L10a + eGFP pulldown,GSM3124267
SRR7091803,40111314,1772396155,44,845,SRX4020697,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241759,SAMN09010436,simple,10090,Mus musculus,GSM3124268,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG trap normal [normal trap biosample4],Dorsal root ganglia (DRG),DRG / Scn10a +ve cells,Normal,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA associated with L10a + eGFP pulldown,GSM3124268
SRR7091804,32816911,1455291672,44,689,SRX4020698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241760,SAMN09010435,simple,10090,Mus musculus,GSM3124269,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG RNA-seq cipn model [cipn input biosample5],Dorsal root ganglia (DRG),DRG,Paclitaxel treated,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA,GSM3124269
SRR7091805,40026611,1776269099,44,837,SRX4020699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144301,PRJNA454562,30459229,"",SRS3241761,SAMN09010434,simple,10090,Mus musculus,GSM3124270,GEO,SRA698466,08,2018,Megat,Dorsal root ganglia (DRG),DRG RNA-seq cipn model [cipn input biosample6],Dorsal root ganglia (DRG),DRG,Paclitaxel treated,Nav1.8cre mice on C57BL/6J background,rRNA depleted RNA,GSM3124270
