Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,dev_stage,sex,tissue,genotype,sample_type,used_oligo_set,BioSampleModel
SRR12381566,62294963,4049172595,65,1969,SRX8880240,org2_SET1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS7140290,SAMN15719505,simple,10090,Mus musculus,org2_SET1,Netherlands Cancer Institute,SRA1107443,12,2020,Makar,"",Ribo-seq with OligoSET1 on Organoid-2,C57BL/6,org2,Adult,male,intestinal organoids,VillinCre.ERT2.RPL22.HA,intestinal organoids,SET-1,Model organism or animal
SRR12381565,3633057,236148705,65,133,SRX8880241,org1_RiboCop,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS7140291,SAMN15719506,simple,10090,Mus musculus,org1_RiboCop,Netherlands Cancer Institute,SRA1107443,12,2020,Makar,"",Ribo-seq with RiboCop on Organoid-1,C57BL/6,org1,Adult,female,intestinal organoids,VillinCre.ERT2.RPL22.HA,intestinal organoids,RiboCop,Model organism or animal
SRR12381563,42612026,2769781690,65,1302,SRX8880242,mc7_w_SET3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS7140292,SAMN15719507,simple,10090,Mus musculus,mc7_w_SET3,Netherlands Cancer Institute,SRA1107443,12,2020,Makar,"",Ribo-seq with OligoSET3 on mice-7,C57BL/6,mc7,Adult,female,small intestine,Lgr5Cre.ERT2.Rptor.fl/fl.RPL22.HA,small intestine,SET-3,Model organism or animal
SRR12381564,33767697,2194900305,65,917,SRX8880243,mc8_w_SET3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS7140293,SAMN15719508,simple,10090,Mus musculus,mc8_w_SET3,Netherlands Cancer Institute,SRA1107443,12,2020,Makar,"",Ribo-seq with OligoSET3 on mice-8,C57BL/6,mc8,Adult,female,small intestine,Lgr5Cre.ERT2.Rptor.fl/fl.RPL22.HA,small intestine,SET-3,Model organism or animal
SRR12381562,24901892,1618622980,65,627,SRX8880244,mc9_w_RiboZero,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS7140294,SAMN15719509,simple,10090,Mus musculus,mc9_w_RiboZero,Netherlands Cancer Institute,SRA1107443,12,2020,Makar,"",Ribo-seq with RiboZero on mice-9,C57BL/6,mc9,Adult,female,small intestine,Lgr5Cre.ERT2.Rptor.fl/fl.RPL22.HA,small intestine,RiboZero,Model organism or animal
SRR12381561,19958828,1297323820,65,548,SRX8880245,mc10_w_RiboZero,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS7140295,SAMN15719510,simple,10090,Mus musculus,mc10_w_RiboZero,Netherlands Cancer Institute,SRA1107443,12,2020,Makar,"",Ribo-seq with RiboZero on mice-10,C57BL/6,mc10,Adult,male,small intestine,Lgr5Cre.ERT2.Rptor.fl/fl.RPL22.HA,small intestine,RiboZero,Model organism or animal
SRR12381560,25747510,1673588150,65,557,SRX8880246,mc11_w_RiboCop,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS7140296,SAMN15719511,simple,10090,Mus musculus,mc11_w_RiboCop,Netherlands Cancer Institute,SRA1107443,12,2020,Makar,"",Ribo-seq with RiboCop on mice-11,C57BL/6,mc11,Adult,female,small intestine,Lgr5Cre.ERT2.Rptor.fl/fl.RPL22.HA,small intestine,RiboCop,Model organism or animal
SRR12381559,29945301,1946444565,65,602,SRX8880247,mc12_w_RiboCop,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS7140297,SAMN15719512,simple,10090,Mus musculus,mc12_w_RiboCop,Netherlands Cancer Institute,SRA1107443,12,2020,Makar,"",Ribo-seq with RiboCop on mice-12,C57BL/6,mc12,Adult,male,small intestine,Lgr5Cre.ERT2.Rptor.fl/fl.RPL22.HA,small intestine,RiboCop,Model organism or animal
SRR10803857,65687098,4269661370,65,1964,SRX7477733,mc2_w_SET1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS5921346,SAMN13699219,simple,10090,Mus musculus,mc2_w_SET1,Netherlands Cancer Institute,SRA1017700,12,2020,Makar,"",Ribo-seq with  OligoSET1 on 3Mice-Combined S2,C57BL/6,mcS2,Mixed Adults,mixed,small intestine,Lgr5Cre.ERT2.RPL22.HA,small intestine,SET-1,Model organism or animal
SRR10803858,70365566,4573761790,65,2104,SRX7477734,mc3_w_SET1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239066,PRJNA598159,1,"",SRS5921347,SAMN13699220,simple,10090,Mus musculus,mc3_w_SET1,Netherlands Cancer Institute,SRA1017700,12,2020,Makar,"",Ribo-seq with OligoSET1  on 3Mice-Combined S3,C57BL/6,mcS3,Mixed Adults,mixed,small intestine,VillinCre.ERT2.RPL22.HA,small intestine,SET-1,Model organism or animal
