Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,organism,organism,ENA-LAST-UPDATE,growth condition,scientific_name,organism part,developmental stage,genotype,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Experimental Factor: genotype
ERR11169753,3573476,305065347,48,116,ERX10603280,wt-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849938,SAMEA112843329,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:wt-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",wt-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,wild type genotype,2023-04-07,2023-04-07,wild type genotype
ERR11169754,3526169,301018441,48,114,ERX10603280,wt-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849938,SAMEA112843329,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:wt-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",wt-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,wild type genotype,2023-04-07,2023-04-07,wild type genotype
ERR11169755,3469398,296183420,48,112,ERX10603280,wt-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849938,SAMEA112843329,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:wt-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",wt-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_0945,2023-04-07,2023-04-07,Δmsmeg_0945
ERR11169756,3485675,297557742,48,113,ERX10603280,wt-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849938,SAMEA112843329,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:wt-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",wt-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_1916,2023-04-07,2023-04-07,Δmsmeg_1916
ERR11169757,3363280,287226318,48,107,ERX10603281,wt-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849939,SAMEA112843330,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:wt-2,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",wt-2,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_1916,2023-04-07,2023-04-07,Δmsmeg_1916
ERR11169758,3340722,285303743,48,107,ERX10603281,wt-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849939,SAMEA112843330,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:wt-2,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",wt-2,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,wild type genotype,2023-04-07,2023-04-07,wild type genotype
ERR11169759,3404724,290766293,48,109,ERX10603281,wt-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849939,SAMEA112843330,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:wt-2,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",wt-2,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,wild type genotype,2023-04-07,2023-04-07,wild type genotype
ERR11169760,3444429,294160718,48,110,ERX10603281,wt-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849939,SAMEA112843330,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:wt-2,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",wt-2,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_0945,2023-04-07,2023-04-07,Δmsmeg_0945
ERR11169761,3440599,293307678,48,111,ERX10603282,Δmsmeg_0945-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849940,SAMEA112843331,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_0945-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_0945-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_1916,2023-04-07,2023-04-07,Δmsmeg_1916
ERR11169762,3332314,284071028,48,107,ERX10603282,Δmsmeg_0945-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP146043,PRJEB60959,1,"",ERS14849940,SAMEA112843331,simple,246196,Mycolicibacterium smegmatis MC2 155,E-MTAB-12798:Δmsmeg_0945-1,The Wadsworth Center/NYSDOH,ERA21177073,04,2023,Makar,"",Δmsmeg_0945-1,2023-04-07,Mycolicibacterium smegmatis MC2 155,Mycolicibacterium smegmatis MC2 155,2023-04-07,7H9 medium,Mycolicibacterium smegmatis MC2 155,whole organism,exponential phase,Δmsmeg_1916,2023-04-07,2023-04-07,Δmsmeg_1916
